candidate,k,correctness_passed,logical_depth,logical_size,logical_twoq_total,logical_multiq_total,logical_ops,transpiled_depth,transpiled_size,transpiled_twoq_total,cz_count,rzz_count,cx_count,ecr_count,swap_count,transpiled_ops,initial_layout,active_physical_qubits,optimization_level,seed_transpiler,backend,target_summary,depth_per_grover_step,twoq_per_grover_step,relative_contrast_budget,t_eff_candidate,p_ideal,p_obs
qiskit_standard,0,True,63,109,59,0,"{""crx"": 12, ""cry"": 12, ""crz"": 10, ""rx"": 22, ""ry"": 4, ""rz"": 24, ""rzz"": 19, ""swap"": 6}",295,564,108,108,0,0,0,0,"{""cz"": 108, ""rz"": 192, ""sx"": 237, ""x"": 27}","[67, 68, 66, 57, 69, 65, 77, 89, 78]","[57, 65, 66, 67, 68, 69, 77, 78, 89]",3,1234,ibm_basquecountry,"{""backend_class"": ""IBMBackend"", ""backend_name"": ""ibm_basquecountry"", ""basis_gates"": [""cz"", ""measure"", ""sx"", ""rz"", ""x"", ""id"", ""delay"", ""reset"", ""if_else""]}",0.0,0.0,nan,nan,0.1328730942948926,nan
qiskit_standard,1,True,64,110,59,1,"{""Q"": 1, ""crx"": 12, ""cry"": 12, ""crz"": 10, ""rx"": 22, ""ry"": 4, ""rz"": 24, ""rzz"": 19, ""swap"": 6}",2593,4614,1116,1116,0,0,0,0,"{""cz"": 1116, ""rz"": 1171, ""sx"": 2259, ""x"": 68}","[66, 65, 67, 57, 64, 77, 47, 68, 69]","[47, 57, 64, 65, 66, 67, 68, 69, 77]",3,1234,ibm_basquecountry,"{""backend_class"": ""IBMBackend"", ""backend_name"": ""ibm_basquecountry"", ""basis_gates"": [""cz"", ""measure"", ""sx"", ""rz"", ""x"", ""id"", ""delay"", ""reset"", ""if_else""]}",2298.0,1008.0,0.000992063492063492,nan,0.8096661708551893,nan
qiskit_standard,2,True,65,111,59,2,"{""Q"": 2, ""crx"": 12, ""cry"": 12, ""crz"": 10, ""rx"": 22, ""ry"": 4, ""rz"": 24, ""rzz"": 19, ""swap"": 6}",4959,8643,2128,2128,0,0,0,0,"{""cz"": 2128, ""rz"": 2129, ""sx"": 4275, ""x"": 111}","[44, 45, 43, 42, 46, 37, 56, 41, 63]","[37, 41, 42, 43, 44, 45, 46, 56, 63]",3,1234,ibm_basquecountry,"{""backend_class"": ""IBMBackend"", ""backend_name"": ""ibm_basquecountry"", ""basis_gates"": [""cz"", ""measure"", ""sx"", ""rz"", ""x"", ""id"", ""delay"", ""reset"", ""if_else""]}",2332.0,1010.0,0.0009900990099009901,nan,0.9155941944245891,nan
qiskit_standard,3,True,66,112,59,3,"{""Q"": 3, ""crx"": 12, ""cry"": 12, ""crz"": 10, ""rx"": 22, ""ry"": 4, ""rz"": 24, ""rzz"": 19, ""swap"": 6}",7457,12812,3161,3161,0,0,0,0,"{""cz"": 3161, ""rz"": 3142, ""sx"": 6358, ""x"": 151}","[44, 45, 43, 46, 37, 56, 42, 63, 41]","[37, 41, 42, 43, 44, 45, 46, 56, 63]",3,1234,ibm_basquecountry,"{""backend_class"": ""IBMBackend"", ""backend_name"": ""ibm_basquecountry"", ""basis_gates"": [""cz"", ""measure"", ""sx"", ""rz"", ""x"", ""id"", ""delay"", ""reset"", ""if_else""]}",2387.3333333333335,1017.6666666666666,0.000982640026203734,nan,0.2553804041571535,nan
qiskit_standard,4,True,67,113,59,4,"{""Q"": 4, ""crx"": 12, ""cry"": 12, ""crz"": 10, ""rx"": 22, ""ry"": 4, ""rz"": 24, ""rzz"": 19, ""swap"": 6}",9820,16971,4204,4204,0,0,0,0,"{""cz"": 4204, ""rz"": 4135, ""sx"": 8437, ""x"": 195}","[44, 45, 43, 37, 46, 56, 42, 63, 41]","[37, 41, 42, 43, 44, 45, 46, 56, 63]",3,1234,ibm_basquecountry,"{""backend_class"": ""IBMBackend"", ""backend_name"": ""ibm_basquecountry"", ""basis_gates"": [""cz"", ""measure"", ""sx"", ""rz"", ""x"", ""id"", ""delay"", ""reset"", ""if_else""]}",2381.25,1024.0,0.0009765625,nan,0.04611925801544977,nan
qiskit_standard_clean,0,True,212,273,124,0,"{""cx"": 124, ""r"": 24, ""u"": 24, ""u1"": 39, ""u3"": 62}",309,586,109,109,0,0,0,0,"{""cz"": 109, ""rz"": 204, ""sx"": 252, ""x"": 21}","[67, 66, 68, 57, 65, 69, 47, 77, 85]","[47, 57, 65, 66, 67, 68, 69, 77, 85]",3,1234,ibm_basquecountry,"{""backend_class"": ""IBMBackend"", ""backend_name"": ""ibm_basquecountry"", ""basis_gates"": [""cz"", ""measure"", ""sx"", ""rz"", ""x"", ""id"", ""delay"", ""reset"", ""if_else""]}",0.0,0.0,nan,nan,0.1328730942948926,nan
qiskit_standard_clean,1,True,213,274,124,1,"{""Q"": 1, ""cx"": 124, ""r"": 24, ""u"": 24, ""u1"": 39, ""u3"": 62}",2741,4812,1153,1153,0,0,0,0,"{""cz"": 1153, ""rz"": 1228, ""sx"": 2375, ""x"": 56}","[91, 90, 93, 92, 98, 79, 94, 95, 99]","[79, 90, 91, 92, 93, 94, 95, 98, 99]",3,1234,ibm_basquecountry,"{""backend_class"": ""IBMBackend"", ""backend_name"": ""ibm_basquecountry"", ""basis_gates"": [""cz"", ""measure"", ""sx"", ""rz"", ""x"", ""id"", ""delay"", ""reset"", ""if_else""]}",2432.0,1044.0,0.0009578544061302681,nan,0.8096661708551893,nan
qiskit_standard_clean,2,True,214,275,124,2,"{""Q"": 2, ""cx"": 124, ""r"": 24, ""u"": 24, ""u1"": 39, ""u3"": 62}",5254,9085,2208,2208,0,0,0,0,"{""cz"": 2208, ""rz"": 2272, ""sx"": 4488, ""x"": 117}","[93, 92, 91, 94, 98, 90, 95, 79, 73]","[73, 79, 90, 91, 92, 93, 94, 95, 98]",3,1234,ibm_basquecountry,"{""backend_class"": ""IBMBackend"", ""backend_name"": ""ibm_basquecountry"", ""basis_gates"": [""cz"", ""measure"", ""sx"", ""rz"", ""x"", ""id"", ""delay"", ""reset"", ""if_else""]}",2472.5,1049.5,0.0009528346831824678,nan,0.9155941944245891,nan
qiskit_standard_clean,3,True,215,276,124,3,"{""Q"": 3, ""cx"": 124, ""r"": 24, ""u"": 24, ""u1"": 39, ""u3"": 62}",7602,13480,3319,3319,0,0,0,0,"{""cz"": 3319, ""rz"": 3258, ""sx"": 6715, ""x"": 188}","[93, 79, 94, 91, 92, 95, 90, 73, 98]","[73, 79, 90, 91, 92, 93, 94, 95, 98]",3,1234,ibm_basquecountry,"{""backend_class"": ""IBMBackend"", ""backend_name"": ""ibm_basquecountry"", ""basis_gates"": [""cz"", ""measure"", ""sx"", ""rz"", ""x"", ""id"", ""delay"", ""reset"", ""if_else""]}",2431.0,1070.0,0.0009345794392523365,nan,0.2553804041571535,nan
qiskit_standard_clean,4,True,216,277,124,4,"{""Q"": 4, ""cx"": 124, ""r"": 24, ""u"": 24, ""u1"": 39, ""u3"": 62}",10152,17664,4343,4343,0,0,0,0,"{""cz"": 4343, ""rz"": 4330, ""sx"": 8760, ""x"": 231}","[93, 92, 91, 94, 98, 90, 95, 79, 73]","[73, 79, 90, 91, 92, 93, 94, 95, 98]",3,1234,ibm_basquecountry,"{""backend_class"": ""IBMBackend"", ""backend_name"": ""ibm_basquecountry"", ""basis_gates"": [""cz"", ""measure"", ""sx"", ""rz"", ""x"", ""id"", ""delay"", ""reset"", ""if_else""]}",2460.75,1058.5,0.000944733112895607,nan,0.04611925801544977,nan
