amplification_factor,bad_counts,batch_index,counts_json,good_counts,grover_power,p_raw,repeat_index,shots
9,7134,0,"{""000"": 964, ""001"": 969, ""010"": 1037, ""011"": 1081, ""100"": 985, ""101"": 976, ""110"": 1122, ""111"": 1058}",1058,4,0.129150390625,1,8192
3,6371,2,"{""000"": 500, ""001"": 439, ""010"": 966, ""011"": 776, ""100"": 951, ""101"": 769, ""110"": 1970, ""111"": 1821}",1821,1,0.2222900390625,2,8192
9,7063,3,"{""000"": 908, ""001"": 938, ""010"": 1065, ""011"": 1120, ""100"": 932, ""101"": 1029, ""110"": 1071, ""111"": 1129}",1129,4,0.1378173828125,2,8192
5,6776,4,"{""000"": 761, ""001"": 736, ""010"": 1014, ""011"": 975, ""100"": 979, ""101"": 963, ""110"": 1348, ""111"": 1416}",1416,2,0.1728515625,2,8192
5,6815,5,"{""000"": 747, ""001"": 734, ""010"": 987, ""011"": 966, ""100"": 999, ""101"": 944, ""110"": 1438, ""111"": 1377}",1377,2,0.1680908203125,3,8192
7,7008,6,"{""000"": 882, ""001"": 866, ""010"": 986, ""011"": 992, ""100"": 1107, ""101"": 968, ""110"": 1207, ""111"": 1184}",1184,3,0.14453125,3,8192
5,6751,7,"{""000"": 707, ""001"": 748, ""010"": 1037, ""011"": 986, ""100"": 976, ""101"": 931, ""110"": 1366, ""111"": 1441}",1441,2,0.1759033203125,1,8192
3,6340,8,"{""000"": 478, ""001"": 436, ""010"": 977, ""011"": 824, ""100"": 888, ""101"": 847, ""110"": 1890, ""111"": 1852}",1852,1,0.22607421875,1,8192
7,6976,9,"{""000"": 888, ""001"": 894, ""010"": 956, ""011"": 981, ""100"": 999, ""101"": 1049, ""110"": 1209, ""111"": 1216}",1216,3,0.1484375,0,8192
3,6433,10,"{""000"": 508, ""001"": 428, ""010"": 954, ""011"": 835, ""100"": 906, ""101"": 802, ""110"": 2000, ""111"": 1759}",1759,1,0.2147216796875,0,8192
3,6383,12,"{""000"": 545, ""001"": 433, ""010"": 937, ""011"": 776, ""100"": 932, ""101"": 740, ""110"": 2020, ""111"": 1809}",1809,1,0.2208251953125,3,8192
5,6799,14,"{""000"": 775, ""001"": 734, ""010"": 1040, ""011"": 953, ""100"": 933, ""101"": 951, ""110"": 1413, ""111"": 1393}",1393,2,0.1700439453125,0,8192
9,7021,15,"{""000"": 901, ""001"": 1004, ""010"": 1032, ""011"": 996, ""100"": 1018, ""101"": 1000, ""110"": 1070, ""111"": 1171}",1171,4,0.1429443359375,3,8192
7,7048,16,"{""000"": 888, ""001"": 884, ""010"": 968, ""011"": 978, ""100"": 1047, ""101"": 1096, ""110"": 1187, ""111"": 1144}",1144,3,0.1396484375,2,8192
9,7076,17,"{""000"": 958, ""001"": 974, ""010"": 991, ""011"": 1065, ""100"": 1015, ""101"": 986, ""110"": 1087, ""111"": 1116}",1116,4,0.13623046875,0,8192
7,7010,19,"{""000"": 910, ""001"": 838, ""010"": 961, ""011"": 979, ""100"": 1069, ""101"": 1040, ""110"": 1213, ""111"": 1182}",1182,3,0.144287109375,1,8192
1,106328,0,"{""010"": 4782, ""011"": 2577, ""100"": 5, ""101"": 3, ""110"": 98961, ""111"": 24744}",24744,0,0.18878173828125,0,131072
