amplification_factor,bad_counts,batch_index,counts_json,good_counts,grover_power,p_raw,repeat_index,shots
5,3387,0,"{""000"": 355, ""001"": 429, ""010"": 413, ""011"": 407, ""100"": 548, ""101"": 606, ""110"": 629, ""111"": 709}",709,2,0.173095703125,0,4096
9,3692,1,"{""000"": 607, ""001"": 603, ""010"": 517, ""011"": 484, ""100"": 566, ""101"": 507, ""110"": 408, ""111"": 404}",404,4,0.0986328125,0,4096
1,3221,2,"{""000"": 1, ""010"": 40, ""011"": 13, ""100"": 93, ""101"": 36, ""110"": 3038, ""111"": 875}",875,0,0.213623046875,1,4096
3,3445,3,"{""000"": 344, ""001"": 369, ""010"": 655, ""011"": 636, ""100"": 355, ""101"": 426, ""110"": 660, ""111"": 651}",651,1,0.158935546875,1,4096
7,3644,4,"{""000"": 539, ""001"": 532, ""010"": 373, ""011"": 356, ""100"": 690, ""101"": 712, ""110"": 442, ""111"": 452}",452,3,0.1103515625,1,4096
9,3693,5,"{""000"": 618, ""001"": 599, ""010"": 460, ""011"": 503, ""100"": 560, ""101"": 504, ""110"": 449, ""111"": 403}",403,4,0.098388671875,1,4096
7,3625,6,"{""000"": 475, ""001"": 599, ""010"": 337, ""011"": 375, ""100"": 652, ""101"": 771, ""110"": 416, ""111"": 471}",471,3,0.114990234375,0,4096
1,3212,7,"{""000"": 5, ""010"": 34, ""011"": 11, ""100"": 91, ""101"": 44, ""110"": 3027, ""111"": 884}",884,0,0.2158203125,0,4096
3,3377,8,"{""000"": 352, ""001"": 356, ""010"": 561, ""011"": 576, ""100"": 364, ""101"": 492, ""110"": 676, ""111"": 719}",719,1,0.175537109375,0,4096
5,3427,9,"{""000"": 391, ""001"": 444, ""010"": 385, ""011"": 426, ""100"": 606, ""101"": 659, ""110"": 516, ""111"": 669}",669,2,0.163330078125,1,4096
11,4096,0,"{""011"": 4096}",0,5,0.0,0,4096
11,4096,1,"{""011"": 4096}",0,5,0.0,1,4096
15,0,0,"{""111"": 4096}",4096,7,1.0,0,4096
15,0,1,"{""111"": 4096}",4096,7,1.0,1,4096
