batch_index,counts_json,p_observed_110,p_observed_111,prepared_bitstring,repeat_index,shots
0,"{""001"": 3, ""101"": 4093}",0.0,0.0,101,0,4096
1,"{""101"": 4090, ""111"": 6}",0.0,0.00146484375,101,1,4096
2,"{""010"": 4, ""110"": 4089, ""111"": 3}",0.998291015625,0.000732421875,110,0,4096
3,"{""001"": 3, ""010"": 2, ""011"": 4091}",0.0,0.0,011,0,4096
4,"{""010"": 4096}",0.0,0.0,010,0,4096
5,"{""000"": 4091, ""001"": 1, ""100"": 4}",0.0,0.0,000,1,4096
6,"{""010"": 1, ""011"": 3, ""100"": 1, ""101"": 2, ""111"": 4089}",0.0,0.998291015625,111,0,4096
7,"{""011"": 4096}",0.0,0.0,011,1,4096
8,"{""001"": 4088, ""011"": 8}",0.0,0.0,001,1,4096
9,"{""100"": 4096}",0.0,0.0,100,0,4096
10,"{""000"": 4096}",0.0,0.0,000,0,4096
11,"{""001"": 4096}",0.0,0.0,001,0,4096
12,"{""100"": 4096}",0.0,0.0,100,1,4096
13,"{""000"": 1, ""010"": 4095}",0.0,0.0,010,1,4096
14,"{""111"": 4096}",0.0,1.0,111,1,4096
15,"{""110"": 4096}",1.0,0.0,110,1,4096
