algorithm,algorithm_key,budget,target_name,abs_error_mean,abs_error_median,amplification_factor_median,cva_abs_error_median,cva_relative_error_median,estimate_mean,grover_power_max_median,mae_ci_high,mae_ci_low,n_points,n_runs,normalized_abs_error_ci_high,normalized_abs_error_ci_low,normalized_abs_error_mean,normalized_abs_error_median,normalized_abs_error_median_ci_high,normalized_abs_error_median_ci_low,normalized_abs_error_se,normalized_abs_error_std,processed_abs_error_median,processed_abs_error_median_ci_high,processed_abs_error_median_ci_low,processed_abs_error_se,processed_relative_error_median,processed_relative_error_median_ci_high,processed_relative_error_median_ci_low,processed_relative_error_se,query_budget_actual_mean,query_budget_actual_median,runtime_wall_seconds_ci_high,runtime_wall_seconds_ci_low,runtime_wall_seconds_mean,runtime_wall_seconds_median,runtime_wall_seconds_median_ci_high,runtime_wall_seconds_median_ci_low,runtime_wall_seconds_se,success_rate,total_repetitions
BAE,bae,128,cva,0.026293752611422163,0.02012470144635703,1.0,0.08882933719704317,0.1514580626962232,0.1344222247413481,0.0,0.028747043463125583,0.024033899235022988,300,300,0.21558394377925055,0.18035430024530158,0.19788620676709,0.15145806269622325,0.16424179138775985,0.14474089124232847,0.00912508697107157,0.15805114257380753,0.08882933719704317,0.09518491518922022,0.0846135886807799,0.005351814311341211,0.1514580626962232,0.1632899421419638,0.1442705629494656,0.00912508697107157,100.0,100.0,0.0014157151732806035,0.001353441232871181,0.001383607608541824,0.001415536628756365,0.0014639353730850195,0.001361262703221948,1.624364245157196e-05,1.0,300
BAE,bae,256,cva,0.013960515927346397,0.00982171816206115,11.0,0.04335252956659319,0.07391803595890734,0.1336990566148958,5.0,0.015911402800262316,0.012110203556524441,300,300,0.11980658923554664,0.09193634801854729,0.10506653737108773,0.07391803595890728,0.08195471820529579,0.06575761651076939,0.007317151855700555,0.12673678780770256,0.04335252956659319,0.048014081242553144,0.038581599250641044,0.004291470113516794,0.07391803595890734,0.08195471820529583,0.06563390240829656,0.007317151855700555,199.63333333333333,210.0,0.0028416890586404303,0.0026863151951905784,0.0027632407835302603,0.0027190329336160297,0.0028239765779596443,0.002599931345845615,4.014135609143162e-05,1.0,300
BAE,bae,512,cva,0.006333985627716015,0.0032708870604788304,17.0,0.014437517515635767,0.024616624440306753,0.13277756346177805,8.0,0.007816155525388795,0.005043623891544905,300,300,0.058888940217163704,0.03789202746341311,0.04766943722751463,0.024616624440306704,0.027253661955100372,0.020203857114438468,0.005356317783251337,0.09277414542076018,0.014437517515635767,0.015834346923143727,0.011849453270103727,0.003141451501708772,0.024616624440306753,0.027134353163693614,0.01989314078856184,0.005356317783251336,369.3666666666667,380.0,0.005302748447813747,0.004950666230318536,0.00511794493399182,0.005042737920765761,0.005269186131530167,0.004792288718925642,9.016103461663744e-05,1.0,300
BAE,bae,1024,cva,0.003713349074048209,0.002256206753737125,36.0,0.00995877385054278,0.01698016265602873,0.133199124917474,18.0,0.004849354324441076,0.0027856108894940353,300,300,0.03738172890260737,0.02102516995030878,0.027946583872028807,0.016980162656028773,0.018564561705662376,0.015185305852650568,0.0041077045112041,0.07114752915885382,0.00995877385054278,0.010888010205188259,0.008958497494974627,0.002409146549453806,0.01698016265602873,0.018564552931837182,0.015274916272666018,0.004107704511204099,710.6333333333333,730.0,0.010253303595915465,0.009476282685312464,0.009859771821490879,0.009412080934161472,0.009853615267976408,0.009112974663295564,0.00020553874578051708,1.0,300
BAE,bae,2048,cva,0.0013860635227695155,0.0008954709466633681,75.0,0.003952560035901331,0.006739294748988142,0.13293778147519683,38.0,0.0018633572055772802,0.0010904867371569504,300,300,0.014243294607122947,0.008231159291149402,0.010431483741120292,0.006739294748988083,0.007517268824201997,0.005915702898754126,0.0015696863527236069,0.02718776514864769,0.003952560035901331,0.004438275264270208,0.003455311641198666,0.0009206125830312702,0.006739294748988142,0.0075211847182875685,0.005891372787483111,0.0015696863527236069,1594.7333333333333,1590.0,0.022647493574032836,0.021411164937652796,0.022020318928494008,0.02119361952793674,0.022224256825888727,0.020659519785714817,0.00032988068169424213,1.0,300
BAE,bae,4096,cva,0.0005882539890293837,0.00046855315282652577,99.0,0.0020681681225486748,0.003526320774818684,0.13279642810919165,49.0,0.0006430274392020825,0.000534822322004751,300,300,0.00486123458869457,0.004032979602851871,0.004427186648666728,0.0035263207748187143,0.004030383865147869,0.003064757744773523,0.00020987405481956024,0.003635125261379742,0.0020681681225486748,0.002363968154652507,0.001783720508031661,0.0001230900016321302,0.003526320774818684,0.004028934671609967,0.0030556123394954405,0.00020987405481955973,3612.766666666667,3580.0,0.05118813096161199,0.04872550250910896,0.04995842597657492,0.050593875956577175,0.051961381583504974,0.04809634285142711,0.0006234835363717569,1.0,300
BAE,bae,8192,cva,0.0003271104799332571,0.0002613690956455722,195.0,0.001153668967058874,0.00196705809428584,0.1328454616021984,97.0,0.0003552794928082942,0.00029930928986155884,300,300,0.0026688038202077992,0.0022480307656409433,0.0024618263138155173,0.001967058094285825,0.002302070536052146,0.0018065761551502328,0.000107456896486617,0.0018612080433849025,0.001153668967058874,0.001338584883569181,0.0010595471749816343,6.302289044395339e-05,0.00196705809428584,0.0023006461681206775,0.001806576155150196,0.00010745689648661739,7260.1,7320.0,0.10291284504768017,0.0979767714521486,0.10051979181879425,0.10039480616824817,0.10476466525780564,0.09717276796580472,0.0012769643411062374,1.0,300
BAE,bae,16384,cva,0.00017009834895043984,0.00014109666508366203,393.0,0.0006227930025945461,0.0010618904137998418,0.1328644493468323,196.0,0.0001849747172819139,0.00015592557211169706,300,300,0.0013864550493760332,0.0011775240298953803,0.0012801564519369978,0.00106189041379979,0.0011570937753228295,0.0009356496192348206,5.481030482708378e-05,0.000949342327388468,0.0006227930025945461,0.0006796522003765793,0.0005497946789908559,3.2145948275615805e-05,0.0010618904137998418,0.0011588379337776765,0.0009374461934184972,5.481030482708398e-05,13044.2,12700.0,0.1867030785841566,0.1762327758891397,0.18151431973762225,0.1730670951567665,0.1804842239316628,0.16703712589521386,0.002743600085314891,1.0,300
BAE,bae,32768,cva,8.22042806518917e-05,6.969560030242739e-05,789.0,0.00030763258758981227,0.0005245275627265415,0.13287297487265926,394.0,8.874071874555359e-05,7.52414910009301e-05,300,300,0.0006720177960173994,0.0005686194673110122,0.000618667617308973,0.0005245275627264921,0.0006177202361622224,0.0004484516397489952,2.6364459941515586e-05,0.0004566458413281939,0.00030763258758981227,0.00036192249283861777,0.00026301446892085245,1.546261361377684e-05,0.0005245275627265415,0.0006177739834980035,0.00044549813879436533,2.636445994151629e-05,23883.7,23085.0,0.34333064906152744,0.3223524424282602,0.3327286566896432,0.31701670234142776,0.33599867929010013,0.3008773330376158,0.00554648809999432,1.0,300
BAE,bae,65536,cva,4.1074616991903694e-05,3.2705011611372514e-05,1585.0,0.0001443581417693851,0.0002461372017030607,0.13286864467668527,792.0,4.4896879785896125e-05,3.736692390818529e-05,300,300,0.000337265532191551,0.0002811842294293778,0.00030912666864477866,0.00024613720170306615,0.00028366929121798556,0.00021060017769401057,1.4573115292579072e-05,0.0002524137611130594,0.0001443581417693851,0.0001663705099185786,0.0001235158687832305,8.547053549287403e-06,0.0002461372017030607,0.0002835360919062645,0.0002092538805907086,1.4573115292579702e-05,46244.066666666666,44785.0,0.6621652636607718,0.6209819967243076,0.6412265066752902,0.6267703580973705,0.6455499655095047,0.6008112810971309,0.010715297580983444,1.0,300
