algorithm,algorithm_key,budget,target_name,abs_error_mean,abs_error_median,amplification_factor_median,cva_abs_error_median,cva_relative_error_median,estimate_mean,grover_power_max_median,mae_ci_high,mae_ci_low,n_points,n_runs,normalized_abs_error_ci_high,normalized_abs_error_ci_low,normalized_abs_error_mean,normalized_abs_error_median,normalized_abs_error_median_ci_high,normalized_abs_error_median_ci_low,normalized_abs_error_se,normalized_abs_error_std,processed_abs_error_median,processed_abs_error_median_ci_high,processed_abs_error_median_ci_low,processed_abs_error_se,processed_relative_error_median,processed_relative_error_median_ci_high,processed_relative_error_median_ci_low,processed_relative_error_se,query_budget_actual_mean,query_budget_actual_median,runtime_wall_seconds_ci_high,runtime_wall_seconds_ci_low,runtime_wall_seconds_mean,runtime_wall_seconds_median,runtime_wall_seconds_median_ci_high,runtime_wall_seconds_median_ci_low,runtime_wall_seconds_se,success_rate,total_repetitions
BIQAE,biqae,64,cva,0.0447873469440177,0.0362830688470254,1.0,0.1601514917250801,0.2730655821599248,0.1708433024893415,0.0,0.048617220210244,0.0411190323097877,300,300,0.3648790283296472,0.3080741078430719,0.3370685930186794,0.2730655821599249,0.3730227971268792,0.2730655821599249,0.014504298372592,0.2512218170946808,0.1601514917250801,0.2108050306909328,0.1601514917250801,0.0085066927967357,0.2730655821599248,0.3586202792326394,0.2730655821599248,0.014504298372592,58.1,60.0,9.740874575783544e-06,9.385561294427931e-06,9.561367112335078e-06,9.531987460004814e-06,9.715153672177969e-06,9.31198510986778e-06,9.367651251071645e-08,1.0,300
BIQAE,biqae,128,cva,0.0287163617540933,0.0235920574028634,1.0,0.1041340577298507,0.1775533077487024,0.1521534043602831,0.0,0.0313741552595626,0.0262347928740784,300,300,0.2350468755344276,0.1978071254385769,0.2161187101608509,0.1775533077487024,0.2020123290650587,0.1424005156896439,0.0099163694537663,0.1717565572054741,0.1041340577298507,0.1184791418629944,0.0829892062671773,0.0058158972213041,0.1775533077487024,0.2020123290650586,0.1424005156896438,0.0099163694537663,112.63333333333334,120.0,1.892227484181224e-05,1.8190607086145108e-05,1.855095923703193e-05,1.843945024210639e-05,1.8831606593573097e-05,1.7728047249983806e-05,1.8891304721990005e-07,1.0,300
BIQAE,biqae,256,cva,0.0108778530334057,0.0089009033186478,5.0,0.0392881029494019,0.0669880035975802,0.1364796618168953,2.0,0.0119156043797721,0.0099354525187897,300,300,0.089737696564155,0.0740092769979213,0.0818664838892356,0.0669880035975802,0.0779523790957775,0.0556035213398136,0.0038803689946718,0.0672099625088667,0.0392881029494019,0.0447600298247048,0.0324236355888992,0.0022758154946693,0.0669880035975802,0.0779523790957776,0.0554348365897176,0.0038803689946718,225.63333333333333,230.0,3.786106460553885e-05,3.639883975301748e-05,3.7120513595481686e-05,3.655863854178573e-05,3.741814679937379e-05,3.542127058968469e-05,3.687849217092569e-07,1.0,300
BIQAE,biqae,512,cva,0.0049971698614334,0.0037741494095108,15.0,0.0166588901417041,0.0284041658662259,0.1342353361374883,7.0,0.0054887794673442,0.0045413847851693,300,300,0.0411629067199127,0.0343199791001638,0.0376085910240256,0.0284041658662259,0.0315517248164572,0.025475959955285,0.0018101380434128,0.031352510599044,0.0166588901417041,0.0185075032940164,0.0148256092538243,0.001061636203244,0.0284041658662259,0.0318817348274067,0.0254559088718626,0.0018101380434128,440.5,440.0,7.40112721993874e-05,7.102637796052268e-05,7.24794537706234e-05,7.126866240266216e-05,7.286998417368364e-05,6.976407745681512e-05,7.595324318173088e-07,1.0,300
BIQAE,biqae,1024,cva,0.002932360151482,0.0024437025059086,19.0,0.0107863698989636,0.0183912515838999,0.1331015129673673,9.0,0.0031988752096409,0.0026602176111631,300,300,0.0242266458087215,0.0200457582957641,0.0220688783311845,0.0183912515838998,0.0217196442180031,0.0151236486975894,0.0010613780468443,0.0183836070317263,0.0107863698989636,0.0126289970944526,0.0087294800590577,0.0006224925021375,0.0183912515838999,0.0217196442180031,0.0148874804240276,0.0010613780468443,866.8666666666667,880.0,0.0001459416214421,0.0001396324180695,0.0001426989461627,0.000141039436861,0.0001440541321905,0.0001369285138928,1.5557198795892232e-06,1.0,300
BIQAE,biqae,2048,cva,0.0014695592543841,0.0013310363280857,45.0,0.0058751219303402,0.0100173502780909,0.1329742130690067,22.0,0.0015988999735565,0.0013564992775609,300,300,0.0120999738014815,0.0101076268414339,0.0110598707901139,0.0100173502780908,0.0105839844855818,0.0085844092280962,0.0004914491849564,0.0085121495768286,0.0058751219303402,0.0062117971820297,0.0049947033253175,0.0002882322973671,0.0100173502780909,0.0105837944235482,0.0085300845513588,0.0004914491849564,1678.0333333333333,1690.0,0.0002824099577305,0.0002698642948149,0.0002760019228366,0.0002717087675497,0.0002759021199125,0.0002651845867599,3.138238892653642e-06,1.0,300
BIQAE,biqae,4096,cva,0.0007002046976034,0.0005641398944351,95.0,0.0024900827991244,0.0042457045004398,0.1329170117006027,47.0,0.0007928682179569,0.00062863580884,300,300,0.0059191390472794,0.0047345007989677,0.0052697252315768,0.0042457045004398,0.004834145469658,0.0039455117312459,0.0003080854666107,0.0053361968124344,0.0024900827991244,0.0027960717487681,0.0023068397628286,0.0001806904651485,0.0042457045004398,0.0048194088674565,0.0039332667838511,0.0003080854666107,3387.2,3415.0,0.0005687973771954,0.0005445431252803,0.0005564762905422,0.0005447424379487,0.0005556944800493,0.0005286843502566,6.2663542291854025e-06,1.0,300
BIQAE,biqae,8192,cva,0.0003540617299915,0.000257343775873,195.0,0.0011359014246009,0.0019367636257637,0.1328555021086752,97.0,0.0004321835553848,0.0002988646596824,300,300,0.0032778321157525,0.0022583068173112,0.0026646608319799,0.0019367636257637,0.0022684200950981,0.0017276264045962,0.0002734495651181,0.0047362854009218,0.0011359014246009,0.0013327401219392,0.001016158635788,0.0001603766956598,0.0019367636257637,0.0022567686598508,0.0017326261952047,0.0002734495651181,6748.166666666667,6750.0,0.0011325030075028,0.0010849910087574,0.0011079671383807,0.0010758959464263,0.0011103410670175,0.0010529582545867,1.2042419469462231e-05,1.0,300
BIQAE,biqae,16384,cva,0.0001865183743701,0.0001310582038988,409.0,0.0005784837811184,0.0009863411745944,0.1328325103074993,204.0,0.0002614940151744,0.0001402863022926,300,300,0.0020366363618554,0.0010604017622686,0.0014037332039262,0.0009863411745944,0.0010705785835236,0.0008696073588885,0.0002685270812503,0.0046510254793372,0.0005784837811184,0.0006279125443614,0.0005100200275681,0.0001574896854105,0.0009863411745944,0.0010689433040065,0.0008574939724754,0.0002685270812503,13663.033333333333,13780.0,0.0022942339538165,0.0021970059421749,0.002246152377664,0.0022400483448358,0.0022985085481145,0.0021537403606165,2.4985563238943247e-05,1.0,300
BIQAE,biqae,32768,cva,0.0001153495338698,6.17682497668498e-05,787.0,0.0002726416936537,0.00046486649607,0.1328361951649025,393.0,0.0001920769614749,7.323461971258094e-05,300,300,0.0014564745695689,0.0005522946372119,0.0008681180677097,0.00046486649607,0.0005329123333977,0.0003961462822262,0.0002728344519966,0.0047256313291339,0.0002726416936537,0.0003144888759828,0.0002323376587339,0.0001600159351304,0.00046486649607,0.000538316322723,0.0003961462822261,0.0002728344519966,26898.13333333333,26810.0,0.004532063802467,0.0043343621520607,0.0044318910667998,0.0043216177711671,0.0044674866026146,0.0042253732742172,5.1396842268121744e-05,1.0,300
