contrast_baseline,grover_power,amplification_factor,contrast_mitigated,contrast_mitigated_se,contrast_signal_z,contrast_relative_se,visible_by_contrast,signal_z_from_baseline,shots,p_hw_mitigated,p_hw_mitigated_se,p_ideal,p_raw,p_raw_se,signal_z_from_half,used_in_fit
0.18518,0,1,0.857676867904705,0.030005314267716982,28.584165466564972,0.03498440425590541,False,28.584165466564972,49152,0.14031757694505673,0.0015694851440535868,0.13287309429489258,0.13987223307291666,0.0015645038679616198,229.17223805379496,False
0.18518,1,3,0.5551439885014198,0.0036163045874961293,153.5114023362154,0.006514174092487504,True,153.5114023362154,49152,0.5318597436525431,0.002258332204491605,0.8096661708552149,0.5301717122395834,0.0022511646462253965,14.107642617493171,True
0.18518,2,5,0.3953327442069754,0.0030927845303866655,127.82421158759165,0.007823244028497286,True,127.82421158759163,49152,0.47393664788962364,0.002259013721291392,0.9155941944246487,0.4724324544270833,0.0022518440000079964,11.537491722483622,True
0.18518,3,7,1.8383047019286174,0.029895691610019128,61.49062299373382,0.016262642193459395,False,61.490622993733815,49152,0.3142297330394318,0.0020986896335817343,0.2553804041571792,0.313232421875,0.0020920287533970267,88.51726524399078,False
0.18518,4,9,-0.6008613370872052,0.014410146829554741,,,False,41.697100258191554,49152,0.26873622336517267,0.0020038857102241234,0.046119258015454856,0.26788330078125,0.0019975257213977284,115.40766793978574,False
0.18518,5,11,0.17597064917865918,0.00411443862431754,42.76905435862404,0.023381391405451032,True,42.76905435862404,49152,0.27112417340191036,0.0020094943573280197,0.6735806156882055,0.270263671875,0.002003116567619703,113.8972228329224,True
0.18518,6,13,0.08352282281872786,0.002464691712505929,33.88773630183858,0.029509200351802344,True,33.88773630183858,49152,0.25165319617927995,0.0019615708640790337,0.981048649261876,0.2508544921875,0.001955345175301439,126.60608309826216,True
0.18518,7,15,0.19284528120436756,0.008743046246105229,22.056989723721806,0.04533710232110785,True,22.056989723721806,49152,0.22693689280757615,0.001893136521828612,0.40171053964708797,0.22621663411458334,0.0018871280318911675,144.23846565944842,True
0.18518,8,17,-0.12068856549762094,0.010084451414798927,,,False,11.967786896222291,49152,0.20709853865621683,0.0018314613091193616,0.0035676114042561668,0.20644124348958334,0.0018256485657066291,159.9277363301885,False
0.18518,9,19,0.05299578274542304,0.00541950964678355,9.778704384607149,0.10226303615171348,True,9.778704384607149,49152,0.20295534329333006,0.001817760573814929,0.5205905246207579,0.20231119791666666,0.001811991314181239,163.4124212977417,True
0.18518,10,21,0.006538379538937486,0.0021790368813349925,3.0005823191628274,0.3332686437607895,True,3.0005823191628274,49152,0.19050534737529595,0.0017747712973199587,0.9996551071090823,0.18990071614583334,0.0017691384782610817,174.38565357241512,True
0.18518,11,23,-0.011731838377669283,0.004670119479644295,,,False,2.512106687806379,49152,0.18081067842272838,0.0017393057382793745,0.5576128137343181,0.18023681640625,0.0017337854808092495,183.51536164828207,False
0.18518,12,25,0.05259574244284856,0.009787199505371796,5.373931778337704,0.18608349365933444,True,5.373931778337704,49152,0.17593272920238387,0.0017207644568343519,0.009362141593221447,0.17537434895833334,0.0017153030462047506,188.32750148372702,True
0.18518,13,27,-0.0944700201041651,0.009367906919665955,,,False,10.084431977632603,49152,0.16813617438158218,0.0016901126068598856,0.36559517933017127,0.1676025390625,0.0016847484799338167,196.35604413069154,False
0.18518,14,29,-0.030444241198036622,0.002118956159313551,,,False,14.367565399700966,49152,0.16129888154135033,0.0016621548463003149,0.9696015365167254,0.16078694661458334,0.0016568794525010219,203.7723014871587,False
