sampler_call_index,n_circuits,shots,backend_mode,context,job_id,submitted_at_epoch
0,2,8192,dry_run_aer,readout_calibration,local-e40218b6-350c-4fd7-95b5-ec9adae72815,1778180490.0334346
0,1,8192,dry_run_aer,amplification_scan,local-26216120-c36c-4e0c-bea5-f10de17e2dda,1778180492.875677
1,1,8192,dry_run_aer,amplification_scan,local-79b2d496-945a-4671-bd20-a101a0a1290e,1778180510.4533207
2,1,8192,dry_run_aer,amplification_scan,local-f4cf9128-d661-43dd-9d9c-863c643c9341,1778180517.984385
3,1,8192,dry_run_aer,amplification_scan,local-da57579a-a1c2-4ad3-9be4-9f984eee163a,1778180535.1012242
4,1,8192,dry_run_aer,amplification_scan,local-97643dce-da18-4b3a-ad5a-38e7ad2bd469,1778180554.8628216
5,1,8192,dry_run_aer,amplification_scan,local-e3d203c6-64ff-418f-ac4d-b6e51b3bb0ad,1778180567.587803
6,1,8192,dry_run_aer,amplification_scan,local-3583eac9-06bf-430c-bb63-f336893320b7,1778180584.9550946
7,1,8192,dry_run_aer,amplification_scan,local-57fcff79-b8d9-40c6-893c-4666a21e80ff,1778180598.2010045
8,1,8192,dry_run_aer,amplification_scan,local-4e4d747d-e814-4218-944b-c0c1c1611555,1778180608.9490628
9,1,8192,dry_run_aer,amplification_scan,local-fd52ee8e-b988-412e-b8d9-4de5f9d0a607,1778180616.036799
10,1,8192,dry_run_aer,amplification_scan,local-59f19662-46c8-429a-94aa-2a37b1d7f6bf,1778180624.8341086
11,1,8192,dry_run_aer,amplification_scan,local-d6ba779f-8669-49d5-b266-6a40ae8aca0f,1778180632.5012589
12,1,8192,dry_run_aer,amplification_scan,local-e26c20a9-db1f-4b96-885b-89433d4c2f0a,1778180635.7370348
13,1,8192,dry_run_aer,amplification_scan,local-90dae6e3-254c-4c08-a68b-f1c55b005a7e,1778180645.1456113
14,1,8192,dry_run_aer,amplification_scan,local-e89db803-75f1-4edc-918e-3252932d554a,1778180649.6582563
15,1,8192,dry_run_aer,amplification_scan,local-6867a67c-e536-4b29-a2a9-dd0d2d3c6917,1778180657.421977
16,1,8192,dry_run_aer,amplification_scan,local-cccc1f48-5931-405c-a723-2afa09d2bf93,1778180660.9771678
17,1,8192,dry_run_aer,amplification_scan,local-88bc5925-6b40-4a12-a661-1328b9e13c54,1778180665.755757
18,1,8192,dry_run_aer,amplification_scan,local-44c91468-ce04-474d-bc44-4796e0109b42,1778180678.7103908
19,1,8192,dry_run_aer,amplification_scan,local-471ea7ac-94ab-4fba-9fd9-9d204eceba79,1778180681.7912202
20,1,8192,dry_run_aer,amplification_scan,local-c9ae2bc7-2f45-4786-8f3f-2209fbd829f5,1778180691.3978338
21,1,8192,dry_run_aer,amplification_scan,local-d9ecae6e-3f74-4581-9cb4-383dd841517b,1778180699.9385748
22,1,8192,dry_run_aer,amplification_scan,local-f157bb6a-b115-48bc-a9d3-62060d8b5457,1778180707.676929
23,1,8192,dry_run_aer,amplification_scan,local-ffbab27b-46ec-4384-a0af-d0fa3e7a9b0a,1778180713.859171
24,1,8192,dry_run_aer,amplification_scan,local-5e2a0d89-c442-4fc9-9519-a4ca788d17ca,1778180716.7477114
25,1,8192,dry_run_aer,amplification_scan,local-12581533-7e4d-43c1-b7ab-10fd3af72032,1778180720.1397316
26,1,8192,dry_run_aer,amplification_scan,local-3c029375-8b6f-44cb-b9b2-dbab68e224f3,1778180727.1084573
27,1,8192,dry_run_aer,amplification_scan,local-941ab486-25ec-4a55-a4f7-e2e0d2ae26c3,1778180733.788639
28,1,8192,dry_run_aer,amplification_scan,local-48de642d-cc1f-4e3d-a630-2d00c0a58fe8,1778180739.512643
29,1,8192,dry_run_aer,amplification_scan,local-fc705082-a973-4557-8f51-2252287ac9c7,1778180746.3175297
30,1,8192,dry_run_aer,amplification_scan,local-73a7ef25-dcbb-44c4-ac90-423ab1b4edb9,1778180753.574077
31,1,8192,dry_run_aer,amplification_scan,local-8268a9a5-356f-4a2a-92af-54deccc43973,1778180755.9386432
32,1,8192,dry_run_aer,amplification_scan,local-95820289-a0cb-438a-a4fb-642544cb403d,1778180764.2102568
33,1,8192,dry_run_aer,amplification_scan,local-d30b21ea-9bdc-471b-8943-a5525922df4b,1778180772.864366
34,1,8192,dry_run_aer,amplification_scan,local-24492ec5-412d-41e6-bda4-22a382821932,1778180781.594095
35,1,8192,dry_run_aer,amplification_scan,local-35be5898-3646-4859-ba48-567f89ec45e1,1778180789.6968584
36,1,8192,dry_run_aer,amplification_scan,local-e801c968-9aeb-447d-adaa-4e4b8169958a,1778180792.152165
37,1,8192,dry_run_aer,amplification_scan,local-022ba64f-5555-451f-bfdd-14169c0a7736,1778180794.9081268
