grover_power,amplification_factor,shots,bad_counts,batch_index,counts_json,good_counts,p_raw,repeat_index
13,27,512,395,0,"{""000"": 35, ""001"": 20, ""010"": 54, ""011"": 44, ""100"": 55, ""101"": 46, ""110"": 141, ""111"": 117}",117,0.228515625,0
14,29,512,386,1,"{""000"": 29, ""001"": 31, ""010"": 66, ""011"": 42, ""100"": 54, ""101"": 49, ""110"": 115, ""111"": 126}",126,0.24609375,0
19,39,512,418,2,"{""000"": 33, ""001"": 39, ""010"": 57, ""011"": 57, ""100"": 73, ""101"": 68, ""110"": 91, ""111"": 94}",94,0.18359375,0
9,19,512,351,3,"{""000"": 16, ""001"": 7, ""010"": 50, ""011"": 45, ""100"": 52, ""101"": 39, ""110"": 142, ""111"": 161}",161,0.314453125,0
17,35,512,412,4,"{""000"": 35, ""001"": 24, ""010"": 60, ""011"": 56, ""100"": 65, ""101"": 58, ""110"": 114, ""111"": 100}",100,0.1953125,0
10,21,512,377,5,"{""000"": 18, ""001"": 22, ""010"": 53, ""011"": 39, ""100"": 47, ""101"": 58, ""110"": 140, ""111"": 135}",135,0.263671875,0
15,31,512,397,6,"{""000"": 25, ""001"": 23, ""010"": 54, ""011"": 46, ""100"": 51, ""101"": 60, ""110"": 138, ""111"": 115}",115,0.224609375,0
6,13,512,317,7,"{""000"": 14, ""001"": 12, ""010"": 32, ""011"": 32, ""100"": 48, ""101"": 43, ""110"": 136, ""111"": 195}",195,0.380859375,0
3,7,512,351,8,"{""000"": 4, ""001"": 2, ""010"": 28, ""011"": 23, ""100"": 24, ""101"": 26, ""110"": 244, ""111"": 161}",161,0.314453125,0
0,1,512,447,9,"{""010"": 1, ""100"": 1, ""110"": 445, ""111"": 65}",65,0.126953125,0
5,11,512,337,10,"{""000"": 11, ""001"": 6, ""010"": 41, ""011"": 24, ""100"": 46, ""101"": 31, ""110"": 178, ""111"": 175}",175,0.341796875,0
16,33,512,410,11,"{""000"": 39, ""001"": 24, ""010"": 66, ""011"": 57, ""100"": 66, ""101"": 58, ""110"": 100, ""111"": 102}",102,0.19921875,0
4,9,512,392,12,"{""000"": 4, ""001"": 3, ""010"": 32, ""011"": 39, ""100"": 33, ""101"": 24, ""110"": 257, ""111"": 120}",120,0.234375,0
2,5,512,179,13,"{""001"": 4, ""010"": 18, ""011"": 14, ""100"": 21, ""101"": 19, ""110"": 103, ""111"": 333}",333,0.650390625,0
8,17,512,378,14,"{""000"": 18, ""001"": 18, ""010"": 45, ""011"": 43, ""100"": 54, ""101"": 34, ""110"": 166, ""111"": 134}",134,0.26171875,0
1,3,512,175,15,"{""000"": 1, ""010"": 10, ""011"": 7, ""100"": 12, ""101"": 11, ""110"": 134, ""111"": 337}",337,0.658203125,0
18,37,512,396,16,"{""000"": 28, ""001"": 22, ""010"": 63, ""011"": 50, ""100"": 63, ""101"": 65, ""110"": 105, ""111"": 116}",116,0.2265625,0
12,25,512,377,17,"{""000"": 24, ""001"": 19, ""010"": 51, ""011"": 43, ""100"": 59, ""101"": 46, ""110"": 135, ""111"": 135}",135,0.263671875,0
20,41,512,422,18,"{""000"": 46, ""001"": 33, ""010"": 65, ""011"": 43, ""100"": 68, ""101"": 74, ""110"": 93, ""111"": 90}",90,0.17578125,0
11,23,512,376,19,"{""000"": 23, ""001"": 22, ""010"": 49, ""011"": 44, ""100"": 53, ""101"": 44, ""110"": 141, ""111"": 136}",136,0.265625,0
7,15,512,357,20,"{""000"": 15, ""001"": 15, ""010"": 35, ""011"": 39, ""100"": 42, ""101"": 39, ""110"": 172, ""111"": 155}",155,0.302734375,0
