contrast_baseline,grover_power,amplification_factor,shots,contrast_mitigated,contrast_mitigated_se,p_hw_mitigated,p_hw_mitigated_se,p_ideal,p_raw,p_raw_se,signal_z_from_baseline,signal_z_from_half,used_in_fit
0.125,0,1,512,0.2796315495875783,1.8724451571076728,0.12720156555772993,0.014741937283923659,0.13287309429489258,0.126953125,0.014713144437665996,0.14934031500261366,25.288293340442664,False
0.125,1,3,512,0.7806595629956968,0.03067603496516092,0.6594911937377691,0.021002843396617413,0.8096661708552149,0.658203125,0.020961822218108394,25.448515881609197,7.593790551400091,True
0.125,2,5,512,0.6661614881593452,0.026707862442738557,0.6516634050880626,0.02111508099272122,0.9155941944246487,0.650390625,0.02107384060015731,24.942523557906966,7.182705344125556,True
0.125,3,7,512,1.4577995395807266,0.15768787210080618,0.3150684931506849,0.020559408495188693,0.2553804041571792,0.314453125,0.02051925340047153,9.244842486356779,8.994981878617407,False
0.125,4,9,512,-1.3924014496810018,0.2377972285813922,0.23483365949119372,0.018757621832368704,0.046119258015454856,0.234375,0.018720985852227357,5.855414959995703,14.136458388942858,False
0.125,5,11,512,0.3964153074418102,0.03828579208958909,0.3424657534246575,0.021002843396617413,0.6735806156882055,0.341796875,0.020961822218108394,10.354110122997975,7.5006152072111325,True
0.125,6,13,512,0.29975480586815484,0.025118436883402467,0.3816046966731898,0.021502603965606368,0.981048649261876,0.380859375,0.021460606692236043,11.93365682982543,5.50609142577265,True
0.125,7,15,512,0.6444525402016139,0.07352217989698154,0.30332681017612523,0.020344362075324043,0.40171053964708797,0.302734375,0.020304626993145676,8.765416655281626,9.667208492244757,True
0.125,8,17,512,-1.1301014610032651,0.16029053584378586,0.2622309197651663,0.01946446263680261,0.0035676114042561668,0.26171875,0.019426446108215104,7.0503317931672935,12.215548133616062,False
0.125,9,19,512,0.4804677597697733,0.051971438180675456,0.3150684931506849,0.020559408495188693,0.5205905246207579,0.314453125,0.02051925340047153,9.244842486356779,8.994981878617407,True
0.125,10,21,512,0.15913457292627936,0.022307188768844237,0.26418786692759294,0.019511096581915976,0.9996551071090823,0.263671875,0.019472988971404422,7.133779813103913,12.086052266840374,True
0.125,11,23,512,0.32626128863742176,0.045207252903883194,0.26614481409001955,0.019557236879947832,0.5576128137343181,0.265625,0.019519039151666685,7.2170120429811995,11.957475759254814,True
0.125,12,25,512,-1.2036531015471825,0.1687258554484978,0.26418786692759294,0.019511096581915976,0.009362141593221447,0.263671875,0.019472988971404422,7.133779813103913,12.086052266840374,False
0.125,13,27,512,0.43210682064932243,0.07727671936982791,0.22896281800391388,0.018592406154831067,0.36559517933017127,0.228515625,0.018556092861559913,5.591681740284062,14.577843219375863,True
0.125,14,29,512,0.14394402236958975,0.022582456228038523,0.2465753424657534,0.01907317722852303,0.9696015365167254,0.24609375,0.019035924929248573,6.374152612808697,13.286966009798412,True
0.125,15,31,512,0.17163866799597563,0.031702317240577114,0.22504892367906065,0.018479418158420084,0.7079043352946929,0.224609375,0.018443325544829418,5.414073258225054,14.878773452921667,True
0.125,16,33,512,-1.2021728934635918,0.2849798231938587,0.19960861056751467,0.017686265231793556,0.0629385353195254,0.19921875,0.01765172174501271,4.21844915190999,16.984444454247438,False
0.125,17,35,512,0.7163372865496617,0.17787844706382036,0.19569471624266144,0.017554672326819135,0.22368914765441344,0.1953125,0.017520385857430817,4.027116822605549,17.334717395575446,False
0.125,18,37,512,0.13267938470121715,0.0241100986812813,0.22700587084148727,0.018536200010247195,0.8938147715728102,0.2265625,0.01849999649460218,5.503062698131026,14.727621033847063,True
0.125,19,39,512,0.08268903379705839,0.024045729040117623,0.18395303326810175,0.01714336954930345,0.8379486288688376,0.18359375,0.017109886405652464,3.4388241528922223,18.43552201467532,True
0.125,20,41,512,1.500191931774516,0.4945759866214399,0.1761252446183953,0.016854722227772775,0.1590791358329206,0.17578125,0.016821802848421656,3.0332890644826196,19.215668523325306,False
