target_name,algorithm,algorithm_key,budget,query_budget_actual_median,normalized_abs_error_median,processed_relative_error_median,cva_relative_error_median,abs_error_mean,abs_error_median,amplification_factor_median,cva_abs_error_median,estimate_mean,grover_power_max_median,mae_ci_high,mae_ci_low,n_points,n_runs,normalized_abs_error_ci_high,normalized_abs_error_ci_low,normalized_abs_error_mean,normalized_abs_error_median_ci_high,normalized_abs_error_median_ci_low,normalized_abs_error_se,normalized_abs_error_std,processed_abs_error_median,processed_abs_error_median_ci_high,processed_abs_error_median_ci_low,processed_abs_error_se,processed_relative_error_median_ci_high,processed_relative_error_median_ci_low,processed_relative_error_se,query_budget_actual_mean,runtime_wall_seconds_ci_high,runtime_wall_seconds_ci_low,runtime_wall_seconds_mean,runtime_wall_seconds_median,runtime_wall_seconds_median_ci_high,runtime_wall_seconds_median_ci_low,runtime_wall_seconds_se,success_rate,total_repetitions
cva,BIQAE,biqae,128,128.0,0.1629711962773848,0.1629711962773848,0.1629711962773848,0.028562280915704178,0.02499467584269688,1.0,0.11033567875908068,0.1747676605842914,0.0,0.038043206215765,0.02006174148138993,25,25,0.24742610314841057,0.13026176568036646,0.18623282488390858,0.21176064380248838,0.08103042808017294,0.030760145856592612,0.15380072928296307,0.11033567875908068,0.14336738578416974,0.05485967757853061,0.02082540749126501,0.21176064380248844,0.08103042808017298,0.030760145856592612,128.0,0.83081801680017,0.7656698917126977,0.7987518640216513,0.8158686897751812,0.8436301717559543,0.770831337501295,0.017029702823526345,1.0,25
cva,BIQAE,biqae,256,256.0,0.08246229510688279,0.08246229510688285,0.08246229510688285,0.016108310868236993,0.012647132637679248,1.0,0.0558290882713004,0.1509149566137561,0.0,0.02169300064816171,0.01058663539719936,9,9,0.14103262516225257,0.06861541493571999,0.10502999553689467,0.16677789940716875,0.05753709363016739,0.019460420539571716,0.05838126161871515,0.0558290882713004,0.11291291438876916,0.03895408774384912,0.01317520370603526,0.16677789940716875,0.05753709363016746,0.01946042053957171,256.0,1.6756950654569343,1.4646860873184608,1.5727394915543011,1.5884177254231404,1.7583774911231476,1.34017675958569,0.05683008020035249,0.36,25
cva,BIQAE,biqae,512,512.0,0.3629024242275583,0.3629024242275583,0.3629024242275583,0.06184095612000944,0.05565786263640135,3.0,0.24569424668339335,0.0915277152380552,1.0,0.06851100441606907,0.05543769411512553,9,9,0.44744964319199204,0.36146433578931025,0.4032176556816578,0.4805647794722442,0.3432552850071066,0.023257506661867697,0.06977251998560309,0.24569424668339335,0.325354678261854,0.23239262964259416,0.01574592837505673,0.4805647794722442,0.34325528500710667,0.023257506661867697,512.0,3.516249140563756,3.0438336400923056,3.2880690778764308,3.269191664508394,3.522177358136274,3.08332535000518,0.12685082330746114,0.36,25
cva,BIQAE,biqae,768,768.0,0.3790994630186904,0.37909946301869035,0.37909946301869035,0.059283083271181494,0.05814198095573231,5.0,0.2566600572666633,0.21265175462924615,2.0,0.06475443269247243,0.054501468213506245,7,7,0.4222156629864889,0.35554627592478333,0.38653971991956093,0.45296492595743726,0.3458792910132609,0.018325294225371096,0.04848417122241995,0.2566600572666633,0.30666886972164875,0.23416914899306984,0.012406694084608382,0.45296492595743726,0.345879291013261,0.018325294225371096,768.0,5.005562496511908,4.378077330161811,4.708554397135677,4.704387718684981,5.137524589536127,4.425712756176866,0.17527263481674601,0.28,25
cva,BIQAE,biqae,2240,2240.0,0.48685949103452053,0.48685949103452053,0.48685949103452053,0.07802215693347957,0.074668993278028,13.0,0.32961635939742273,0.07534651442458508,6.0,0.08443607079382548,0.07395013940234561,6,6,0.5505688355160873,0.4825772492052652,0.5087229108956931,0.5595189310743446,0.4797903105782141,0.020542452731325645,0.050318527256990445,0.32961635939742273,0.3788086634252063,0.3248303429617979,0.01390776724513541,0.5595189310743446,0.47979031057821414,0.020542452731325638,2261.3333333333335,15.95397267568279,13.997162310904388,14.968135374115205,14.924661057008851,16.46862848501976,13.511116580317001,0.555275871457384,0.24,25
cva,BIQAE,biqae,2752,2752.0,0.2745040036242554,0.27450400362425537,0.27450400362425537,0.04813029501016333,0.04210031431832141,17.0,0.18584624923791096,0.11827798628146563,8.0,0.05484548228687692,0.04235069407412375,8,8,0.3582436159397242,0.27414285131731564,0.31382090347379465,0.40209678825024525,0.26369535017835377,0.023055865699861792,0.0652118359299944,0.18584624923791096,0.2722298361418709,0.17852851370140915,0.015609412273335978,0.4020967882502452,0.26369535017835377,0.023055865699861785,2864.0,18.94397307657017,15.651390162075483,17.22174965662166,17.120360371259544,18.797852070923263,15.72088380427964,0.8898867082196565,0.32,25
cva,BIQAE,biqae,3968,3968.0,0.41438780897119326,0.41438780897119326,0.41438780897119326,0.06338166078205337,0.06355410768889141,25.0,0.28055117233418503,0.21675033214011805,12.0,0.06432272748619905,0.06242840595653704,9,9,0.4193999575257737,0.4070488674072933,0.41326341436497394,0.4227726723776159,0.40291188182771587,0.003355464584653382,0.010066393753960146,0.28055117233418503,0.28622793986355366,0.2727816753943074,0.002271735564054168,0.4227726723776159,0.4029118818277159,0.0033554645846533768,4053.3333333333335,26.679357565560625,23.733487133350778,25.209857456357703,25.414683606770247,28.13403985797036,22.866182573580478,0.804559503968887,0.36,25
cva,BIQAE,biqae,11200,11200.0,0.5085315428659208,0.5085315428659208,0.5085315428659208,0.08045416561388892,0.07799280707301298,70.0,0.3442888941982939,0.07291450574417573,34.5,0.08696732227496007,0.07581222854925804,6,6,0.5662831763454045,0.49482724094298525,0.524580182520166,0.5760874233331443,0.48912158136143324,0.0205828570609903,0.050417497248068044,0.3442888941982939,0.390025957530833,0.3311478525528724,0.013935122012359224,0.5760874233331443,0.48912158136143324,0.0205828570609903,11477.333333333334,81.50829248326288,70.23418111662613,76.03252581664128,76.30358314997284,84.11064714990789,67.68334715004312,3.195531486533489,0.24,25
cva,BIQAE,biqae,15872,15872.0,0.28005297472017415,0.2800529747201742,0.2800529747201742,0.04645721082178237,0.042951352642706775,101.0,0.18960304495560726,0.12286494440652487,50.0,0.05303596730536353,0.04074936355166738,7,7,0.34594804372340837,0.26551401896795007,0.30291199897872423,0.36407170415845774,0.25044357676447526,0.02243211934525187,0.0593498091676575,0.18960304495560726,0.2464858791790865,0.1695567233005264,0.015187119997268681,0.3640717041584578,0.2504435767644753,0.022432119345251873,15725.714285714286,103.65407637325156,88.43525286931128,96.59070310001594,98.51132219983265,104.35193570028059,92.49976050015539,4.227236877524976,0.28,25
cva,BIQAE,biqae,23040,23040.0,0.40384892765913405,0.4038489276591341,0.4038489276591341,0.058835646421236246,0.061937773464460555,149.0,0.27341607944974505,0.20524062474086474,74.0,0.06491624368842863,0.049318207504975516,8,8,0.42327680430057374,0.32146258284755175,0.3836223258652,0.4389568373066623,0.3865630273166044,0.02982759844291924,0.08436518850199001,0.27341607944974505,0.29718503451208234,0.2617130816757789,0.02019404897998829,0.4335867556260994,0.3865630273166044,0.02982759844291925,23552.0,148.0836494750256,133.28155624845277,139.97677007500897,138.11236099997768,146.02025629999116,130.03748060006183,4.092167433847819,0.32,25
