run_kind,simulation_regime,noise_profile,noise_scale,noise_floor,instance_name,case_id,case_repetition,suite_run_index,calibration_case_id,call_strike,put_strike,benchmark_path,exposure_training_path,target_name,repetition,algorithm,algorithm_key,epsilon_target,step_index,budget,query_budget,query_budget_actual,estimate,a_true,abs_error,normalized_abs_error,processed_true_value,processed_estimate,processed_abs_error,processed_relative_error,cva_true,cva_estimate,cva_abs_error,cva_relative_error,grover_power,grover_power_exceeds_calibration,k_max_budget,amplification_factor,t_eff,calibration_status,runtime_wall_seconds,time_to_budget_seconds,circuit_prepare_wall_seconds,construct_circuit_wall_seconds,construct_circuit_cache_hits,construct_circuit_cache_misses,construct_circuit_cache_size,n_shots,max_grover_power,calibration_max_grover_power,execution_max_grover_power,execution_k_cap_enforced,cabiqae_hard_k_cap,cabiqae_scheduler,transpile_backend_name,use_fractional_gates_applied,transpilation_strategy,aer_method,construct_circuit_mode,normalized_sq_error
simulated_noise,simulated_noise,realistic,1.0,0.125,6q_instance,put_down_10pct,0,75,base,4500.0,11250.0,C:\Users\guilb\Desktop\Quantum-CVA\cva_pricing_pipeline\multi_asset\6q_instance\cva_robustness_test\data\put_down_10pct\benchmark\benchmark.npz,C:\Users\guilb\Desktop\Quantum-CVA\cva_pricing_pipeline\multi_asset\6q_instance\cva_robustness_test\data\put_down_10pct\quantum\training\crca\positive_exposure\training_heavy_hex_star_shots_backend_noise_snapshot.npz,cva,75,CABIQAE,cabiqae_latentt,0.005,0,128,128.0,128.0,0.14284231672746342,0.15336867135806465,0.010526354630601226,0.06863432106043157,0.6770256418274311,0.6305584465601024,0.046467195267328676,0.0686343210604316,0.6770256418274311,0.6305584465601024,0.046467195267328676,0.0686343210604316,0,False,0,1,6.2225929620762646,ok,0.4224491183650775,0.4224491183650775,1.001845100079663,1.001845100079663,6,3,91,128,24,24,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full,0.0047106700274264016
simulated_noise,simulated_noise,realistic,1.0,0.125,6q_instance,put_down_10pct,0,75,base,4500.0,11250.0,C:\Users\guilb\Desktop\Quantum-CVA\cva_pricing_pipeline\multi_asset\6q_instance\cva_robustness_test\data\put_down_10pct\benchmark\benchmark.npz,C:\Users\guilb\Desktop\Quantum-CVA\cva_pricing_pipeline\multi_asset\6q_instance\cva_robustness_test\data\put_down_10pct\quantum\training\crca\positive_exposure\training_heavy_hex_star_shots_backend_noise_snapshot.npz,cva,75,CABIQAE,cabiqae_latentt,0.005,1,512,512.0,512.0,0.15709406300638867,0.15336867135806465,0.003725391648324028,0.024290434384910867,0.6770256418274311,0.6934708887571425,0.016445246929711388,0.024290434384910877,0.6770256418274311,0.6934708887571425,0.016445246929711388,0.024290434384910877,1,False,1,3,6.2225929620762646,ok,1.68979647346031,1.68979647346031,1.001845100079663,1.001845100079663,6,3,91,128,24,24,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full,0.0005900252026076601
simulated_noise,simulated_noise,realistic,1.0,0.125,6q_instance,put_down_10pct,0,75,base,4500.0,11250.0,C:\Users\guilb\Desktop\Quantum-CVA\cva_pricing_pipeline\multi_asset\6q_instance\cva_robustness_test\data\put_down_10pct\benchmark\benchmark.npz,C:\Users\guilb\Desktop\Quantum-CVA\cva_pricing_pipeline\multi_asset\6q_instance\cva_robustness_test\data\put_down_10pct\quantum\training\crca\positive_exposure\training_heavy_hex_star_shots_backend_noise_snapshot.npz,cva,75,CABIQAE,cabiqae_latentt,0.005,2,896,896.0,896.0,0.1461689773197829,0.15336867135806465,0.007199694038281745,0.04694370743730878,0.6770256418274311,0.6452435481699279,0.031782093657503174,0.04694370743730885,0.6770256418274311,0.6452435481699279,0.031782093657503174,0.04694370743730885,1,False,1,3,6.2225929620762646,ok,2.9571438285555423,2.9571438285555423,1.001845100079663,1.001845100079663,6,3,91,128,24,24,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full,0.0022037116679596395
simulated_noise,simulated_noise,realistic,1.0,0.125,6q_instance,put_down_10pct,0,75,base,4500.0,11250.0,C:\Users\guilb\Desktop\Quantum-CVA\cva_pricing_pipeline\multi_asset\6q_instance\cva_robustness_test\data\put_down_10pct\benchmark\benchmark.npz,C:\Users\guilb\Desktop\Quantum-CVA\cva_pricing_pipeline\multi_asset\6q_instance\cva_robustness_test\data\put_down_10pct\quantum\training\crca\positive_exposure\training_heavy_hex_star_shots_backend_noise_snapshot.npz,cva,75,CABIQAE,cabiqae_latentt,0.005,3,1792,1792.0,1792.0,0.12200273114165289,0.15336867135806465,0.03136594021641176,0.20451334642642083,0.6770256418274311,0.5385648622008078,0.1384607796266233,0.20451334642642077,0.6770256418274311,0.5385648622008078,0.1384607796266233,0.20451334642642077,3,False,3,7,6.2225929620762646,ok,5.9142876571110845,5.9142876571110845,1.001845100079663,1.001845100079663,6,3,91,128,24,24,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full,0.041825708866533216
simulated_noise,simulated_noise,realistic,1.0,0.125,6q_instance,put_down_10pct,0,75,base,4500.0,11250.0,C:\Users\guilb\Desktop\Quantum-CVA\cva_pricing_pipeline\multi_asset\6q_instance\cva_robustness_test\data\put_down_10pct\benchmark\benchmark.npz,C:\Users\guilb\Desktop\Quantum-CVA\cva_pricing_pipeline\multi_asset\6q_instance\cva_robustness_test\data\put_down_10pct\quantum\training\crca\positive_exposure\training_heavy_hex_star_shots_backend_noise_snapshot.npz,cva,75,CABIQAE,cabiqae_latentt,0.005,4,2688,2688.0,2688.0,0.11502768841044064,0.15336867135806465,0.038340982947624,0.2499922742247053,0.6770256418274311,0.5077744619185508,0.16925117990888028,0.24999227422470532,0.6770256418274311,0.5077744619185508,0.16925117990888028,0.24999227422470532,3,False,3,7,6.2225929620762646,ok,8.871431485666626,8.871431485666626,1.001845100079663,1.001845100079663,6,3,91,128,24,24,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full,0.06249613717204025
simulated_noise,simulated_noise,realistic,1.0,0.125,6q_instance,put_down_10pct,0,75,base,4500.0,11250.0,C:\Users\guilb\Desktop\Quantum-CVA\cva_pricing_pipeline\multi_asset\6q_instance\cva_robustness_test\data\put_down_10pct\benchmark\benchmark.npz,C:\Users\guilb\Desktop\Quantum-CVA\cva_pricing_pipeline\multi_asset\6q_instance\cva_robustness_test\data\put_down_10pct\quantum\training\crca\positive_exposure\training_heavy_hex_star_shots_backend_noise_snapshot.npz,cva,75,CABIQAE,cabiqae_latentt,0.005,5,3584,3584.0,3584.0,0.11336025282178933,0.15336867135806465,0.04000841853627532,0.260864348513974,0.6770256418274311,0.5004137888448632,0.17661185298256787,0.26086434851397394,0.6770256418274311,0.5004137888448632,0.17661185298256787,0.26086434851397394,3,False,3,7,6.2225929620762646,ok,11.828575314222169,11.828575314222169,1.001845100079663,1.001845100079663,6,3,91,128,24,24,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full,0.06805020832562009
simulated_noise,simulated_noise,realistic,1.0,0.125,6q_instance,put_down_10pct,0,75,base,4500.0,11250.0,C:\Users\guilb\Desktop\Quantum-CVA\cva_pricing_pipeline\multi_asset\6q_instance\cva_robustness_test\data\put_down_10pct\benchmark\benchmark.npz,C:\Users\guilb\Desktop\Quantum-CVA\cva_pricing_pipeline\multi_asset\6q_instance\cva_robustness_test\data\put_down_10pct\quantum\training\crca\positive_exposure\training_heavy_hex_star_shots_backend_noise_snapshot.npz,cva,75,CABIQAE,cabiqae_latentt,0.005,6,4480,4480.0,4480.0,0.11131799251547686,0.15336867135806465,0.042050678842587785,0.2741803685865772,0.6770256418274311,0.49139850180862205,0.18562714001880903,0.2741803685865772,0.6770256418274311,0.49139850180862205,0.18562714001880903,0.2741803685865772,3,False,3,7,6.2225929620762646,ok,14.785719142777712,14.785719142777712,1.001845100079663,1.001845100079663,6,3,91,128,24,24,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full,0.07517487451827132
simulated_noise,simulated_noise,realistic,1.0,0.125,6q_instance,put_down_10pct,0,75,base,4500.0,11250.0,C:\Users\guilb\Desktop\Quantum-CVA\cva_pricing_pipeline\multi_asset\6q_instance\cva_robustness_test\data\put_down_10pct\benchmark\benchmark.npz,C:\Users\guilb\Desktop\Quantum-CVA\cva_pricing_pipeline\multi_asset\6q_instance\cva_robustness_test\data\put_down_10pct\quantum\training\crca\positive_exposure\training_heavy_hex_star_shots_backend_noise_snapshot.npz,cva,75,CABIQAE,cabiqae_latentt,0.005,7,5376,5376.0,5376.0,0.11034594490440866,0.15336867135806465,0.043022726453655985,0.28051834884330634,0.6770256418274311,0.4871075266574204,0.18991811517001067,0.28051834884330634,0.6770256418274311,0.4871075266574204,0.18991811517001067,0.28051834884330634,3,False,3,7,6.2225929620762646,ok,17.742862971333253,17.742862971333253,1.001845100079663,1.001845100079663,6,3,91,128,24,24,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full,0.07869054403777491
simulated_noise,simulated_noise,realistic,1.0,0.125,6q_instance,put_down_10pct,0,75,base,4500.0,11250.0,C:\Users\guilb\Desktop\Quantum-CVA\cva_pricing_pipeline\multi_asset\6q_instance\cva_robustness_test\data\put_down_10pct\benchmark\benchmark.npz,C:\Users\guilb\Desktop\Quantum-CVA\cva_pricing_pipeline\multi_asset\6q_instance\cva_robustness_test\data\put_down_10pct\quantum\training\crca\positive_exposure\training_heavy_hex_star_shots_backend_noise_snapshot.npz,cva,75,CABIQAE,cabiqae_latentt,0.005,8,6272,6272.0,6272.0,0.10947851952940818,0.15336867135806465,0.043890151828656465,0.28617416738381735,0.6770256418274311,0.48327839247997145,0.19374724934745963,0.28617416738381735,0.6770256418274311,0.48327839247997145,0.19374724934745963,0.28617416738381735,3,False,3,7,6.2225929620762646,ok,20.700006799888797,20.700006799888797,1.001845100079663,1.001845100079663,6,3,91,128,24,24,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full,0.08189565407782111
simulated_noise,simulated_noise,realistic,1.0,0.125,6q_instance,put_down_10pct,0,75,base,4500.0,11250.0,C:\Users\guilb\Desktop\Quantum-CVA\cva_pricing_pipeline\multi_asset\6q_instance\cva_robustness_test\data\put_down_10pct\benchmark\benchmark.npz,C:\Users\guilb\Desktop\Quantum-CVA\cva_pricing_pipeline\multi_asset\6q_instance\cva_robustness_test\data\put_down_10pct\quantum\training\crca\positive_exposure\training_heavy_hex_star_shots_backend_noise_snapshot.npz,cva,75,BIQAE,biqae,0.001,0,128,128.0,128.0,0.12596617222115442,0.15336867135806465,0.02740249913691023,0.1786707734654266,0.6770256418274311,0.5560609467461971,0.12096469508123397,0.1786707734654266,0.6770256418274311,0.5560609467461971,0.12096469508123397,0.1786707734654266,0,False,0,1,6.2225929620762646,ok,0.8415478685506499,0.8415478685506499,13.867576099815778,13.867576099815778,2,2,93,128,24,24,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full,0.03192324529073379
