sampler_call_index,n_circuits,shots,backend_mode,context,job_id,submitted_at_epoch
0,2,512,dry_run_aer,readout_calibration,local-3a42acc9-4a8e-42f9-9a34-a97cb0c94182,1778161585.4512577
0,1,512,dry_run_aer,amplification_scan,local-721b0aa1-a534-46b6-8ec7-e84ac338ff0a,1778161588.4038498
1,1,512,dry_run_aer,amplification_scan,local-ba304f7c-9cfe-474f-8866-851fe07fb4db,1778161602.7316017
2,1,512,dry_run_aer,amplification_scan,local-86bf2d84-fd41-4e91-8f24-7a7f0e9f3445,1778161620.083841
3,1,512,dry_run_aer,amplification_scan,local-e338fa2f-aadc-4367-92d5-227b7bc21d9d,1778161637.439413
4,1,512,dry_run_aer,amplification_scan,local-ee39bbee-23f4-45e6-b542-4aaea7e4b831,1778161649.5105803
5,1,512,dry_run_aer,amplification_scan,local-b9e93686-b189-45bc-a9fa-82fbf7461d5f,1778161670.659968
6,1,512,dry_run_aer,amplification_scan,local-24a48053-a536-4224-8453-a85a1d6d5563,1778161684.716037
7,1,512,dry_run_aer,amplification_scan,local-72d0a646-4d61-499f-a921-7a50dfdaf0a5,1778161708.1081398
8,1,512,dry_run_aer,amplification_scan,local-bb094b8b-9c95-43ef-8ead-34e98257f179,1778161714.2904832
9,1,512,dry_run_aer,amplification_scan,local-869d70f4-8c54-44c1-ba0f-7cb9518a8cc2,1778161717.61022
10,1,512,dry_run_aer,amplification_scan,local-90068224-ba5e-4923-bcbc-70b487b9a5d9,1778161718.941764
11,1,512,dry_run_aer,amplification_scan,local-d654865c-bdda-48f2-88c8-bfd17f07c7d2,1778161727.9680972
12,1,512,dry_run_aer,amplification_scan,local-585292cb-de5e-4a80-9c62-72a2d4800e49,1778161743.8362594
13,1,512,dry_run_aer,amplification_scan,local-de4aa601-c6c3-4529-845f-663fe39c764a,1778161747.9142985
14,1,512,dry_run_aer,amplification_scan,local-8d295751-3f2c-4824-bcd0-6ef2aed69439,1778161751.6710396
15,1,512,dry_run_aer,amplification_scan,local-d377bc68-0933-4f45-8271-a127e92d694d,1778161758.9777927
16,1,512,dry_run_aer,amplification_scan,local-f900c1f9-bb9e-416e-a745-4e8eeda06875,1778161763.9496706
17,1,512,dry_run_aer,amplification_scan,local-1f7cd5bb-3b28-43c7-91fb-82d98f42880e,1778161782.5967221
18,1,512,dry_run_aer,amplification_scan,local-ed0c8e09-1c67-447d-b3af-01bc845df3c2,1778161796.865724
19,1,512,dry_run_aer,amplification_scan,local-1ed2feab-3000-41a3-b6ac-be07fe5af526,1778161815.4449315
20,1,512,dry_run_aer,amplification_scan,local-bfa39fd7-00b8-4b0a-b7f0-35ba198c2093,1778161830.7459369
