contrast_baseline,grover_power,amplification_factor,contrast_mitigated,contrast_mitigated_se,contrast_signal_z,contrast_relative_se,visible_by_contrast,signal_z_from_baseline,shots,p_hw_mitigated,p_hw_mitigated_se,p_ideal,p_raw,p_raw_se,signal_z_from_half,used_in_fit
0.125,0,1,1.195949380415077,0.33849717897410325,3.5331147634366937,0.28303637638628265,False,3.5331147634366937,16384,0.13441582224392626,0.002665020208618245,0.13287309429489258,0.1343994140625,0.00266469488876856,137.1787638134351,False
0.125,1,3,0.9754862447829752,0.004625428653528761,210.89639855081805,0.004741664660333391,True,210.89639855081802,16384,0.7928824319374924,0.003166874524775529,0.8096661708552149,0.79278564453125,0.0031664879434126414,92.48311849622529,True
0.125,2,5,0.9514138587548185,0.0032450964181886606,293.1850817812915,0.0034108147451580575,True,293.1850817812915,16384,0.8771822732267123,0.002565554388568177,0.9155941944246487,0.8770751953125,0.002565241210542229,147.01784335868857,True
0.125,3,7,1.1659064481943422,0.02681815495131468,43.47452128272482,0.023001978411602734,False,43.47452128272482,16384,0.27701135392503967,0.003496561881302265,0.2553804041571792,0.2769775390625,0.003496135054900739,63.773687881053625,False
0.125,4,9,0.4958504436633996,0.027753105414899903,17.86648507439426,0.055970718125926834,False,17.86648507439426,16384,0.08588694909046514,0.002189185547502602,0.046119258015454856,0.08587646484375,0.0021889183129386977,189.1630663202351,False
0.125,5,11,0.8940009129222819,0.006929393066082262,129.01576002351558,0.007750991040301828,True,129.01576002351558,16384,0.6154315712367232,0.0038013307145369894,0.6735806156882055,0.6153564453125,0.00380086668490875,30.366095429500938,True
0.125,6,13,0.853496157402277,0.003208864126285942,265.9807719531413,0.003759670267353662,True,265.9807719531413,16384,0.8556342326944207,0.00274694380097197,0.981048649261876,0.85552978515625,0.0027466084806837656,129.4654199217997,True
0.125,7,15,0.9740083416001034,0.0138004170240043,70.57818179739958,0.014168684635013432,True,70.57818179739957,16384,0.3945183738249298,0.0038187208420670895,0.40171053964708797,0.39447021484375,0.0038182546896205483,27.6222406762712,True
0.125,8,17,0.2723312381949958,0.018589740789576654,14.649544675076537,0.06826150724679608,True,14.649544675076536,16384,0.0919301672567452,0.002257396627454022,0.0035676114042561668,0.0919189453125,0.0022571210663422723,180.77010826559598,True
0.125,9,19,0.8711047406298182,0.009857345283859661,88.37112990818717,0.011315912799111497,True,88.37112990818717,16384,0.4696007813453791,0.0038994723922099977,0.5205905246207579,0.46954345703125,0.0038989963823964956,7.795726087290589,True
0.125,10,21,0.7814615543469761,0.003515668450044828,222.2796504991851,0.0044988373778447445,True,222.27965049918507,16384,0.8085093395189843,0.0030749973647339803,0.9996551071090823,0.80841064453125,0.0030746219988447305,100.32832647506142,True
0.125,11,23,0.8542678260521553,0.009029994014116591,94.60336570729486,0.010570448445714127,True,94.60336570729487,16384,0.49456720791112196,0.003906491118451028,0.5576128137343181,0.4945068359375,0.0039060142518594207,1.3907089314034342,True
0.125,12,25,-0.012273148686023378,0.022453210805854232,,,False,0.5466099611385378,16384,0.1264192406299597,0.002596441211944922,0.009362141593221447,0.12640380859375,0.0025961242635547917,143.88184783517644,False
0.125,13,27,0.976612492811112,0.015587532976556386,62.6534355551924,0.015960816691673423,True,62.6534355551924,16384,0.35996825784397507,0.003750285291809542,0.36559517933017127,0.35992431640625,0.003749827493312007,37.338957241959186,True
0.125,14,29,0.7158183138101949,0.004109522945622522,174.18525782236767,0.005741013978460736,True,174.18525782236767,16384,0.7295812477109022,0.0034709093942235218,0.9696015365167254,0.7294921875,0.0034704856992291097,66.1444081752707,True
0.125,15,31,0.7471092560160374,0.006653053658230015,112.2956907302021,0.008905061213814222,True,112.2956907302021,16384,0.5604932242705408,0.0038780938203304915,0.7079043352946929,0.5604248046875,0.0038776204202059395,15.598700566090375,True
0.125,16,33,-1.0192379860265535,0.04921348191556542,,,False,20.710544069514114,16384,0.18825540227078502,0.003054260769706039,0.0629385353195254,0.188232421875,0.0030538879351394246,102.06875615248111,False
0.125,17,35,1.521748634598907,0.03535743557964458,43.03899900124499,0.02323474112330245,False,43.03899900124499,16384,0.2751800756928336,0.0034893951806009554,0.22368914765441344,0.275146484375,0.0034889692290408234,64.42948209392758,False
