sampler_call_index,n_circuits,shots,backend_mode,context,job_id,submitted_at_epoch
0,2,8192,dry_run_aer,readout_calibration,local-4a37099a-5e03-45dc-ade4-24ef76276fd1,1778691790.077268
0,1,8192,dry_run_aer,amplification_scan,local-78ce4cd1-9dd3-4184-ae21-e8af3a37df56,1778691791.829022
1,1,8192,dry_run_aer,amplification_scan,local-815bff82-4149-490e-b848-20dd931b5e68,1778691809.709548
2,1,8192,dry_run_aer,amplification_scan,local-1314f676-faf5-4838-ac33-a22b8b4f3faf,1778691850.7939966
3,1,8192,dry_run_aer,amplification_scan,local-95da6efb-5ead-4a95-8f75-d37c1f1ab592,1778691853.155663
4,1,8192,dry_run_aer,amplification_scan,local-f9c554d9-1bb2-40ed-9a70-3e102fea8840,1778691872.3324096
5,1,8192,dry_run_aer,amplification_scan,local-f24d5139-3abe-43d4-b6f4-5f3638bc4e2a,1778691911.3327863
6,1,8192,dry_run_aer,amplification_scan,local-08b67cef-8744-4013-b6d0-f00a7acb284b,1778691951.0077982
7,1,8192,dry_run_aer,amplification_scan,local-6afee7df-ef8b-4618-853e-47abbbe847cf,1778691958.426435
8,1,8192,dry_run_aer,amplification_scan,local-c8a8dd2d-a749-4e76-bb44-85e1474a55e5,1778691989.051641
9,1,8192,dry_run_aer,amplification_scan,local-b9496e96-b84c-448a-a4e9-34ce45fa0864,1778692001.9498894
10,1,8192,dry_run_aer,amplification_scan,local-92728704-bdb1-47f6-9442-28eb5ffb978b,1778692025.1962943
11,1,8192,dry_run_aer,amplification_scan,local-3d512b30-375e-4ab9-828c-033f90a94d24,1778692031.5125852
12,1,8192,dry_run_aer,amplification_scan,local-c9b8eaa1-48e5-4446-ae1d-491f33f1941b,1778692036.342893
13,1,8192,dry_run_aer,amplification_scan,local-57c35c8e-d9bb-48d5-a0b0-43233c7eb254,1778692073.6392288
14,1,8192,dry_run_aer,amplification_scan,local-43ad4f50-b652-4b09-92f4-69e62789e9f4,1778692109.8894408
15,1,8192,dry_run_aer,amplification_scan,local-9818182c-d0b3-45b5-b65c-b41d80e8a220,1778692123.0664248
16,1,8192,dry_run_aer,amplification_scan,local-b0227d18-1196-415c-affb-daffd14d636c,1778692140.748269
17,1,8192,dry_run_aer,amplification_scan,local-7f14c8c6-0080-407b-981a-a0dba5bc330a,1778692157.1140726
18,1,8192,dry_run_aer,amplification_scan,local-b132f8fe-9031-49da-bb2f-4e7df594bf86,1778692160.4528356
19,1,8192,dry_run_aer,amplification_scan,local-ad3acc21-bca4-40d3-9b5c-a2385adb8191,1778692163.0249252
20,1,8192,dry_run_aer,amplification_scan,local-1e49be68-70d5-40c6-849c-c138e11b3942,1778692168.816124
21,1,8192,dry_run_aer,amplification_scan,local-1a143764-9b21-463a-97a4-8f58829236fc,1778692194.3445797
22,1,8192,dry_run_aer,amplification_scan,local-ec44b334-24f9-4340-935a-6718fe21a414,1778692203.5389218
23,1,8192,dry_run_aer,amplification_scan,local-36f45b04-5e6a-42de-96e7-444e668b9fd9,1778692236.3150084
24,1,8192,dry_run_aer,amplification_scan,local-fb8449fc-4ed5-4d76-811e-a7292d093f15,1778692259.1843035
25,1,8192,dry_run_aer,amplification_scan,local-ae706ba4-29a8-4127-950d-95d4b6b242db,1778692286.020494
