active_physical_qubits,amplification_factor,decomposed_2q,decomposed_depth,grover_power,isa_2q,isa_depth,isa_size,isa_swap_count,logical_2q,logical_depth,p_ideal,within_2q_limit,within_depth_limit
"[47, 57, 65, 66, 67, 68, 69, 70, 78]",1,124,213,0,102,201,448,0,59,64,0.13287309429489258,True,True
"[47, 57, 65, 66, 67, 68, 69, 70, 78]",3,702,1226,1,1047,2033,3789,0,637,1077,0.8096661708552149,True,True
"[47, 57, 65, 66, 67, 68, 69, 70, 78]",5,1280,2239,2,1975,3900,7146,0,1215,2090,0.9155941944246487,True,True
"[47, 57, 65, 66, 67, 68, 69, 70, 78]",7,1858,3252,3,2910,5779,10586,0,1793,3103,0.2553804041571792,True,True
"[47, 57, 65, 66, 67, 68, 69, 70, 78]",9,2436,4265,4,3855,7588,14044,0,2371,4116,0.046119258015454856,True,True
"[47, 57, 65, 66, 67, 68, 69, 70, 78]",11,3014,5278,5,4855,9593,17415,0,2949,5129,0.6735806156882055,True,True
"[47, 57, 65, 66, 67, 68, 69, 70, 78]",13,3592,6291,6,5807,11500,20817,0,3527,6142,0.981048649261876,True,True
"[47, 57, 65, 66, 67, 68, 69, 70, 78]",15,4170,7304,7,6751,13379,24264,0,4105,7155,0.40171053964708797,True,True
"[47, 57, 65, 66, 67, 68, 69, 70, 78]",17,4748,8317,8,7681,15194,27573,0,4683,8168,0.0035676114042561668,True,True
"[47, 57, 65, 66, 67, 68, 69, 70, 78]",19,5326,9330,9,8630,17015,31013,0,5261,9181,0.5205905246207579,True,True
"[47, 57, 65, 66, 67, 68, 69, 70, 78]",21,5904,10343,10,9568,18880,34430,0,5839,10194,0.9996551071090823,True,True
"[47, 57, 65, 66, 67, 68, 69, 70, 78]",23,6482,11356,11,10566,20759,37942,0,6417,11207,0.5576128137343181,True,True
"[47, 57, 65, 66, 67, 68, 69, 70, 78]",25,7060,12369,12,11516,22591,41384,0,6995,12220,0.009362141593221447,True,True
"[47, 57, 65, 66, 67, 68, 69, 70, 78]",27,7638,13382,13,12470,24446,44821,0,7573,13233,0.36559517933017127,True,True
"[47, 57, 65, 66, 67, 68, 69, 70, 78]",29,8216,14395,14,13427,26285,48278,0,8151,14246,0.9696015365167254,True,True
"[47, 57, 65, 66, 67, 68, 69, 70, 78]",31,8794,15408,15,14381,28114,51708,0,8729,15259,0.7079043352946929,True,True
"[47, 57, 65, 66, 67, 68, 69, 70, 78]",33,9372,16421,16,15335,29960,55148,0,9307,16272,0.0629385353195254,True,True
"[47, 57, 65, 66, 67, 68, 69, 70, 78]",35,9950,17434,17,16290,31825,58586,0,9885,17285,0.22368914765441344,True,True
"[47, 57, 65, 66, 67, 68, 69, 70, 78]",37,10528,18447,18,17270,33741,62108,0,10463,18298,0.8938147715728102,True,True
"[47, 57, 65, 66, 67, 68, 69, 70, 78]",39,11106,19460,19,18343,35790,65854,0,11041,19311,0.8379486288688376,True,True
"[47, 57, 65, 66, 67, 68, 69, 70, 78]",41,11684,20473,20,19295,37625,69281,0,11619,20324,0.1590791358329206,True,True
"[47, 57, 65, 66, 67, 68, 69, 70, 78]",43,12262,21486,21,20178,39562,72580,0,12197,21337,0.10869226539391746,True,True
"[47, 57, 65, 66, 67, 68, 69, 70, 78]",45,12840,22499,22,21138,41447,76053,0,12775,22350,0.7796754756289959,True,True
"[47, 57, 65, 66, 67, 68, 69, 70, 78]",47,13418,23512,23,22094,43297,79502,0,13353,23363,0.9350810405110783,True,True
"[47, 57, 65, 66, 67, 68, 69, 70, 78]",49,13996,24525,24,23058,45183,82978,0,13931,24376,0.28842107605047224,True,True
