grover_power,amplification_factor,shots,bad_counts,batch_index,counts_json,good_counts,p_raw,repeat_index
13,27,8192,6828,0,"{""000"": 713, ""001"": 722, ""010"": 991, ""011"": 961, ""100"": 1060, ""101"": 1000, ""110"": 1381, ""111"": 1364}",1364,0.16650390625,2
4,9,8192,6023,1,"{""000"": 272, ""001"": 227, ""010"": 761, ""011"": 639, ""100"": 736, ""101"": 644, ""110"": 2744, ""111"": 2169}",2169,0.2647705078125,1
11,23,8192,6641,2,"{""000"": 662, ""001"": 599, ""010"": 929, ""011"": 995, ""100"": 998, ""101"": 1018, ""110"": 1440, ""111"": 1551}",1551,0.1893310546875,2
14,29,8192,6911,3,"{""000"": 790, ""001"": 787, ""010"": 956, ""011"": 943, ""100"": 1047, ""101"": 1070, ""110"": 1318, ""111"": 1281}",1281,0.1563720703125,5
8,17,8192,6515,4,"{""000"": 509, ""001"": 526, ""010"": 874, ""011"": 813, ""100"": 1070, ""101"": 943, ""110"": 1780, ""111"": 1677}",1677,0.2047119140625,3
12,25,8192,6796,5,"{""000"": 706, ""001"": 694, ""010"": 977, ""011"": 952, ""100"": 1032, ""101"": 998, ""110"": 1437, ""111"": 1396}",1396,0.17041015625,1
9,19,8192,6548,6,"{""000"": 604, ""001"": 586, ""010"": 940, ""011"": 866, ""100"": 963, ""101"": 955, ""110"": 1634, ""111"": 1644}",1644,0.20068359375,5
7,15,8192,6317,7,"{""000"": 459, ""001"": 451, ""010"": 859, ""011"": 840, ""100"": 945, ""101"": 918, ""110"": 1845, ""111"": 1875}",1875,0.2288818359375,2
8,17,8192,6460,8,"{""000"": 522, ""001"": 545, ""010"": 932, ""011"": 792, ""100"": 1041, ""101"": 986, ""110"": 1642, ""111"": 1732}",1732,0.21142578125,0
12,25,8192,6705,9,"{""000"": 668, ""001"": 688, ""010"": 949, ""011"": 954, ""100"": 1008, ""101"": 1036, ""110"": 1402, ""111"": 1487}",1487,0.1815185546875,0
14,29,8192,6845,10,"{""000"": 774, ""001"": 778, ""010"": 951, ""011"": 1029, ""100"": 1039, ""101"": 1026, ""110"": 1248, ""111"": 1347}",1347,0.1644287109375,0
4,9,8192,6022,11,"{""000"": 280, ""001"": 242, ""010"": 748, ""011"": 599, ""100"": 762, ""101"": 667, ""110"": 2724, ""111"": 2170}",2170,0.264892578125,3
6,13,8192,6109,12,"{""000"": 422, ""001"": 417, ""010"": 807, ""011"": 762, ""100"": 919, ""101"": 844, ""110"": 1938, ""111"": 2083}",2083,0.2542724609375,5
7,15,8192,6380,13,"{""000"": 476, ""001"": 458, ""010"": 923, ""011"": 830, ""100"": 947, ""101"": 898, ""110"": 1848, ""111"": 1812}",1812,0.22119140625,3
5,11,8192,5970,14,"{""000"": 363, ""001"": 282, ""010"": 781, ""011"": 703, ""100"": 867, ""101"": 764, ""110"": 2210, ""111"": 2222}",2222,0.271240234375,4
5,11,8192,5969,15,"{""000"": 355, ""001"": 323, ""010"": 820, ""011"": 642, ""100"": 862, ""101"": 808, ""110"": 2159, ""111"": 2223}",2223,0.2713623046875,5
2,5,8192,4315,16,"{""000"": 154, ""001"": 124, ""010"": 480, ""011"": 376, ""100"": 508, ""101"": 453, ""110"": 2220, ""111"": 3877}",3877,0.4732666015625,3
10,21,8192,6621,17,"{""000"": 647, ""001"": 590, ""010"": 950, ""011"": 907, ""100"": 998, ""101"": 1012, ""110"": 1517, ""111"": 1571}",1571,0.1917724609375,0
0,1,8192,7053,18,"{""010"": 7, ""100"": 18, ""110"": 7028, ""111"": 1139}",1139,0.1390380859375,4
14,29,8192,6841,19,"{""000"": 777, ""001"": 790, ""010"": 925, ""011"": 980, ""100"": 1088, ""101"": 999, ""110"": 1282, ""111"": 1351}",1351,0.1649169921875,2
12,25,8192,6787,20,"{""000"": 687, ""001"": 672, ""010"": 918, ""011"": 933, ""100"": 1067, ""101"": 1024, ""110"": 1486, ""111"": 1405}",1405,0.1715087890625,3
11,23,8192,6722,21,"{""000"": 662, ""001"": 666, ""010"": 960, ""011"": 987, ""100"": 1008, ""101"": 1003, ""110"": 1436, ""111"": 1470}",1470,0.179443359375,1
10,21,8192,6689,22,"{""000"": 630, ""001"": 603, ""010"": 943, ""011"": 901, ""100"": 1033, ""101"": 980, ""110"": 1599, ""111"": 1503}",1503,0.1834716796875,1
5,11,8192,6000,23,"{""000"": 324, ""001"": 303, ""010"": 808, ""011"": 736, ""100"": 862, ""101"": 774, ""110"": 2193, ""111"": 2192}",2192,0.267578125,1
1,3,8192,3812,24,"{""000"": 59, ""001"": 42, ""010"": 353, ""011"": 219, ""100"": 363, ""101"": 260, ""110"": 2516, ""111"": 4380}",4380,0.53466796875,0
10,21,8192,6640,25,"{""000"": 651, ""001"": 548, ""010"": 976, ""011"": 913, ""100"": 1023, ""101"": 1023, ""110"": 1506, ""111"": 1552}",1552,0.189453125,4
9,19,8192,6549,26,"{""000"": 593, ""001"": 502, ""010"": 966, ""011"": 868, ""100"": 1028, ""101"": 977, ""110"": 1615, ""111"": 1643}",1643,0.2005615234375,2
10,21,8192,6618,27,"{""000"": 636, ""001"": 615, ""010"": 937, ""011"": 911, ""100"": 1026, ""101"": 972, ""110"": 1521, ""111"": 1574}",1574,0.192138671875,5
3,7,8192,5651,28,"{""000"": 218, ""001"": 179, ""010"": 564, ""011"": 513, ""100"": 659, ""101"": 580, ""110"": 2938, ""111"": 2541}",2541,0.3101806640625,1
14,29,8192,6881,29,"{""000"": 752, ""001"": 774, ""010"": 996, ""011"": 990, ""100"": 1076, ""101"": 981, ""110"": 1312, ""111"": 1311}",1311,0.1600341796875,1
0,1,8192,7067,30,"{""010"": 7, ""011"": 4, ""100"": 17, ""101"": 4, ""110"": 7035, ""111"": 1125}",1125,0.1373291015625,1
11,23,8192,6742,31,"{""000"": 715, ""001"": 633, ""010"": 926, ""011"": 948, ""100"": 997, ""101"": 1025, ""110"": 1498, ""111"": 1450}",1450,0.177001953125,4
13,27,8192,6841,32,"{""000"": 758, ""001"": 756, ""010"": 928, ""011"": 954, ""100"": 1032, ""101"": 1040, ""110"": 1373, ""111"": 1351}",1351,0.1649169921875,1
9,19,8192,6550,33,"{""000"": 618, ""001"": 594, ""010"": 908, ""011"": 872, ""100"": 1028, ""101"": 948, ""110"": 1582, ""111"": 1642}",1642,0.200439453125,0
13,27,8192,6807,34,"{""000"": 719, ""001"": 712, ""010"": 973, ""011"": 958, ""100"": 1072, ""101"": 999, ""110"": 1374, ""111"": 1385}",1385,0.1690673828125,3
3,7,8192,5630,35,"{""000"": 203, ""001"": 171, ""010"": 590, ""011"": 534, ""100"": 586, ""101"": 590, ""110"": 2956, ""111"": 2562}",2562,0.312744140625,0
4,9,8192,5974,36,"{""000"": 263, ""001"": 248, ""010"": 690, ""011"": 629, ""100"": 765, ""101"": 669, ""110"": 2710, ""111"": 2218}",2218,0.270751953125,4
3,7,8192,5659,37,"{""000"": 214, ""001"": 193, ""010"": 620, ""011"": 557, ""100"": 633, ""101"": 538, ""110"": 2904, ""111"": 2533}",2533,0.3092041015625,4
12,25,8192,6737,38,"{""000"": 737, ""001"": 679, ""010"": 968, ""011"": 942, ""100"": 1051, ""101"": 1001, ""110"": 1359, ""111"": 1455}",1455,0.1776123046875,5
0,1,8192,7070,39,"{""010"": 10, ""011"": 1, ""100"": 13, ""101"": 4, ""110"": 7042, ""111"": 1122}",1122,0.136962890625,0
2,5,8192,4317,40,"{""000"": 130, ""001"": 110, ""010"": 497, ""011"": 429, ""100"": 446, ""101"": 445, ""110"": 2260, ""111"": 3875}",3875,0.4730224609375,2
1,3,8192,3871,41,"{""000"": 60, ""001"": 58, ""010"": 340, ""011"": 244, ""100"": 374, ""101"": 278, ""110"": 2517, ""111"": 4321}",4321,0.5274658203125,1
9,19,8192,6537,42,"{""000"": 550, ""001"": 553, ""010"": 919, ""011"": 921, ""100"": 1009, ""101"": 952, ""110"": 1633, ""111"": 1655}",1655,0.2020263671875,4
13,27,8192,6866,43,"{""000"": 714, ""001"": 692, ""010"": 995, ""011"": 976, ""100"": 1036, ""101"": 1065, ""110"": 1388, ""111"": 1326}",1326,0.161865234375,0
2,5,8192,4343,44,"{""000"": 129, ""001"": 104, ""010"": 512, ""011"": 403, ""100"": 499, ""101"": 474, ""110"": 2222, ""111"": 3849}",3849,0.4698486328125,1
8,17,8192,6499,45,"{""000"": 547, ""001"": 494, ""010"": 888, ""011"": 846, ""100"": 1018, ""101"": 965, ""110"": 1741, ""111"": 1693}",1693,0.2066650390625,2
