component,metric,metric_family,training_regime,evaluation_regime,value,std,shots,repetitions,source
QCBM,KL(target || p_theta),KL,ideal_statevector,ideal_statevector,0.010589300763147177,,,,data\multi_asset\6q_instance\quantum\training\qcbm\statevector\training_qcbm_heavyhex6_6lay.npz
QCBM,KL(target || p_theta),KL,ideal_statevector,shots_backend_noise,0.04737972747632506,0.000414917859751661,100000.0,10.0,data\multi_asset\6q_instance\quantum\training\qcbm\shots\6LAY_training_qcbm_heavyhex6_shots_backend_noise_snapshot.npz
QCBM,KL(target || p_theta),KL,shots_backend_noise,shots_backend_noise,0.07342485429932866,,60000.0,,data\multi_asset\6q_instance\quantum\training\qcbm\shots\6LAY_training_qcbm_heavyhex6_shots_backend_noise_snapshot.npz
CRCA default probabilities,"MSE(f_target, f_theta)",MSE,ideal_statevector,ideal_statevector,2.9184297132522262e-08,,,,data\multi_asset\6q_instance\quantum\training\crca\default_probabilities\training_crca2.npz
CRCA default probabilities,"MSE(f_target, f_theta)",MSE,ideal_statevector,shots_backend_noise,7.368000505291588e-05,,60000.0,,data\multi_asset\6q_instance\quantum\training\crca\default_probabilities\training_crca2_shots_backend_noise_snapshot.npz
CRCA default probabilities,"MSE(f_target, f_theta)",MSE,shots_backend_noise,shots_backend_noise,7.079628081298194e-05,,60000.0,,data\multi_asset\6q_instance\quantum\training\crca\default_probabilities\training_crca2_shots_backend_noise_snapshot.npz
CRCA discount factors,"MSE(f_target, f_theta)",MSE,ideal_statevector,ideal_statevector,3.7190297606739145e-06,,,,data\multi_asset\6q_instance\quantum\training\crca\discount_factors\training_crca2.npz
CRCA discount factors,"MSE(f_target, f_theta)",MSE,ideal_statevector,shots_backend_noise,8.207388098372957e-05,,60000.0,,data\multi_asset\6q_instance\quantum\training\crca\discount_factors\training_crca2_shots_backend_noise_snapshot.npz
CRCA discount factors,"MSE(f_target, f_theta)",MSE,shots_backend_noise,shots_backend_noise,3.194790127352494e-05,,60000.0,,data\multi_asset\6q_instance\quantum\training\crca\discount_factors\training_crca2_shots_backend_noise_snapshot.npz
CRCA positive exposure,"MSE(f_target, f_theta)",MSE,ideal_statevector,ideal_statevector,0.0031974900426600347,,,,data\multi_asset\6q_instance\quantum\training\crca\positive_exposure\training_heavy_hex_star.npz
CRCA positive exposure,"MSE(f_target, f_theta)",MSE,ideal_statevector,shots_backend_noise,0.0168879548481213,0.0001422787837379,100000.0,10.0,cva_pricing_pipeline\multi_asset\6q_instance\training_multi_asset\functional_encoding\statevector\positive_exposure\layers_comparison\results\statevector\tables\positive_exposure_statevector_vs_backend_noise_eval.csv
CRCA positive exposure,"MSE(f_target, f_theta)",MSE,shots_backend_noise,shots_backend_noise,0.010188751137728186,,60000.0,,data\multi_asset\6q_instance\quantum\training\crca\positive_exposure\training_heavy_hex_star_shots_backend_noise_snapshot.npz
