amplification_factor,bad_counts,batch_index,counts_json,good_counts,grover_power,p_raw,repeat_index,shots
5,3490,0,"{""000"": 488, ""001"": 447, ""010"": 478, ""011"": 372, ""100"": 602, ""101"": 551, ""110"": 552, ""111"": 606}",606,2,0.14794921875,0,4096
9,3676,1,"{""000"": 582, ""001"": 665, ""010"": 559, ""011"": 552, ""100"": 440, ""101"": 442, ""110"": 436, ""111"": 420}",420,4,0.1025390625,0,4096
1,3593,2,"{""000"": 6, ""001"": 3, ""010"": 135, ""011"": 20, ""100"": 179, ""101"": 38, ""110"": 3212, ""111"": 503}",503,0,0.122802734375,1,4096
3,3361,3,"{""000"": 323, ""001"": 264, ""010"": 561, ""011"": 361, ""100"": 462, ""101"": 345, ""110"": 1045, ""111"": 735}",735,1,0.179443359375,1,4096
7,3616,4,"{""000"": 606, ""001"": 572, ""010"": 576, ""011"": 563, ""100"": 402, ""101"": 436, ""110"": 461, ""111"": 480}",480,3,0.1171875,1,4096
9,3721,5,"{""000"": 613, ""001"": 688, ""010"": 563, ""011"": 664, ""100"": 385, ""101"": 432, ""110"": 376, ""111"": 375}",375,4,0.091552734375,1,4096
7,3556,6,"{""000"": 530, ""001"": 566, ""010"": 552, ""011"": 537, ""100"": 441, ""101"": 445, ""110"": 485, ""111"": 540}",540,3,0.1318359375,0,4096
1,3605,7,"{""000"": 4, ""001"": 1, ""010"": 129, ""011"": 18, ""100"": 107, ""101"": 41, ""110"": 3305, ""111"": 491}",491,0,0.119873046875,0,4096
3,3364,8,"{""000"": 320, ""001"": 221, ""010"": 579, ""011"": 333, ""100"": 477, ""101"": 346, ""110"": 1088, ""111"": 732}",732,1,0.1787109375,0,4096
5,3591,9,"{""000"": 564, ""001"": 534, ""010"": 425, ""011"": 437, ""100"": 601, ""101"": 571, ""110"": 459, ""111"": 505}",505,2,0.123291015625,1,4096
