checkpoint_name,checkpoint_file,n_layers,scenario,scenario_label,shots,n_repetitions,kl_mean,kl_median,kl_std,kl_min,kl_max,kl_ci95_lo,kl_ci95_hi,kl_statevector_exact,excess_over_ideal,ratio_to_ideal
training_qcbm_heavyhex6_4lay,training_qcbm_heavyhex6_4lay.npz,4,shots_ideal,Finite shots (noiseless),2048,2,0.39307730532455165,0.39307730532455165,0.0034514733299049155,0.39063674512789137,0.39551786552121193,0.39063674512789137,0.39551786552121193,0.37961700870336723,0.01346029662118442,1.0354575698996202
training_qcbm_heavyhex6_4lay,training_qcbm_heavyhex6_4lay.npz,4,shots_ideal,Finite shots (noiseless),8192,2,0.38415230405800993,0.38415230405800993,0.003432283284326037,0.38172531327270975,0.3865792948433101,0.38172531327270975,0.3865792948433101,0.37961700870336723,0.004535295354642699,1.0119470288492436
training_qcbm_heavyhex6_4lay,training_qcbm_heavyhex6_4lay.npz,4,shots_noise,Finite shots + backend noise model,2048,2,0.4453711153217722,0.4453711153217722,0.011496485598605567,0.4372418723951847,0.45350035824835966,0.4372418723951847,0.45350035824835966,0.37961700870336723,0.06575410661840497,1.1732116978714862
training_qcbm_heavyhex6_4lay,training_qcbm_heavyhex6_4lay.npz,4,shots_noise,Finite shots + backend noise model,8192,2,0.434501301543116,0.434501301543116,0.002968085100476315,0.43240254844143045,0.43660005464480156,0.43240254844143045,0.43660005464480156,0.37961700870336723,0.05488429283974877,1.144578065738449
training_qcbm_heavyhex6_6lay,training_qcbm_heavyhex6_6lay.npz,6,shots_ideal,Finite shots (noiseless),2048,2,0.02603397667203803,0.02603397667203803,0.007326132693713572,0.020853618564440693,0.031214334779635363,0.020853618564440693,0.031214334779635363,0.01058930076314725,0.01544467590889078,2.458517068722908
training_qcbm_heavyhex6_6lay,training_qcbm_heavyhex6_6lay.npz,6,shots_ideal,Finite shots (noiseless),8192,2,0.014269240670090935,0.014269240670090935,0.0011896373221859712,0.013428040052420629,0.01511044128776124,0.013428040052420629,0.01511044128776124,0.01058930076314725,0.003679939906943685,1.3475149104982045
training_qcbm_heavyhex6_6lay,training_qcbm_heavyhex6_6lay.npz,6,shots_noise,Finite shots + backend noise model,2048,2,0.08862292146270054,0.08862292146270054,0.019409539294855668,0.07489830460760134,0.10234753831779975,0.07489830460760134,0.10234753831779975,0.01058930076314725,0.07803362069955329,8.369100419843104
training_qcbm_heavyhex6_6lay,training_qcbm_heavyhex6_6lay.npz,6,shots_noise,Finite shots + backend noise model,8192,2,0.07019044218677636,0.07019044218677636,0.0005395441764494347,0.06980892684085925,0.07057195753269346,0.06980892684085925,0.07057195753269346,0.01058930076314725,0.059601141423629114,6.62843031440303
training_qcbm_heavyhex6_8lay,training_qcbm_heavyhex6_8lay.npz,8,shots_ideal,Finite shots (noiseless),2048,2,0.04713345194824524,0.04713345194824524,0.022128259448970136,0.031486409636023165,0.06278049426046732,0.031486409636023165,0.06278049426046732,0.0005989540195489465,0.046534497928696295,78.69293870627993
training_qcbm_heavyhex6_8lay,training_qcbm_heavyhex6_8lay.npz,8,shots_ideal,Finite shots (noiseless),8192,2,0.008143142071482617,0.008143142071482617,0.002019920961043521,0.006714842262467895,0.009571441880497338,0.006714842262467895,0.009571441880497338,0.0005989540195489465,0.007544188051933671,13.595604680330824
training_qcbm_heavyhex6_8lay,training_qcbm_heavyhex6_8lay.npz,8,shots_noise,Finite shots + backend noise model,2048,2,0.07495099853794975,0.07495099853794975,0.00297822156770567,0.07284507787154904,0.07705691920435045,0.07284507787154904,0.07705691920435045,0.0005989540195489465,0.0743520445184008,125.13648141871222
training_qcbm_heavyhex6_8lay,training_qcbm_heavyhex6_8lay.npz,8,shots_noise,Finite shots + backend noise model,8192,2,0.06751080360083855,0.06751080360083855,0.003669683670580029,0.06491594539256187,0.07010566180911523,0.06491594539256187,0.07010566180911523,0.0005989540195489465,0.06691184958128961,112.71450127620618
training_qcbm_heavyhex6_10lay,training_qcbm_heavyhex6_10lay.npz,10,shots_ideal,Finite shots (noiseless),2048,2,0.043027382126917355,0.043027382126917355,0.010001393084759367,0.03595532925537176,0.05009943499846294,0.03595532925537176,0.05009943499846294,0.00010687985912399069,0.04292050226779336,402.57708495855655
training_qcbm_heavyhex6_10lay,training_qcbm_heavyhex6_10lay.npz,10,shots_ideal,Finite shots (noiseless),8192,2,0.009662643231658805,0.009662643231658805,0.001808703074778444,0.008383697022330008,0.010941589440987602,0.008383697022330008,0.010941589440987602,0.00010687985912399069,0.009555763372534814,90.40658652486836
training_qcbm_heavyhex6_10lay,training_qcbm_heavyhex6_10lay.npz,10,shots_noise,Finite shots + backend noise model,2048,2,0.0743880205531816,0.0743880205531816,0.002467322551025203,0.07264336004597718,0.07613268106038601,0.07264336004597718,0.07613268106038601,0.00010687985912399069,0.07428114069405761,695.9966186602519
training_qcbm_heavyhex6_10lay,training_qcbm_heavyhex6_10lay.npz,10,shots_noise,Finite shots + backend noise model,8192,2,0.06600993862550159,0.06600993862550159,0.00025324316177291516,0.06583086866852284,0.06618900858248034,0.06583086866852284,0.06618900858248034,0.00010687985912399069,0.0659030587663776,617.608772752253
