k,K,q_ideal,one_counts,shots,p_hat,p_ci_low,p_ci_high,p_fit,residual,contrast_fit,depth,n_rz,n_sx,p_fit__drift_contrast_spam,resid__drift_contrast_spam,p_fit__drift_spam,resid__drift_spam,p_fit__spam_only,resid__spam_only,p_fit__contrast_only,resid__contrast_only
0,1,0.0954915028,186,2048,0.0908203125,0.0791291245,0.1040436896,0.0958958091,-0.0050754966,0.9990004998,6,3,2,0.0935237535104526,-0.002703441010452598,0.10485103913742526,-0.014030726637425259,0.09080660958333299,1.3702916667010512e-05,0.09586937639188814,-0.005049063891888139
2,5,1.0,2034,2048,0.9931640625,0.9885578237,0.9959236295,0.9975062395,-0.004342177,0.9950124791,16,9,6,0.9916694752783931,0.0014945872216068912,0.989926584680813,0.00323747781918704,0.9509391612939722,0.04222490120602784,0.9976689719204873,-0.004504909420487313
5,11,0.0954915028,174,2048,0.0849609375,0.0736483842,0.0978276206,0.0999167131,-0.0149557756,0.9890602785,31,18,12,0.0815893683839618,0.0033715691160381978,0.09094000875170213,-0.005979071251702134,0.09080660958333299,-0.0058456720833329895,0.09962875203237781,-0.01466781453237781
7,15,1.0,2027,2048,0.9897460938,0.9843747222,0.9932835922,0.9925559696,-0.0028098759,0.9851119392,41,24,16,0.9893554897897127,0.00039060401028734315,0.9886771457704281,0.0010689480295719145,0.9509391612939722,0.03880693250602785,0.9930394672485532,-0.003293373448553183
10,21,0.0954915028,138,2048,0.0673828125,0.0573155691,0.0790700076,0.1038976084,-0.0365147959,0.9792189641,56,33,22,0.0706054674166297,-0.003222654916629694,0.07807941077953724,-0.010696598279537242,0.09080660958333299,-0.02342379708333299,0.10335315654130584,-0.035970344041305835
12,25,1.0,2023,2048,0.9877929688,0.982041307,0.9917180709,0.9876549557,0.000138013,0.9753099114,66,39,26,0.9859944575616656,0.0017985112383344104,0.9861814643808381,0.0016115044191619132,0.9509391612939722,0.03685380750602785,0.9884530279769487,-0.0006600591769486686
15,31,0.0954915028,119,2048,0.0581054688,0.0487764201,0.0690892086,0.1078388932,-0.0497334244,0.9694755723,81,48,32,0.06059082916275494,-0.002485360362754943,0.06630214640241358,-0.008196677602413584,0.09080660958333299,-0.03270114078333299,0.10704291523334131,-0.04893744643334131
17,35,1.0,2003,2048,0.9780273438,0.9707264271,0.9835382685,0.9828027077,-0.004775364,0.9656054154,91,54,36,0.9815988856536919,-0.0035715418536919064,0.9824459251969926,-0.0044185813969925825,0.9509391612939722,0.027088182506027847,0.9839092534950609,-0.005881909695060861
20,41,0.0954915028,100,2048,0.048828125,0.0403096621,0.0590360184,0.1117409615,-0.0629128365,0.959829129,106,63,42,0.05156205633675955,-0.0027339313367595527,0.05563834531674762,-0.00681022031674762,0.09080660958333299,-0.04197848458333299,0.11069835039695353,-0.061870225396953527
22,45,1.0,2005,2048,0.9790039062,0.9718389665,0.9843751974,0.9779987404,0.0010051659,0.9559974808,116,69,46,0.9761834390119888,0.002820467188011211,0.9774800848237162,0.0015238213762838182,0.9509391612939722,0.02806474490602784,0.9794077469189074,-0.00040384071890742224
25,51,0.0954915028,102,2048,0.0498046875,0.0411969623,0.0600981864,0.1156042036,-0.0657995161,0.9502786693,131,78,52,0.043533551163605105,0.006271136336394895,0.046115288653289566,0.0036893988467104344,0.09080660958333299,-0.04100192208333299,0.11431978132256271,-0.06451509382256271
27,55,1.0,1981,2048,0.9672851562,0.9586634925,0.9741570527,0.9732425733,-0.0059574171,0.9464851467,141,84,56,0.9697648980801622,-0.0024797418801622007,0.9712966473371081,-0.004011491137108081,0.9509391612939722,0.01634599490602784,0.9749481150564712,-0.007662958856471169
30,61,0.0954915028,84,2048,0.041015625,0.0332505207,0.050499414,0.1194290057,-0.0784133807,0.9408232384,156,93,62,0.0365174955780961,0.004498129421903897,0.03775733918399252,0.0032582858160074835,0.09080660958333299,-0.04979098458333299,0.11790752433042917,-0.07689189933042917
32,65,1.0,1958,2048,0.9560546875,0.9462906776,0.9641109831,0.9685337309,-0.0124790434,0.9370674619,166,99,66,0.9623621120822623,-0.0063074245822623,0.9639114317837936,-0.00785674428379357,0.9509391612939722,0.005115526206027843,0.970529968373355,-0.014475280873355034
40,81,0.0954915028,60,2048,0.029296875,0.0228282385,0.0375280775,0.1269648165,-0.0976679415,0.9221936896,206,123,82,0.02556027472981485,0.0037366002701851517,0.02461925478445623,0.004677620215543771,0.09080660958333299,-0.06150973458333299,0.1249831971886946,-0.0956863221886946
42,85,1.0,1934,2048,0.9443359375,0.9335486709,0.9534593711,0.9592561412,-0.0149202037,0.9185122825,216,129,86,0.9446892360771622,-0.0003532985771621533,0.9456142668321184,-0.0012783293321183553,0.9509391612939722,-0.006603223793972157,0.9618165904917686,-0.017480652991768597
50,101,0.0954915028,32,2048,0.015625,0.0110894965,0.0219742643,0.1343514082,-0.1187264082,0.9039330307,256,153,102,0.018742997805743584,-0.003117997805743584,0.016358450423744855,-0.0007334504237448553,0.09080660958333299,-0.07518160958333299,0.13192784117414735,-0.11630284117414735
52,105,1.0,1889,2048,0.9223632812,0.9099665935,0.9331784134,0.9501622601,-0.0277989789,0.9003245203,266,159,106,0.9233549445906029,-0.0009916633906028594,0.9227757082734209,-0.000412427073420929,0.9509391612939722,-0.02857588009397216,0.9532645688663411,-0.03090128766634115
60,121,0.0954915028,36,2048,0.017578125,0.0127238941,0.0242388032,0.1415917356,-0.1240136106,0.886033957,306,183,122,0.016082294650135713,0.001495830349864287,0.013059406277439206,0.004518718722560794,0.09080660958333299,-0.07322848458333299,0.13874388270839483,-0.12116575770839483
62,125,1.0,1844,2048,0.900390625,0.8866609696,0.9126210023,0.9412484499,-0.0408578249,0.8824968999,316,189,126,0.8985788013974527,0.00181182360254728,0.8956293175567862,0.004761307443213791,0.9509391612939722,-0.05054853629397216,0.9448709154662819,-0.04448029046628188
70,141,0.0954915028,28,2048,0.013671875,0.0094758924,0.019688932,0.1486886949,-0.1350168199,0.8684893087,356,213,142,0.017559041227044967,-0.003887166227044967,0.014755860443737697,-0.0010839854437376967,0.09080660958333299,-0.07713473458333299,0.14543370328003336,-0.13176182828003336
72,145,1.0,1778,2048,0.8681640625,0.8528198588,0.8821296617,0.932511145,-0.0643470825,0.86502229,366,219,146,0.8706076239797724,-0.002443561479772427,0.8644527107294948,0.003711351770505189,0.9509391612939722,-0.08277509879397216,0.9366326975938142,-0.06846863509381418
