T,nll,delta_nll
5.0000000000,29573.0740575597,20502.4527323437
6.2453066333,29227.0573827048,20156.4360574887
7.4906132666,28882.2167433282,19811.5954181122
8.7359198999,28537.9740355303,19467.3527103143
9.9812265332,28194.6384695866,19124.0171443706
11.2265331665,27852.8917498221,18782.2704246060
12.4718397997,27513.5470332812,18442.9257080652
13.7171464330,27177.4118754462,18106.7905502302
14.9624530663,26845.2127407612,17774.5914155451
16.2077596996,26517.5610098309,17446.9396846149
17.4530663329,26194.9454052222,17124.3240800062
18.6983729662,25877.7393700222,16807.1180448062
19.9436795995,25566.2154987306,16495.5941735146
21.1889862328,25260.5621189336,16189.9407937175
22.4342928661,24960.8993059439,15890.2779807278
23.6795994994,24667.2930414545,15596.6717162384
24.9249061327,24379.7670811114,15309.1457558954
26.1702127660,24098.3125592852,15027.6912340691
27.4155193992,23822.8955786458,14752.2742534298
28.6608260325,23553.4631098179,14482.8417846019
29.9061326658,23289.9475284094,14219.3262031934
31.1514392991,23032.2700829833,13961.6487577673
32.3967459324,22780.3435407798,13709.7222155638
33.6420525657,22534.0742101765,13463.4528849605
34.8873591990,22293.3634956758,13222.7421704597
36.1326658323,22058.1091047315,12987.4877795155
37.3779724656,21828.2059962388,12757.5846710227
38.6232790989,21603.5471373738,12532.9258121578
39.8685857322,21384.0241177318,12313.4027925158
41.1138923655,21169.5276563459,12098.9063311299
42.3591989987,20959.9480272595,11889.3267020435
43.6045056320,20755.1754220663,11684.5540968503
44.8498122653,20555.1002625841,11484.4789373680
46.0951188986,20359.6134730757,11288.9921478597
47.3404255319,20168.6067187813,11097.9853935652
48.5857321652,19981.9726156691,10911.3512904531
49.8310387985,19799.6049150373,10728.9835898212
51.0763454318,19621.3986657195,10550.7773405034
52.3216520651,19447.2503560622,10376.6290308462
53.5669586984,19277.0580374422,10206.4367122262
54.8122653317,19110.7214308314,10040.1001056153
56.0575719650,18948.1420177402,9877.5206925241
57.3028785982,18789.2231167512,9718.6017915352
58.5481852315,18633.8699467690,9563.2486215530
59.7934918648,18481.9896780504,9411.3683528344
61.0387984981,18333.4914720251,9262.8701468090
62.2841051314,18188.2865108719,9117.6651856558
63.5294117647,18046.2880177696,8975.6666925536
64.7747183980,17907.4112686980,8836.7899434820
66.0200250313,17771.5735966197,8700.9522714037
67.2653316646,17638.6943888265,8568.0730636105
68.5106382979,17508.6950781881,8438.0737529721
69.7559449312,17381.4991289939,8310.8778037778
71.0012515645,17257.0320180300,8186.4106928140
72.2465581977,17135.2212114891,8064.5998862731
73.4918648310,17015.9961382628,7945.3748130468
74.7371714643,16899.2881601237,7828.6668349076
75.9824780976,16785.0305392601,7714.4092140441
77.2277847309,16673.1584035868,7602.5370783708
78.4730913642,16563.6087102150,7492.9873849989
79.7183979975,16456.3202074289,7385.6988822129
80.9637046308,16351.2333954834,7280.6120702673
82.2090112641,16248.2904865009,7177.6691612848
83.4543178974,16147.4353637218,7076.8140385057
84.6996245307,16048.6135403299,6977.9922151138
85.9449311640,15951.7721180524,6881.1507928363
87.1902377972,15856.8597457090,6786.2384204930
88.4355444305,15763.8265778646,6693.2052526485
89.6808510638,15672.6242337185,6602.0029085025
90.9261576971,15583.2057563498,6512.5844311337
92.1714643304,15495.5255724161,6424.9042472000
93.4167709637,15409.5394523954,6338.9181271794
