k,K,q_ideal,one_counts,shots,p_hat,p_ci_low,p_ci_high,p_fit,residual,contrast_fit,depth,n_rz,n_sx
0,1,0.0954915028,186,2048,0.0908203125,0.0791291245,0.1040436896,0.0958958091,-0.0050754966,0.9990004998,6,3,2
2,5,1.0000000000,2034,2048,0.9931640625,0.9885578237,0.9959236295,0.9975062395,-0.0043421770,0.9950124791,16,9,6
5,11,0.0954915028,174,2048,0.0849609375,0.0736483842,0.0978276206,0.0999167131,-0.0149557756,0.9890602785,31,18,12
7,15,1.0000000000,2027,2048,0.9897460938,0.9843747222,0.9932835922,0.9925559696,-0.0028098759,0.9851119392,41,24,16
10,21,0.0954915028,138,2048,0.0673828125,0.0573155691,0.0790700076,0.1038976084,-0.0365147959,0.9792189641,56,33,22
12,25,1.0000000000,2023,2048,0.9877929688,0.9820413070,0.9917180709,0.9876549557,0.0001380130,0.9753099114,66,39,26
15,31,0.0954915028,119,2048,0.0581054688,0.0487764201,0.0690892086,0.1078388932,-0.0497334244,0.9694755723,81,48,32
17,35,1.0000000000,2003,2048,0.9780273438,0.9707264271,0.9835382685,0.9828027077,-0.0047753640,0.9656054154,91,54,36
20,41,0.0954915028,100,2048,0.0488281250,0.0403096621,0.0590360184,0.1117409615,-0.0629128365,0.9598291290,106,63,42
22,45,1.0000000000,2005,2048,0.9790039062,0.9718389665,0.9843751974,0.9779987404,0.0010051659,0.9559974808,116,69,46
25,51,0.0954915028,102,2048,0.0498046875,0.0411969623,0.0600981864,0.1156042036,-0.0657995161,0.9502786693,131,78,52
27,55,1.0000000000,1981,2048,0.9672851562,0.9586634925,0.9741570527,0.9732425733,-0.0059574171,0.9464851467,141,84,56
30,61,0.0954915028,84,2048,0.0410156250,0.0332505207,0.0504994140,0.1194290057,-0.0784133807,0.9408232384,156,93,62
32,65,1.0000000000,1958,2048,0.9560546875,0.9462906776,0.9641109831,0.9685337309,-0.0124790434,0.9370674619,166,99,66
40,81,0.0954915028,60,2048,0.0292968750,0.0228282385,0.0375280775,0.1269648165,-0.0976679415,0.9221936896,206,123,82
42,85,1.0000000000,1934,2048,0.9443359375,0.9335486709,0.9534593711,0.9592561412,-0.0149202037,0.9185122825,216,129,86
50,101,0.0954915028,32,2048,0.0156250000,0.0110894965,0.0219742643,0.1343514082,-0.1187264082,0.9039330307,256,153,102
52,105,1.0000000000,1889,2048,0.9223632812,0.9099665935,0.9331784134,0.9501622601,-0.0277989789,0.9003245203,266,159,106
60,121,0.0954915028,36,2048,0.0175781250,0.0127238941,0.0242388032,0.1415917356,-0.1240136106,0.8860339570,306,183,122
62,125,1.0000000000,1844,2048,0.9003906250,0.8866609696,0.9126210023,0.9412484499,-0.0408578249,0.8824968999,316,189,126
70,141,0.0954915028,28,2048,0.0136718750,0.0094758924,0.0196889320,0.1486886949,-0.1350168199,0.8684893087,356,213,142
72,145,1.0000000000,1778,2048,0.8681640625,0.8528198588,0.8821296617,0.9325111450,-0.0643470825,0.8650222900,366,219,146
