series,algorithm,algorithm_key,plot_label,budget,x,y,ci_low,ci_high,n_points,n_runs,source_file
BAE,BAE,bae,BAE,141,100.0,0.050650718537306,0.0423381883604189,0.0594481964487754,100,100,bae_biqae_cabiqae_latentt_ideal_rmse_summary.csv
BAE,BAE,bae,BAE,240,142.8,0.0415048822401768,0.0299309602888043,0.0506774398589309,100,100,bae_biqae_cabiqae_latentt_ideal_rmse_summary.csv
BAE,BAE,bae,BAE,407,286.0,0.0234498634193488,0.0198743375465167,0.0279156489426671,100,100,bae_biqae_cabiqae_latentt_ideal_rmse_summary.csv
BAE,BAE,bae,BAE,691,429.6,0.0148699494925455,0.0108937613922467,0.0188373907631713,100,100,bae_biqae_cabiqae_latentt_ideal_rmse_summary.csv
BAE,BAE,bae,BAE,1173,722.8,0.009092294144148,0.0057410289622653,0.0114484203515229,100,100,bae_biqae_cabiqae_latentt_ideal_rmse_summary.csv
BAE,BAE,bae,BAE,1991,1218.2,0.0051036730223227,0.0030120595127177,0.0066461450038018,100,100,bae_biqae_cabiqae_latentt_ideal_rmse_summary.csv
BAE,BAE,bae,BAE,3381,2439.2,0.0017896876824945,0.0013397830088163,0.0023859534708019,100,100,bae_biqae_cabiqae_latentt_ideal_rmse_summary.csv
BAE,BAE,bae,BAE,5740,4692.6,0.0011853331168222,0.000800804696122,0.0014497393022572,100,100,bae_biqae_cabiqae_latentt_ideal_rmse_summary.csv
BAE,BAE,bae,BAE,9745,8767.6,0.0008750243361125,0.0006962210467139,0.0010060759473612,100,100,bae_biqae_cabiqae_latentt_ideal_rmse_summary.csv
BAE,BAE,bae,BAE,16547,14688.6,0.0005462757236525,0.0004140272956497,0.0006345974753661,100,100,bae_biqae_cabiqae_latentt_ideal_rmse_summary.csv
BAE,BAE,bae,BAE,28094,23564.2,0.0002686871881703,0.0002041900509217,0.0003229652820205,100,100,bae_biqae_cabiqae_latentt_ideal_rmse_summary.csv
BAE,BAE,bae,BAE,47701,39966.8,0.0001242171586712,0.0001004698559031,0.0001647412348684,100,100,bae_biqae_cabiqae_latentt_ideal_rmse_summary.csv
BAE,BAE,bae,BAE,80990,64868.2,9.402798855554402e-05,8.139997105543705e-05,0.0001211929206769,100,100,bae_biqae_cabiqae_latentt_ideal_rmse_summary.csv
BIQAE,BIQAE,biqae,BIQAE,141,130.6,0.045556107471506,0.0378948816572775,0.0549829063367325,100,100,bae_biqae_cabiqae_latentt_ideal_rmse_summary.csv
BIQAE,BIQAE,biqae,BIQAE,240,220.5,0.0264844733333895,0.0219345246864409,0.0381978692002353,100,100,bae_biqae_cabiqae_latentt_ideal_rmse_summary.csv
BIQAE,BIQAE,biqae,BIQAE,407,356.6,0.0162756133952191,0.0136003828842752,0.019805636833435,100,100,bae_biqae_cabiqae_latentt_ideal_rmse_summary.csv
BIQAE,BIQAE,biqae,BIQAE,691,598.3,0.0067707197028549,0.005637028698836,0.0090268676320399,100,100,bae_biqae_cabiqae_latentt_ideal_rmse_summary.csv
BIQAE,BIQAE,biqae,BIQAE,1173,987.4,0.0047425391129826,0.0037180691234034,0.0055174321838984,100,100,bae_biqae_cabiqae_latentt_ideal_rmse_summary.csv
BIQAE,BIQAE,biqae,BIQAE,1991,1652.9,0.0032101888868418,0.0025757046860318,0.0036024746294453,100,100,bae_biqae_cabiqae_latentt_ideal_rmse_summary.csv
BIQAE,BIQAE,biqae,BIQAE,3381,2885.5,0.0018032602700576,0.0012994144102059,0.0019222963983252,100,100,bae_biqae_cabiqae_latentt_ideal_rmse_summary.csv
BIQAE,BIQAE,biqae,BIQAE,5740,4664.2,0.0010800699964327,0.0009373629250474,0.0013324321759068,100,100,bae_biqae_cabiqae_latentt_ideal_rmse_summary.csv
BIQAE,BIQAE,biqae,BIQAE,9745,8048.8,0.0005443161426768,0.0004395075958819,0.0006824825696773,100,100,bae_biqae_cabiqae_latentt_ideal_rmse_summary.csv
BIQAE,BIQAE,biqae,BIQAE,16547,13524.5,0.0002777483363783,0.000225478877947,0.0003832928881075,100,100,bae_biqae_cabiqae_latentt_ideal_rmse_summary.csv
BIQAE,BIQAE,biqae,BIQAE,28094,23482.1,0.000152154483852,0.0001271348791166,0.0001936715253584,100,100,bae_biqae_cabiqae_latentt_ideal_rmse_summary.csv
BIQAE,BIQAE,biqae,BIQAE,47701,37335.5,0.0001196041250358,9.7629822377155e-05,0.0001380749438482,100,100,bae_biqae_cabiqae_latentt_ideal_rmse_summary.csv
BIQAE,BIQAE,biqae,BIQAE,80990,39840.4,0.0001070572847229,8.309158761836156e-05,0.0001272846889303,100,100,bae_biqae_cabiqae_latentt_ideal_rmse_summary.csv
CABIQAE,CABIQAE,cabiqae_latentt,CABIQAE,141,127.8,0.0367821347457105,0.0262508137202324,0.0444914889057171,100,100,bae_biqae_cabiqae_latentt_ideal_rmse_summary.csv
CABIQAE,CABIQAE,cabiqae_latentt,CABIQAE,240,208.4,0.0228059683299721,0.0181112692598957,0.0302647663635417,100,100,bae_biqae_cabiqae_latentt_ideal_rmse_summary.csv
CABIQAE,CABIQAE,cabiqae_latentt,CABIQAE,407,340.4,0.0124415608791073,0.0105779795589133,0.017650172910562,100,100,bae_biqae_cabiqae_latentt_ideal_rmse_summary.csv
CABIQAE,CABIQAE,cabiqae_latentt,CABIQAE,691,571.2,0.007168891625419,0.0052822328660737,0.0096691199826317,100,100,bae_biqae_cabiqae_latentt_ideal_rmse_summary.csv
CABIQAE,CABIQAE,cabiqae_latentt,CABIQAE,1173,965.5,0.0057595267335476,0.0046851477271197,0.0066740342139945,100,100,bae_biqae_cabiqae_latentt_ideal_rmse_summary.csv
CABIQAE,CABIQAE,cabiqae_latentt,CABIQAE,1991,1628.4,0.0029608618160929,0.0022581013779088,0.0035743493933478,100,100,bae_biqae_cabiqae_latentt_ideal_rmse_summary.csv
CABIQAE,CABIQAE,cabiqae_latentt,CABIQAE,3381,2669.7,0.0016281923532257,0.0012265110488343,0.0018449385914858,100,100,bae_biqae_cabiqae_latentt_ideal_rmse_summary.csv
CABIQAE,CABIQAE,cabiqae_latentt,CABIQAE,5740,4439.4,0.0010341982399203,0.0008194477481926,0.0013572453290866,100,100,bae_biqae_cabiqae_latentt_ideal_rmse_summary.csv
CABIQAE,CABIQAE,cabiqae_latentt,CABIQAE,9745,7917.5,0.0006461498431479,0.0004868195345115,0.0007575632416882,100,100,bae_biqae_cabiqae_latentt_ideal_rmse_summary.csv
