series,algorithm,budget,x,y,ci_low,ci_high,n_points,n_runs,source_file
BAE,BAE,1993,256.0,0.0506717624232222,0.0472616717473697,0.0582640372517003,261,261,hardware_replay_median_relative_error_paper_summary.csv
BAE,BAE,3005,581.639846743295,0.0462475529325151,0.0362535070751257,0.0506717624232222,261,261,hardware_replay_median_relative_error_paper_summary.csv
BAE,BAE,4530,2718.896551724138,0.0134571777506209,0.0102710745827971,0.0152972092763064,261,261,hardware_replay_median_relative_error_paper_summary.csv
BAE,BAE,6830,3820.383141762452,0.0094977122428789,0.008105235359988,0.010331530335048,261,261,hardware_replay_median_relative_error_paper_summary.csv
BAE,BAE,10296,4979.739463601532,0.0074677640102529,0.0064452215193179,0.0090999756947148,261,261,hardware_replay_median_relative_error_paper_summary.csv
BAE,BAE,15522,11441.532567049808,0.0040737928263821,0.0035684394656853,0.004807463040499,261,261,hardware_replay_median_relative_error_paper_summary.csv
BAE,BAE,23400,18921.44061302682,0.0030922601431062,0.0024654021962501,0.003457265879322,261,261,hardware_replay_median_relative_error_paper_summary.csv
BAE,BAE,35277,30550.31417624521,0.0023109632395044,0.0020058412846497,0.0025200718036988,261,261,hardware_replay_median_relative_error_paper_summary.csv
BAE,BAE,53181,47973.02681992337,0.0017667198105742,0.001566167741811,0.0020683220593801,261,261,hardware_replay_median_relative_error_paper_summary.csv
BIQAE,BIQAE,386,256.0,0.0685477629016018,0.0579047477339311,0.0698117712237862,261,261,hardware_replay_median_relative_error_paper_summary.csv
BIQAE,BIQAE,877,266.7892720306513,0.0591686997531294,0.0485256341647325,0.0685477629016018,261,261,hardware_replay_median_relative_error_paper_summary.csv
BIQAE,BIQAE,1322,911.2030651340996,0.040523986173212,0.0374086839071383,0.0438074102780229,261,261,hardware_replay_median_relative_error_paper_summary.csv
BIQAE,BIQAE,1993,955.3409961685824,0.040523986173212,0.0374086839071383,0.0437748060249214,261,261,hardware_replay_median_relative_error_paper_summary.csv
BIQAE,BIQAE,3005,1202.5134099616855,0.0357544146322522,0.0321552307638135,0.0393961936180417,261,261,hardware_replay_median_relative_error_paper_summary.csv
BIQAE,BIQAE,4530,1234.88122605364,0.0356728792802226,0.0319362134776095,0.0394460478533192,261,261,hardware_replay_median_relative_error_paper_summary.csv
