algorithm,algorithm_key,plot_label,budget,query_budget_actual_mean,query_budget_actual_median,query_budget_actual_min,query_budget_actual_max,normalized_abs_error_median,normalized_abs_error_median_ci_low,normalized_abs_error_median_ci_high,normalized_abs_error_q25,normalized_abs_error_q75,n_points,n_runs,source,source_file
BAE,bae,BAE,141,100.0,100.0,100.0,100.0,0.050650718537306,0.0423381883604189,0.0594481964487754,0.022836426587805023,0.09822793431041804,100,100,hardware_plotter_dense_snapshots_non_v2,bae_biqae_iqae_cabiqae_latentt_ideal_budget_rows.csv
BAE,bae,BAE,240,142.8,100.0,100.0,240.0,0.04150488224017685,0.0299309602888043,0.0506774398589309,0.02114269383455765,0.0787078527555287,100,100,hardware_plotter_dense_snapshots_non_v2,bae_biqae_iqae_cabiqae_latentt_ideal_budget_rows.csv
BAE,bae,BAE,407,286.0,280.0,100.0,400.0,0.02344986341934885,0.01987433754651675,0.0279156489426671,0.011950466151240874,0.04104285523329448,100,100,hardware_plotter_dense_snapshots_non_v2,bae_biqae_iqae_cabiqae_latentt_ideal_budget_rows.csv
BAE,bae,BAE,691,429.6,430.0,240.0,660.0,0.0148699494925455,0.0108937613922467,0.0188373907631713,0.007768463693594425,0.02951766277019335,100,100,hardware_plotter_dense_snapshots_non_v2,bae_biqae_iqae_cabiqae_latentt_ideal_budget_rows.csv
BAE,bae,BAE,1173,722.8,660.0,280.0,1140.0,0.009092294144148,0.0057410289622653,0.0114484203515229,0.00251190629485885,0.01763067617695545,100,100,hardware_plotter_dense_snapshots_non_v2,bae_biqae_iqae_cabiqae_latentt_ideal_budget_rows.csv
BAE,bae,BAE,1991,1218.2,1190.0,580.0,1940.0,0.005103673022322799,0.0030120595127177,0.0066461450038018,0.00173694356726815,0.0114507791881416,100,100,hardware_plotter_dense_snapshots_non_v2,bae_biqae_iqae_cabiqae_latentt_ideal_budget_rows.csv
BAE,bae,BAE,3381,2439.2,2510.0,1480.0,3360.0,0.0017896876824945,0.0013397830088163502,0.0023859534708019,0.000763043610286175,0.0036239905540184003,100,100,hardware_plotter_dense_snapshots_non_v2,bae_biqae_iqae_cabiqae_latentt_ideal_budget_rows.csv
BAE,bae,BAE,5740,4692.6,4680.0,3780.0,5720.0,0.00118533311682225,0.00080080469612205,0.0014497393022572,0.000444189220624525,0.0020369976519652748,100,100,hardware_plotter_dense_snapshots_non_v2,bae_biqae_iqae_cabiqae_latentt_ideal_budget_rows.csv
BAE,bae,BAE,9745,8767.6,8780.0,7780.0,9720.0,0.0008750243361125,0.00069622104671395,0.0010060759473612913,0.0003512212614415,0.00152518639344605,100,100,hardware_plotter_dense_snapshots_non_v2,bae_biqae_iqae_cabiqae_latentt_ideal_budget_rows.csv
BAE,bae,BAE,16547,14688.6,14690.0,12700.0,16520.0,0.0005462757236525,0.00041402729564975,0.0006345974753661,0.00024663592441549997,0.00078635875514105,100,100,hardware_plotter_dense_snapshots_non_v2,bae_biqae_iqae_cabiqae_latentt_ideal_budget_rows.csv
BAE,bae,BAE,28094,23564.2,23190.0,20460.0,27560.0,0.00026868718817035,0.00020419005092174998,0.0003229652820205,0.000154696150486375,0.000542557936282175,100,100,hardware_plotter_dense_snapshots_non_v2,bae_biqae_iqae_cabiqae_latentt_ideal_budget_rows.csv
BAE,bae,BAE,47701,39966.8,39200.0,32400.0,47100.0,0.0001242171586712,0.0001004698559031,0.0001647412348684,6.608696233833196e-05,0.000263219283813825,100,100,hardware_plotter_dense_snapshots_non_v2,bae_biqae_iqae_cabiqae_latentt_ideal_budget_rows.csv
BAE,bae,BAE,80990,64868.2,68800.0,50080.0,79440.0,9.402798855554402e-05,8.139997105543705e-05,0.00012119292067699504,5.6353755563490273e-05,0.00018184518292445,100,100,hardware_plotter_dense_snapshots_non_v2,bae_biqae_iqae_cabiqae_latentt_ideal_budget_rows.csv
BIQAE,biqae,BIQAE,141,130.6,140.0,90.0,140.0,0.045556107471506,0.0378948816572775,0.0549829063367325,0.018092534224953,0.0770836988493696,100,100,hardware_plotter_dense_snapshots_non_v2,bae_biqae_iqae_cabiqae_latentt_ideal_budget_rows.csv
BIQAE,biqae,BIQAE,240,220.5,230.0,180.0,240.0,0.02648447333338955,0.021934524686440998,0.0381978692002353,0.016423162866743224,0.0479860639165295,100,100,hardware_plotter_dense_snapshots_non_v2,bae_biqae_iqae_cabiqae_latentt_ideal_budget_rows.csv
BIQAE,biqae,BIQAE,407,356.6,360.0,230.0,400.0,0.016275613395219102,0.0136003828842752,0.019805636833435,0.007347560172988875,0.03040927036031255,100,100,hardware_plotter_dense_snapshots_non_v2,bae_biqae_iqae_cabiqae_latentt_ideal_budget_rows.csv
BIQAE,biqae,BIQAE,691,598.3,605.0,490.0,690.0,0.0067707197028549,0.005637028698836,0.0090268676320399,0.00301559667786455,0.011576599330148126,100,100,hardware_plotter_dense_snapshots_non_v2,bae_biqae_iqae_cabiqae_latentt_ideal_budget_rows.csv
BIQAE,biqae,BIQAE,1173,987.4,1010.0,730.0,1170.0,0.00474253911298265,0.00371806912340345,0.0055174321838984495,0.0022047680159297247,0.007091007628470675,100,100,hardware_plotter_dense_snapshots_non_v2,bae_biqae_iqae_cabiqae_latentt_ideal_budget_rows.csv
BIQAE,biqae,BIQAE,1991,1652.9,1655.0,1260.0,1990.0,0.00321018888684185,0.0025757046860318,0.0036024746294453,0.001408571351613225,0.0045362786633090756,100,100,hardware_plotter_dense_snapshots_non_v2,bae_biqae_iqae_cabiqae_latentt_ideal_budget_rows.csv
BIQAE,biqae,BIQAE,3381,2885.5,2905.0,2120.0,3370.0,0.00180326027005765,0.0012994144102059875,0.0019222963983252,0.0009363181769314,0.00261911412328805,100,100,hardware_plotter_dense_snapshots_non_v2,bae_biqae_iqae_cabiqae_latentt_ideal_budget_rows.csv
BIQAE,biqae,BIQAE,5740,4664.2,4535.0,3530.0,5700.0,0.00108006999643275,0.0009373629250474,0.0013324321759068,0.000607768668962425,0.001715245951081775,100,100,hardware_plotter_dense_snapshots_non_v2,bae_biqae_iqae_cabiqae_latentt_ideal_budget_rows.csv
BIQAE,biqae,BIQAE,9745,8048.8,8010.0,5990.0,9740.0,0.0005443161426768,0.00043950759588190003,0.0006824825696773,0.00026498366353657496,0.000940274673013175,100,100,hardware_plotter_dense_snapshots_non_v2,bae_biqae_iqae_cabiqae_latentt_ideal_budget_rows.csv
BIQAE,biqae,BIQAE,16547,13524.5,13490.0,10160.0,16510.0,0.0002777483363783,0.000225478877947,0.00038329288810755,0.00012818133750117498,0.0005330880154798501,100,100,hardware_plotter_dense_snapshots_non_v2,bae_biqae_iqae_cabiqae_latentt_ideal_budget_rows.csv
BIQAE,biqae,BIQAE,28094,23482.1,23740.0,16930.0,27990.0,0.00015215448385209998,0.0001271348791166,0.0001936715253584,7.437320615079617e-05,0.00028573668630065,100,100,hardware_plotter_dense_snapshots_non_v2,bae_biqae_iqae_cabiqae_latentt_ideal_budget_rows.csv
BIQAE,biqae,BIQAE,47701,37335.5,37075.0,28270.0,47660.0,0.00011960412503580001,9.7629822377155e-05,0.00013807494384825,4.896596598673918e-05,0.00018601962070295,100,100,hardware_plotter_dense_snapshots_non_v2,bae_biqae_iqae_cabiqae_latentt_ideal_budget_rows.csv
BIQAE,biqae,BIQAE,80990,39840.4,38830.0,28740.0,54190.0,0.00010705728472295,8.309158761836156e-05,0.0001272846889303213,4.8625839910929275e-05,0.00018377495815784998,100,100,hardware_plotter_dense_snapshots_non_v2,bae_biqae_iqae_cabiqae_latentt_ideal_budget_rows.csv
CABIQAE,cabiqae_latentt,CABIQAE,141,127.8,130.0,90.0,140.0,0.03678213474571055,0.0262508137202324,0.0444914889057171,0.016874318805195302,0.06984631090276865,100,100,hardware_plotter_dense_snapshots_non_v2,bae_biqae_iqae_cabiqae_latentt_ideal_budget_rows.csv
CABIQAE,cabiqae_latentt,CABIQAE,240,208.4,210.0,150.0,240.0,0.0228059683299721,0.01811126925989575,0.03026476636354175,0.01260423266315945,0.038770682949332724,100,100,hardware_plotter_dense_snapshots_non_v2,bae_biqae_iqae_cabiqae_latentt_ideal_budget_rows.csv
CABIQAE,cabiqae_latentt,CABIQAE,407,340.4,340.0,240.0,400.0,0.01244156087910735,0.0105779795589133,0.017650172910562,0.005403286602944875,0.025216134709466625,100,100,hardware_plotter_dense_snapshots_non_v2,bae_biqae_iqae_cabiqae_latentt_ideal_budget_rows.csv
CABIQAE,cabiqae_latentt,CABIQAE,691,571.2,580.0,380.0,690.0,0.00716889162541905,0.0052822328660737,0.0096691199826317,0.003011153665715825,0.013757422619455825,100,100,hardware_plotter_dense_snapshots_non_v2,bae_biqae_iqae_cabiqae_latentt_ideal_budget_rows.csv
CABIQAE,cabiqae_latentt,CABIQAE,1173,965.5,980.0,710.0,1160.0,0.0057595267335476,0.0046851477271197,0.0066740342139945,0.00222424502252285,0.00833416321970995,100,100,hardware_plotter_dense_snapshots_non_v2,bae_biqae_iqae_cabiqae_latentt_ideal_budget_rows.csv
CABIQAE,cabiqae_latentt,CABIQAE,1991,1628.4,1645.0,1130.0,1990.0,0.0029608618160929003,0.0022581013779088,0.0035743493933478,0.0013028776199405499,0.0054353542130406,100,100,hardware_plotter_dense_snapshots_non_v2,bae_biqae_iqae_cabiqae_latentt_ideal_budget_rows.csv
CABIQAE,cabiqae_latentt,CABIQAE,3381,2669.7,2645.0,1810.0,3380.0,0.0016281923532257,0.0012265110488343,0.0018449385914858,0.0006365177605973751,0.003148159766722875,100,100,hardware_plotter_dense_snapshots_non_v2,bae_biqae_iqae_cabiqae_latentt_ideal_budget_rows.csv
