rep,T_noise,a_true,budget,algorithm,estimate,abs_error,nrmse,common_budget_ceiling
1,5.0,0.05,200,BAE,0.07515736528347333,0.02515736528347333,0.5031473056694665,25540
1,5.0,0.05,200,BIQAE,0.1507830448883107,0.1007830448883107,2.015660897766214,25540
1,5.0,0.05,200,CABIQAE_latentt,0.04852264881365816,0.0014773511863418395,0.02954702372683679,25540
1,5.0,0.05,400,BAE,0.07515736528347333,0.02515736528347333,0.5031473056694665,25540
1,5.0,0.05,400,BIQAE,0.07350760604261865,0.023507606042618645,0.4701521208523729,25540
1,5.0,0.05,400,CABIQAE_latentt,0.05588423433248807,0.005884234332488067,0.11768468664976134,25540
1,5.0,0.05,800,BAE,0.08760069896372215,0.037600698963722146,0.7520139792744429,25540
1,5.0,0.05,800,BIQAE,0.05249659465704886,0.0024965946570488576,0.04993189314097715,25540
1,5.0,0.05,800,CABIQAE_latentt,0.05507174803761031,0.005071748037610305,0.1014349607522061,25540
1,5.0,0.05,1600,BAE,0.059658368469812414,0.009658368469812412,0.19316736939624823,25540
1,5.0,0.05,1600,BIQAE,0.05212075513195378,0.0021207551319537762,0.042415102639075525,25540
1,5.0,0.05,1600,CABIQAE_latentt,0.04762854658498783,0.002371453415012173,0.04742906830024346,25540
1,5.0,0.05,3200,BAE,0.050093216757051286,9.32167570512829e-05,0.0018643351410256581,25540
1,5.0,0.05,3200,BIQAE,0.05212075513195378,0.0021207551319537762,0.042415102639075525,25540
1,5.0,0.05,3200,CABIQAE_latentt,0.043598011220639186,0.006401988779360816,0.12803977558721633,25540
1,5.0,0.05,6400,BAE,0.04939438920366584,0.0006056107963341648,0.012112215926683295,25540
1,5.0,0.05,6400,BIQAE,0.04997460527059573,2.539472940427112e-05,0.0005078945880854224,25540
1,5.0,0.05,6400,CABIQAE_latentt,0.040610838560214274,0.009389161439785729,0.18778322879571457,25540
1,5.0,0.05,12800,BAE,0.051430142768528773,0.0014301427685287707,0.028602855370575414,25540
1,5.0,0.05,12800,BIQAE,0.05014532901167687,0.0001453290116768674,0.002906580233537348,25540
1,5.0,0.05,12800,CABIQAE_latentt,0.0395269693388941,0.0104730306611059,0.209460613222118,25540
2,5.0,0.05,200,BAE,0.07030627493237603,0.020306274932376023,0.40612549864752046,25500
2,5.0,0.05,200,BIQAE,0.05669890924410818,0.006698909244108174,0.13397818488216348,25500
2,5.0,0.05,200,CABIQAE_latentt,0.04480249846153169,0.005197501538468312,0.10395003076936624,25500
2,5.0,0.05,400,BAE,0.07030627493237603,0.020306274932376023,0.40612549864752046,25500
2,5.0,0.05,400,BIQAE,0.04892852573622362,0.0010714742637763855,0.02142948527552771,25500
2,5.0,0.05,400,CABIQAE_latentt,0.047055828988358625,0.0029441710116413777,0.058883420232827555,25500
2,5.0,0.05,800,BAE,0.0698441846112907,0.0198441846112907,0.396883692225814,25500
2,5.0,0.05,800,BIQAE,0.049817143523499724,0.0001828564765002788,0.003657129530005576,25500
2,5.0,0.05,800,CABIQAE_latentt,0.04820435412303542,0.0017956458769645828,0.035912917539291656,25500
2,5.0,0.05,1600,BAE,0.05894982681506132,0.008949826815061318,0.17899653630122636,25500
2,5.0,0.05,1600,BIQAE,0.049817143523499724,0.0001828564765002788,0.003657129530005576,25500
2,5.0,0.05,1600,CABIQAE_latentt,0.04553806982227497,0.004461930177725032,0.08923860355450064,25500
2,5.0,0.05,3200,BAE,0.05233932377298292,0.002339323772982918,0.04678647545965836,25500
2,5.0,0.05,3200,BIQAE,0.049108571161948944,0.0008914288380510588,0.017828576761021175,25500
2,5.0,0.05,3200,CABIQAE_latentt,0.04299234432779025,0.007007655672209755,0.1401531134441951,25500
2,5.0,0.05,6400,BAE,0.049848172066886194,0.00015182793311380866,0.003036558662276173,25500
2,5.0,0.05,6400,BIQAE,0.04924693884445795,0.0007530611555420508,0.015061223110841016,25500
2,5.0,0.05,6400,CABIQAE_latentt,0.03972055603789591,0.01027944396210409,0.2055888792420818,25500
2,5.0,0.05,12800,BAE,0.04911562762483232,0.000884372375167683,0.01768744750335366,25500
2,5.0,0.05,12800,BIQAE,0.04924693884445795,0.0007530611555420508,0.015061223110841016,25500
2,5.0,0.05,12800,CABIQAE_latentt,0.04099622318195567,0.009003776818044332,0.18007553636088663,25500
3,5.0,0.05,200,BAE,0.017636176875879806,0.0323638231241202,0.647276462482404,25500
3,5.0,0.05,200,BIQAE,0.046670286231113106,0.0033297137688868966,0.06659427537773793,25500
3,5.0,0.05,200,CABIQAE_latentt,0.11099442823510691,0.06099442823510691,1.219888564702138,25500
3,5.0,0.05,400,BAE,0.05929238720047539,0.009292387200475385,0.1858477440095077,25500
3,5.0,0.05,400,BIQAE,0.051871361213075756,0.0018713612130757534,0.03742722426151507,25500
3,5.0,0.05,400,CABIQAE_latentt,0.07492332426768138,0.024923324267681374,0.4984664853536275,25500
3,5.0,0.05,800,BAE,0.06705572566622109,0.017055725666221086,0.3411145133244217,25500
3,5.0,0.05,800,BIQAE,0.04765315569207189,0.0023468443079281143,0.046936886158562285,25500
3,5.0,0.05,800,CABIQAE_latentt,0.06633907778630246,0.01633907778630246,0.3267815557260492,25500
3,5.0,0.05,1600,BAE,0.05089494857499321,0.0008949485749932054,0.017898971499864108,25500
3,5.0,0.05,1600,BIQAE,0.04765315569207189,0.0023468443079281143,0.046936886158562285,25500
3,5.0,0.05,1600,CABIQAE_latentt,0.055189606671580196,0.005189606671580194,0.10379213343160387,25500
3,5.0,0.05,3200,BAE,0.05678932901514956,0.006789329015149559,0.13578658030299118,25500
3,5.0,0.05,3200,BIQAE,0.048675075479695545,0.0013249245203044574,0.026498490406089148,25500
3,5.0,0.05,3200,CABIQAE_latentt,0.05015555816765052,0.00015555816765051855,0.003111163353010371,25500
3,5.0,0.05,6400,BAE,0.05192401621255931,0.001924016212559304,0.03848032425118608,25500
3,5.0,0.05,6400,BIQAE,0.04937312710038876,0.0006268728996112402,0.012537457992224804,25500
3,5.0,0.05,6400,CABIQAE_latentt,0.048434073881843426,0.001565926118156577,0.03131852236313154,25500
3,5.0,0.05,12800,BAE,0.04794336948004851,0.0020566305199514953,0.041132610399029906,25500
3,5.0,0.05,12800,BIQAE,0.04937312710038876,0.0006268728996112402,0.012537457992224804,25500
3,5.0,0.05,12800,CABIQAE_latentt,0.04681394426904564,0.0031860557309543597,0.0637211146190872,25500
4,5.0,0.05,200,BAE,0.03170419953977579,0.018295800460224214,0.36591600920448425,25380
4,5.0,0.05,200,BIQAE,0.13523851707248372,0.08523851707248371,1.7047703414496742,25380
4,5.0,0.05,200,CABIQAE_latentt,0.04984823097211754,0.00015176902788246321,0.0030353805576492643,25380
4,5.0,0.05,400,BAE,0.0412634839739356,0.0087365160260644,0.174730320521288,25380
4,5.0,0.05,400,BIQAE,0.07989126689152917,0.02989126689152917,0.5978253378305833,25380
4,5.0,0.05,400,CABIQAE_latentt,0.051907121597087755,0.001907121597087752,0.03814243194175504,25380
4,5.0,0.05,800,BAE,0.0412634839739356,0.0087365160260644,0.174730320521288,25380
4,5.0,0.05,800,BIQAE,0.056637657251628976,0.006637657251628973,0.13275314503257946,25380
4,5.0,0.05,800,CABIQAE_latentt,0.043105221557365826,0.0068947784426341766,0.13789556885268353,25380
4,5.0,0.05,1600,BAE,0.04202686588389448,0.00797313411610552,0.15946268232211042,25380
4,5.0,0.05,1600,BIQAE,0.0531605176472721,0.0031605176472720986,0.06321035294544197,25380
4,5.0,0.05,1600,CABIQAE_latentt,0.03990814957850514,0.010091850421494866,0.20183700842989732,25380
4,5.0,0.05,3200,BAE,0.044624938261038666,0.005375061738961337,0.10750123477922674,25380
4,5.0,0.05,3200,BIQAE,0.0531605176472721,0.0031605176472720986,0.06321035294544197,25380
4,5.0,0.05,3200,CABIQAE_latentt,0.044260120283076534,0.005739879716923468,0.11479759433846937,25380
4,5.0,0.05,6400,BAE,0.04808526931401968,0.0019147306859803245,0.03829461371960649,25380
4,5.0,0.05,6400,BIQAE,0.05110055264526146,0.00110055264526146,0.0220110529052292,25380
4,5.0,0.05,6400,CABIQAE_latentt,0.04339298067857904,0.006607019321420965,0.1321403864284193,25380
4,5.0,0.05,12800,BAE,0.04405622873210388,0.005943771267896122,0.11887542535792245,25380
4,5.0,0.05,12800,BIQAE,0.05110055264526146,0.00110055264526146,0.0220110529052292,25380
4,5.0,0.05,12800,CABIQAE_latentt,0.04268901842653393,0.007310981573466074,0.1462196314693215,25380
