rep,T_noise,a_true,algorithm,final_queries,final_estimate,final_abs_error,final_nrmse,final_coverage,runtime_seconds,k_max
1,5.0,0.05,BAE,26220,0.05005886395896322,5.886395896322061e-05,0.0011772791792644122,1.0,32.581752900005085,17
1,5.0,0.05,BIQAE,275760,0.04998851729283625,1.1482707163751327e-05,0.00022965414327502653,1.0,0.37411959999008104,4399
1,5.0,0.05,CABIQAE_latentt,108920,0.04101483425152781,0.00898516574847219,0.1797033149694438,0.0,19.35421820002375,3
2,5.0,0.05,BAE,25620,0.04857126185402993,0.0014287381459700751,0.028574762919401503,1.0,31.367002900020452,17
2,5.0,0.05,BIQAE,166680,0.04994425618030908,5.5743819690923235e-05,0.0011148763938184647,0.0,0.24210259999381378,2793
2,5.0,0.05,CABIQAE_latentt,113480,0.04220238376740683,0.007797616232593174,0.15595232465186348,0.0,20.00327409998863,3
3,5.0,0.05,BAE,25620,0.05245835910708032,0.002458359107080317,0.04916718214160634,1.0,35.16250320000108,17
3,5.0,0.05,BIQAE,139920,0.0500043770565742,4.3770565741965695e-06,8.754113148393139e-05,1.0,0.2335519999905955,2227
3,5.0,0.05,CABIQAE_latentt,96680,0.045230128543023676,0.004769871456976327,0.09539742913952654,0.0,19.09641019999981,3
4,5.0,0.05,BAE,25900,0.04625362092797017,0.0037463790720298346,0.07492758144059669,1.0,38.39812970001367,13
4,5.0,0.05,BIQAE,127440,0.05002429010692248,2.4290106922474075e-05,0.0004858021384494815,1.0,0.22555499998270534,2113
4,5.0,0.05,CABIQAE_latentt,127760,0.04240010675841006,0.007599893241589946,0.15199786483179892,0.0,21.061674099997617,3
1,5.0,0.2,BAE,25660,0.1945978351575546,0.005402164842445406,0.02701082421222703,1.0,21.57941489998484,15
1,5.0,0.2,BIQAE,325440,0.20490680708119857,0.004906807081198561,0.024534035405992805,0.0,0.37226460000965744,5607
1,5.0,0.2,CABIQAE_latentt,208480,0.1895668718767282,0.010433128123271823,0.052165640616359116,0.0,33.04639309999766,5
2,5.0,0.2,BAE,25740,0.20830668081419032,0.00830668081419031,0.041533404070951546,0.0,22.265400000003865,15
2,5.0,0.2,BIQAE,249480,0.19997567065450875,2.4329345491264087e-05,0.00012164672745632044,1.0,0.3112795000197366,4275
2,5.0,0.2,CABIQAE_latentt,232880,0.23218567359097728,0.032185673590977265,0.16092836795488633,0.0,27.249304599972675,9
3,5.0,0.2,BAE,25780,0.20151139069705554,0.0015113906970555258,0.007556953485277629,1.0,23.773899599997094,15
3,5.0,0.2,BIQAE,270560,0.19998987913844765,1.0120861552359584e-05,5.060430776179792e-05,1.0,0.3265823999827262,4413
3,5.0,0.2,CABIQAE_latentt,226520,0.19336874287911457,0.006631257120885442,0.03315628560442721,0.0,35.7950427000178,5
4,5.0,0.2,BAE,25660,0.19338556645842886,0.006614433541571152,0.03307216770785576,1.0,25.084769899985986,15
4,5.0,0.2,BIQAE,504120,0.2105383313665601,0.0105383313665601,0.0526916568328005,0.0,0.5909845000132918,7715
4,5.0,0.2,CABIQAE_latentt,236440,0.18986393083223374,0.01013606916776627,0.05068034583883135,0.0,35.011710999999195,5
1,5.0,0.8,BAE,25780,0.7953858434482175,0.0046141565517825445,0.005767695689728181,1.0,22.286289999989094,15
1,5.0,0.8,BIQAE,273520,0.8000022957414581,2.295741458047118e-06,2.8696768225588976e-06,1.0,0.33408450000570156,4565
1,5.0,0.8,CABIQAE_latentt,234360,0.8084794752079258,0.008479475207925802,0.010599344009907252,0.0,35.341942799976096,5
2,5.0,0.8,BAE,25900,0.7997456945543733,0.00025430544562676793,0.0003178818070334599,1.0,20.267946399981156,15
2,5.0,0.8,BIQAE,419960,0.7643642017793322,0.03563579822066787,0.044544747775834836,0.0,0.4606642999860924,5087
2,5.0,0.8,CABIQAE_latentt,171200,0.8014188002744577,0.0014188002744576211,0.0017735003430720264,0.0,31.240097400004743,5
3,5.0,0.8,BAE,25940,0.7955351372896058,0.004464862710394257,0.005581078387992822,1.0,25.57895960001042,15
3,5.0,0.8,BIQAE,315560,0.7899252892779652,0.010074710722034808,0.01259338840254351,0.0,0.4273378999787383,5319
3,5.0,0.8,CABIQAE_latentt,223760,0.8069624912180595,0.0069624912180594745,0.008703114022574343,0.0,34.766233100002864,5
4,5.0,0.8,BAE,25620,0.7967554657641888,0.0032445342358112805,0.004055667794764101,1.0,23.56798130000243,15
4,5.0,0.8,BIQAE,268240,0.7889067932119862,0.011093206788013843,0.013866508485017304,0.0,0.37422779999906197,4569
4,5.0,0.8,CABIQAE_latentt,162440,0.797728342535863,0.0022716574641370446,0.0028395718301713058,0.0,32.529801199998474,5
1,200.0,0.05,BAE,25980,0.04964569932399542,0.00035430067600458054,0.007086013520091611,1.0,1.0274227999907453,101
1,200.0,0.05,BIQAE,201720,0.050003979791755616,3.9797917556136375e-06,7.959583511227275e-05,1.0,0.2801006999798119,3415
