rep,T_noise,algorithm,a_true,final_queries,final_nRMSE,K_max,coverage,radius,max_depth,terminated_early
1,20.0,BAE,0.05,30620,0.019741436046260108,31,1.0,0.0015947511991954572,31.0,False
1,20.0,BIQAE,0.05,1760,0.003421629573669094,31,1.0,0.0029250622349317086,17.0,False
1,20.0,CABIQAE_latentt,0.05,6320,0.09643172686921986,19,0.0,0.002786222538060181,11.0,False
2,20.0,BAE,0.05,30500,0.01013137425278221,25,1.0,0.0017004155053137737,25.0,False
2,20.0,BIQAE,0.05,5560,0.0020386465387800534,93,1.0,0.0009632144341196955,48.0,False
2,20.0,CABIQAE_latentt,0.05,5480,0.09213519708843876,19,0.0,0.002886608518381,11.0,False
3,20.0,BAE,0.05,30420,0.007798123261619216,31,1.0,0.0016845772084526367,31.0,False
3,20.0,BIQAE,0.05,2040,0.025250007033510213,33,1.0,0.0026742526271768714,18.0,False
3,20.0,CABIQAE_latentt,0.05,8040,0.029410984696310316,31,1.0,0.002951362945553624,17.0,False
4,20.0,BAE,0.05,30020,0.006501759351630332,31,1.0,0.001625225576016874,31.0,False
4,20.0,BIQAE,0.05,5120,0.003193932707044267,87,1.0,0.0010410223270209927,45.0,False
4,20.0,CABIQAE_latentt,0.05,5160,0.11194126545748984,11,0.0,0.004632463689876319,7.0,True
1,20.0,BAE,0.2,30540,0.000995215468517996,39,1.0,0.0027603097271859667,39.0,False
1,20.0,BIQAE,0.2,9920,0.0002505714700248296,171,1.0,0.0009706067900207144,87.0,False
1,20.0,CABIQAE_latentt,0.2,7920,0.011705587283671881,15,1.0,0.00519361222304511,9.0,True
2,20.0,BAE,0.2,30340,0.0033830170832849227,29,1.0,0.002814597137170166,29.0,False
2,20.0,BIQAE,0.2,9320,0.0017670269335228195,161,1.0,0.001027764161459499,82.0,False
2,20.0,CABIQAE_latentt,0.2,8520,0.011618714376692374,15,1.0,0.005584565389228149,9.0,True
3,20.0,BAE,0.2,30460,0.004424330752515804,39,1.0,0.002853365491184423,39.0,False
3,20.0,BIQAE,0.2,7760,0.004254717665747476,135,1.0,0.0012165109874610336,69.0,False
3,20.0,CABIQAE_latentt,0.2,2400,0.05624442894686521,5,1.0,0.011651362107221869,4.0,True
4,20.0,BAE,0.2,30500,0.006204156330232413,29,1.0,0.0029821650504417985,29.0,False
4,20.0,BIQAE,0.2,11440,0.0004074356225097775,201,1.0,0.0008299652996458518,102.0,False
4,20.0,CABIQAE_latentt,0.2,2400,0.02101034371290378,5,1.0,0.011422513453805516,4.0,True
1,20.0,BAE,0.5,30020,0.002311065703754167,21,1.0,0.0033372798536144277,21.0,False
1,20.0,BIQAE,0.5,5960,0.002142735116097416,99,1.0,0.002072495430804011,51.0,False
1,20.0,CABIQAE_latentt,0.5,3240,0.005597833675323405,7,1.0,0.00846285510941508,5.0,True
2,20.0,BAE,0.5,30340,0.00023215721536429257,23,1.0,0.003236714994227785,23.0,False
2,20.0,BIQAE,0.5,7200,0.000751007525544356,107,1.0,0.001861360497225073,55.0,False
2,20.0,CABIQAE_latentt,0.5,3320,0.003628256832761023,7,1.0,0.009717012033138045,5.0,True
3,20.0,BAE,0.5,30180,0.003547095125432831,21,1.0,0.003445415886830311,21.0,False
3,20.0,BIQAE,0.5,10400,0.0002609612573327702,155,1.0,0.0012904356919414273,79.0,False
3,20.0,CABIQAE_latentt,0.5,3280,0.005715079395449907,7,1.0,0.011623090225625687,5.0,True
4,20.0,BAE,0.5,30420,0.004506158145540118,23,1.0,0.003234104267521992,23.0,False
4,20.0,BIQAE,0.5,14120,0.00016442364683810773,249,1.0,0.0008396557279489458,126.0,False
4,20.0,CABIQAE_latentt,0.5,3240,0.003470961556486296,7,1.0,0.010781287203668,5.0,True
1,200.0,BAE,0.05,35660,0.004651941892830358,227,1.0,0.0004176684172361514,227.0,False
1,200.0,BIQAE,0.05,2040,0.0018092068679596007,33,1.0,0.002686603317765053,18.0,False
1,200.0,CABIQAE_latentt,0.05,4560,0.010503952147318918,65,1.0,0.001762317193307661,34.0,False
2,200.0,BAE,0.05,35140,0.008964864873904022,177,0.0,0.00042176343175764214,177.0,False
2,200.0,BIQAE,0.05,2040,0.005693969407690069,33,1.0,0.0026607501633864744,18.0,False
2,200.0,CABIQAE_latentt,0.05,4440,0.0019214486739046466,67,1.0,0.0017362621823245224,35.0,False
3,200.0,BAE,0.05,36500,0.004032460112327385,191,1.0,0.00040124934972841225,191.0,False
3,200.0,BIQAE,0.05,1960,0.01006018955649357,31,1.0,0.0028635618203347694,17.0,False
3,200.0,CABIQAE_latentt,0.05,3640,0.014526010961929847,53,1.0,0.0019293157970781127,28.0,False
4,200.0,BAE,0.05,36020,0.0031962054226361003,199,1.0,0.00040404353791027164,199.0,False
