rep,algorithm,a_true,final_queries,final_nRMSE,K_max,K_sequence,coverage,radius,bias,abs_rel_error,max_depth
1,BAE_legacy,0.929029790028328,905,0.0012287993456256974,99,11 11 21 25 29 41 63 45 79 23 91 79 91 99 97 97,1.0,0.002215810089777781,0.0007028602492120672,0.0007565529725270012,99.0
1,BAE_hardware,0.929029790028328,1145,0.0006532983677014492,195,1 9 17 11 33 21 37 55 91 75 41 95 97 97 171 195,1.0,0.001988176026492705,0.0006069336453715657,0.0006532983677014911,195.0
1,BIQAE,0.929029790028328,4121,0.00010217991468297605,235,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 113 113 113 113 113 113 113 113 113 113 113 235 235 235 235 235 235,1.0,0.0009524858818805715,-9.492818468304076e-05,0.00010217991468297934,119.0
1,IQAE,0.929029790028328,4480,0.0005560903478309953,209,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 103 103 103 103 103 103 103 103 103 103 103 103 103 103 209 209 209 209 209 209,1.0,0.0009820873711710032,0.0005166244990822966,0.0005560903478310891,106.0
1,CABIQAE_latentt,0.929029790028328,3103,6.109973049994721e-05,195,1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 9 9 9 9 9 21 21 21 21 21 21 21 21 21 21 21 21 21 45 45 45 45 45 45 97 97 97 97 97 97 97 97 97 195 195 195 195 195 195 195 195,1.0,0.0009671580921744027,5.676346979721636e-05,6.1099730500015e-05,99.0
2,BAE_legacy,0.39217616151765594,905,0.002436588810511564,101,5 5 17 5 5 13 23 27 7 33 43 53 85 7 55 67 99 7 51 99 99 101,1.0,0.007355978818617048,-3.397953721068214e-05,8.66435559958235e-05,101.0
2,BAE_hardware,0.39217616151765594,1038,0.010841770964837405,91,1 15 7 9 11 15 11 29 49 23 45 85 89 37 91 41 53 55 91 91 91,0.0,0.004065870968133156,0.004251884121043548,0.010841770964837509,91.0
2,BIQAE,0.39217616151765594,6941,0.0288804354626373,483,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 53 53 53 53 53 53 53 53 53 53 53 53 113 113 113 113 113 113 113 113 113 113 113 113 237 237 237 237 237 237 237 237 237 237 237 237 483 483 483,0.0,0.0009818229230005582,0.01132621832269548,0.02888043546263729,243.0
2,IQAE,0.39217616151765594,7601,0.0007540463318556068,371,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 25 25 25 25 25 25 25 25 25 25 25 59 59 59 59 59 59 59 59 59 59 59 59 59 59 59 59 59 59 143 143 143 143 143 143 143 143 143 143 143 143 143 143 143 143 143 143 143 143 143 143 143 371 371 371 371 371 371 371,1.0,0.0009886627172909501,-0.0002957189960335893,0.0007540463318555784,187.0
2,CABIQAE_latentt,0.39217616151765594,4533,0.001196310042631099,489,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 9 9 9 9 9 9 9 9 9 9 23 23 23 23 23 23 23 23 53 53 53 53 53 53 53 53 53 53 111 111 111 111 111 111 111 111 111 241 241 241 241 241 241 241 241 241 489,1.0,0.0009840928937733529,-0.0004691642805040863,0.0011963100426310954,246.0
