rep,algorithm,a_true,final_queries,final_nRMSE,K_max,K_sequence,coverage,radius,max_depth
1,BAE,0.929029790028328,98350,6.873429989173729e-06,551,11 21 5 67 23 87 101 95 95 95 189 195 199 293 369 363 369 381 387 393 445 405 521 411 539 469 487 475 417 551 423 481 463 469,1.0,0.0001869017718135746,551.0
1,BIQAE,0.929029790028328,7270,6.820456422995669e-05,311,1 1 1 1 3 3 3 9 9 9 27 27 27 73 73 149 311,1.0,0.0006058511188877791,157.0
1,CABIQAE_latentt,0.929029790028328,8540,0.00014315892896865634,149,1 1 1 1 3 3 3 3 11 11 11 33 33 73 73 73 73 149 149 149,1.0,0.0009032389587448342,76.0
2,BAE,0.39217616151765594,99510,0.00014618062867532977,549,7 15 41 93 23 89 89 99 101 99 101 201 377 377 361 345 333 361 347 391 507 419 521 405 463 463 493 405 449 477 463 549 477 491,1.0,0.0003448563425373363,549.0
2,BIQAE,0.39217616151765594,11600,0.0010398925332346654,337,1 1 1 1 3 3 3 3 3 3 13 13 27 27 61 61 131 131 337 337,1.0,0.0008081221093472757,170.0
2,CABIQAE_latentt,0.39217616151765594,9120,0.01293614439382862,219,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 9 21 49 49 107 219 219 219,0.0,0.000940602373765087,111.0
3,BAE,0.8809216103875599,98440,4.0896111145993785e-05,591,7 25 27 83 99 101 87 91 91 91 101 91 185 199 363 399 457 457 439 439 479 457 497 515 515 417 591 457 493 475 573 533 555,1.0,0.0002388196605569437,591.0
3,BIQAE,0.8809216103875599,5390,0.0006743665301963686,237,1 1 1 1 1 1 1 1 1 3 3 7 7 7 15 15 33 33 85 85 237,1.0,0.0009877987265539678,120.0
3,CABIQAE_latentt,0.8809216103875599,11350,0.0004421614303875554,167,1 1 1 1 1 1 3 3 7 7 15 15 39 39 83 83 167 167 167 167 167,1.0,0.0009261162707679405,85.0
4,BAE,0.28552318147718975,96730,0.000635527612433906,545,9 13 57 55 73 99 99 91 99 197 345 395 465 423 459 515 445 467 467 467 481 467 481 453 481 467 531 545 517 503,1.0,0.0003775117078063661,545.0
4,BIQAE,0.28552318147718975,13300,0.0011713116092082476,619,1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 9 9 21 21 45 45 123 123 293 619,1.0,0.0005299789866868021,311.0
4,CABIQAE_latentt,0.28552318147718975,6890,0.1186836922305623,193,1 1 1 1 1 1 1 1 1 1 5 11 29 29 29 95 95 193 193,0.0,0.000842370966275624,98.0
5,BAE,0.33718735257277777,99570,0.00047967602387366526,501,13 17 23 85 47 91 95 93 93 95 85 95 95 93 97 199 369 397 425 425 453 425 501 453 491 491 473 501 473 445 473 473 473 445 445 445,1.0,0.00035504461463664594,501.0
5,BIQAE,0.33718735257277777,8950,0.00012782799771526854,341,1 1 1 1 3 3 3 3 3 11 11 11 29 29 69 69 153 153 341,1.0,0.0009759411529843554,172.0
5,CABIQAE_latentt,0.33718735257277777,19090,0.0008821412661347283,267,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 7 7 19 19 57 57 131 131 131 267 267 267 267 267,1.0,0.0009281292390789231,135.0
6,BAE,0.15628210966997852,98410,0.0007953684711465847,539,13 31 19 71 95 91 91 99 99 95 99 199 381 373 377 361 361 361 377 369 365 353 369 399 473 419 481 485 481 489 535 481 539 481,1.0,0.0002596625493661575,539.0
6,BIQAE,0.15628210966997852,8530,0.00250065679703515,249,1 1 1 3 3 3 3 7 15 15 15 41 41 103 103 249 249,1.0,0.0008264400998049121,126.0
