rep,T_noise,algorithm,a_true,final_queries,final_nRMSE,K_max,K_sequence,coverage,radius,max_depth,auc_log_rmse
1,20.0,BAE,0.38,79200,0.004360421376859325,27,13 9 15 23 25 27 25 27 13 13 27 13 25 27 13 13 27 27 15 13 15 27 27 13 27 15 13 27 27 13 15 25 27 27 27 27 27 27 27 13 13 27 27 15 27 13 27 13 13 13 27 27 27 27 27 27 27 25 27 27 25 25 27 13 27 27 25 13 27 27 27 27 25,1.0,0.0023025231343841712,27.0,-5.85905468964266
1,20.0,BIQAE,0.38,13000,0.0009880738058573035,183,1 3 3 17 53 183,1.0,0.0009829307002095777,93.0,-5.813325227279984
1,20.0,CABIQAE_latentt,0.38,19300,0.011262637386892038,27,1 1 3 3 9 9 9 27 27 27 27 27 27 27 27 27 27 27 27 27,0.0,0.0029981680567090774,15.0,-5.3720285748678975
2,20.0,BAE,0.38,78750,0.0016417686686580613,27,7 15 13 13 25 13 15 27 27 13 25 27 15 25 13 25 25 25 25 25 25 25 27 27 27 27 25 25 27 25 25 25 13 25 25 25 25 25 13 25 25 25 25 25 25 27 25 27 25 27 25 25 25 25 25 25 25 25 25 25 27 27 27 27 25 25 25 25,1.0,0.0023647407355307237,27.0,-5.444925376370417
2,20.0,BIQAE,0.38,11850,0.0001472838583846947,167,1 1 1 3 13 51 167,1.0,0.0010788625939507357,85.0,-7.617524483190668
2,20.0,CABIQAE_latentt,0.38,16150,0.009867962374631722,27,1 1 1 1 1 3 9 9 27 27 27 27 27 27 27 27 27 27 27,0.0,0.0028197197858501055,15.0,-4.861277202024043
3,20.0,BAE,0.38,79150,0.0005206826801417153,27,5 13 11 25 13 25 25 13 25 25 25 27 27 27 27 27 13 13 13 15 27 27 25 25 27 15 27 13 13 25 25 25 25 25 25 13 13 11 25 25 13 25 25 13 15 25 13 25 25 25 13 25 25 25 25 13 25 13 25 27 25 13 27 25 25 25 25 13 13 25 25 25 25 13 27 25,1.0,0.002162946116224085,27.0,-6.384129162178971
3,20.0,BIQAE,0.38,10950,0.0008142063973043401,155,1 1 3 3 13 43 155,1.0,0.0011707726303396837,79.0,-6.923004846243019
3,20.0,CABIQAE_latentt,0.38,31200,0.05019788067579767,11,1 1 3 3 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11,0.0,0.002971022331616141,7.0,-3.9107251586897127
4,20.0,BAE,0.38,79600,0.0007226399765023483,37,5 11 15 23 25 25 23 23 25 23 13 25 25 37 25 25 25 13 25 25 25 13 25 25 25 13 25 13 13 25 25 25 13 25 25 25 25 25 25 13 25 25 25 25 13 27 25 27 11 25 25 25 13 25 27 27 25 25 25 25 25 27 27 25 27 25 25 25 25 25 25,1.0,0.002412455839729488,37.0,-5.097103015419753
4,20.0,BIQAE,0.38,9750,0.0014927392523387262,133,1 1 1 1 3 3 13 39 133,1.0,0.0013509913635957327,68.0,-6.426404284465658
4,20.0,CABIQAE_latentt,0.38,60050,0.02719355978305793,25,1 1 3 3 9 9 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25,0.0,0.0029500659042757116,14.0,-4.639967592106817
5,20.0,BAE,0.38,79750,0.0018293028641793718,29,11 15 13 13 15 27 15 15 15 15 15 27 15 27 13 27 15 27 13 27 27 13 27 15 27 29 27 27 27 27 13 15 13 27 27 27 13 27 25 25 27 27 27 27 27 25 13 27 25 27 27 27 27 27 25 27 25 27 27 27 27 25 25 25 25 25 15 15 25 25 25 25,1.0,0.0023799009741251043,29.0,-5.295168128085235
5,20.0,BIQAE,0.38,9500,0.00016316475599786884,139,1 1 3 11 35 139,1.0,0.0012976892248132421,71.0,-6.770964051615983
5,20.0,CABIQAE_latentt,0.38,24050,0.03757731988018653,11,1 1 3 3 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11,0.0,0.0029910999274957994,7.0,-4.617950923032467
6,20.0,BAE,0.38,78950,0.00044000709659430814,27,11 3 21 23 23 25 9 13 23 23 25 25 25 25 25 25 25 25 25 25 25 25 25 13 25 25 13 25 27 25 27 25 25 25 25 25 13 13 25 25 25 25 25 25 25 13 25 25 25 25 25 13 27 25 25 25 25 13 13 27 13 25 13 25 27 25 25 25 25 13 25 27,1.0,0.0023629873332960405,27.0,-5.496299106120024
6,20.0,BIQAE,0.38,10650,0.00012305691054925738,157,1 1 1 3 11 39 157,1.0,0.001166180612638984,80.0,-8.147363129534718
