algorithm,error,error_type,phase,repetition,timestamp_epoch
biqae,'The job was not completed successfully.',AlgorithmError,hardware_replay,0,1777404988.751492
bae,"'Replay requested k=26, but no premeasured hardware probability exists for that Grover power. Available k values: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25].'",KeyError,hardware_replay,0,1777404989.9509046
biqae,'The job was not completed successfully.',AlgorithmError,hardware_replay,1,1777404994.2920427
bae,"'Replay requested k=27, but no premeasured hardware probability exists for that Grover power. Available k values: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25].'",KeyError,hardware_replay,1,1777404997.4325426
biqae,'The job was not completed successfully.',AlgorithmError,hardware_replay,2,1777405000.80393
bae,"'Replay requested k=27, but no premeasured hardware probability exists for that Grover power. Available k values: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25].'",KeyError,hardware_replay,2,1777405002.3719578
biqae,'The job was not completed successfully.',AlgorithmError,hardware_replay,3,1777405005.5402114
biqae,'The job was not completed successfully.',AlgorithmError,hardware_replay,4,1777405012.1463003
biqae,'The job was not completed successfully.',AlgorithmError,hardware_replay,5,1777405021.1976972
bae,"'Replay requested k=27, but no premeasured hardware probability exists for that Grover power. Available k values: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25].'",KeyError,hardware_replay,5,1777405025.4801223
biqae,'The job was not completed successfully.',AlgorithmError,hardware_replay,6,1777405028.8661845
bae,"'Replay requested k=27, but no premeasured hardware probability exists for that Grover power. Available k values: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25].'",KeyError,hardware_replay,6,1777405032.3034391
biqae,'The job was not completed successfully.',AlgorithmError,hardware_replay,7,1777405034.6530187
bae,"'Replay requested k=27, but no premeasured hardware probability exists for that Grover power. Available k values: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25].'",KeyError,hardware_replay,7,1777405036.8033097
biqae,'The job was not completed successfully.',AlgorithmError,hardware_replay,8,1777405039.8833833
bae,"'Replay requested k=27, but no premeasured hardware probability exists for that Grover power. Available k values: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25].'",KeyError,hardware_replay,8,1777405041.809226
biqae,'The job was not completed successfully.',AlgorithmError,hardware_replay,9,1777405046.2920659
bae,"'Replay requested k=28, but no premeasured hardware probability exists for that Grover power. Available k values: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25].'",KeyError,hardware_replay,9,1777405048.3393176
biqae,'The job was not completed successfully.',AlgorithmError,hardware_replay,10,1777405053.1217356
bae,"'Replay requested k=27, but no premeasured hardware probability exists for that Grover power. Available k values: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25].'",KeyError,hardware_replay,10,1777405056.0574858
biqae,'The job was not completed successfully.',AlgorithmError,hardware_replay,11,1777405063.6531384
bae,"'Replay requested k=27, but no premeasured hardware probability exists for that Grover power. Available k values: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25].'",KeyError,hardware_replay,11,1777405066.4263346
biqae,'The job was not completed successfully.',AlgorithmError,hardware_replay,12,1777405070.1039116
bae,"'Replay requested k=27, but no premeasured hardware probability exists for that Grover power. Available k values: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25].'",KeyError,hardware_replay,12,1777405075.5165355
biqae,'The job was not completed successfully.',AlgorithmError,hardware_replay,13,1777405080.5160654
bae,"'Replay requested k=27, but no premeasured hardware probability exists for that Grover power. Available k values: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25].'",KeyError,hardware_replay,13,1777405084.177681
biqae,'The job was not completed successfully.',AlgorithmError,hardware_replay,14,1777405086.7625437
bae,"'Replay requested k=27, but no premeasured hardware probability exists for that Grover power. Available k values: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25].'",KeyError,hardware_replay,14,1777405093.698206
biqae,'The job was not completed successfully.',AlgorithmError,hardware_replay,15,1777405097.3303578
bae,"'Replay requested k=27, but no premeasured hardware probability exists for that Grover power. Available k values: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25].'",KeyError,hardware_replay,15,1777405100.5511105
biqae,'The job was not completed successfully.',AlgorithmError,hardware_replay,16,1777405104.8943539
bae,"'Replay requested k=27, but no premeasured hardware probability exists for that Grover power. Available k values: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25].'",KeyError,hardware_replay,16,1777405106.4168801
biqae,'The job was not completed successfully.',AlgorithmError,hardware_replay,17,1777405109.571277
biqae,'The job was not completed successfully.',AlgorithmError,hardware_replay,18,1777405119.005786
bae,"'Replay requested k=26, but no premeasured hardware probability exists for that Grover power. Available k values: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25].'",KeyError,hardware_replay,18,1777405120.038892
biqae,'The job was not completed successfully.',AlgorithmError,hardware_replay,19,1777405124.6701672
bae,"'Replay requested k=26, but no premeasured hardware probability exists for that Grover power. Available k values: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25].'",KeyError,hardware_replay,19,1777405126.3509789
biqae,'The job was not completed successfully.',AlgorithmError,hardware_replay,20,1777405129.5891988
bae,"'Replay requested k=27, but no premeasured hardware probability exists for that Grover power. Available k values: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25].'",KeyError,hardware_replay,20,1777405131.4054854
biqae,'The job was not completed successfully.',AlgorithmError,hardware_replay,21,1777405137.3450637
bae,"'Replay requested k=27, but no premeasured hardware probability exists for that Grover power. Available k values: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25].'",KeyError,hardware_replay,21,1777405142.5820916
biqae,'The job was not completed successfully.',AlgorithmError,hardware_replay,22,1777405147.1907701
bae,"'Replay requested k=32, but no premeasured hardware probability exists for that Grover power. Available k values: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25].'",KeyError,hardware_replay,22,1777405150.6040165
biqae,'The job was not completed successfully.',AlgorithmError,hardware_replay,23,1777405154.225492
biqae,'The job was not completed successfully.',AlgorithmError,hardware_replay,24,1777405165.11595
bae,"'Replay requested k=28, but no premeasured hardware probability exists for that Grover power. Available k values: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25].'",KeyError,hardware_replay,24,1777405167.8568223
biqae,'The job was not completed successfully.',AlgorithmError,hardware_replay,25,1777405170.098748
bae,"'Replay requested k=27, but no premeasured hardware probability exists for that Grover power. Available k values: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25].'",KeyError,hardware_replay,25,1777405173.71298
biqae,'The job was not completed successfully.',AlgorithmError,hardware_replay,26,1777405175.3916829
bae,"'Replay requested k=27, but no premeasured hardware probability exists for that Grover power. Available k values: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25].'",KeyError,hardware_replay,26,1777405180.4795415
biqae,'The job was not completed successfully.',AlgorithmError,hardware_replay,27,1777405183.6811514
bae,"'Replay requested k=27, but no premeasured hardware probability exists for that Grover power. Available k values: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25].'",KeyError,hardware_replay,27,1777405187.8857467
biqae,'The job was not completed successfully.',AlgorithmError,hardware_replay,28,1777405192.8924673
bae,"'Replay requested k=27, but no premeasured hardware probability exists for that Grover power. Available k values: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25].'",KeyError,hardware_replay,28,1777405194.9534154
biqae,'The job was not completed successfully.',AlgorithmError,hardware_replay,29,1777405197.7208638
bae,"'Replay requested k=27, but no premeasured hardware probability exists for that Grover power. Available k values: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25].'",KeyError,hardware_replay,29,1777405201.6669822
biqae,'The job was not completed successfully.',AlgorithmError,hardware_replay,30,1777405204.695047
bae,"'Replay requested k=27, but no premeasured hardware probability exists for that Grover power. Available k values: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25].'",KeyError,hardware_replay,30,1777405211.2096808
biqae,'The job was not completed successfully.',AlgorithmError,hardware_replay,31,1777405217.0899699
bae,"'Replay requested k=27, but no premeasured hardware probability exists for that Grover power. Available k values: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25].'",KeyError,hardware_replay,31,1777405220.4757822
biqae,'The job was not completed successfully.',AlgorithmError,hardware_replay,32,1777405224.9166384
biqae,'The job was not completed successfully.',AlgorithmError,hardware_replay,33,1777405234.6539176
bae,"'Replay requested k=27, but no premeasured hardware probability exists for that Grover power. Available k values: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25].'",KeyError,hardware_replay,33,1777405237.7790332
biqae,'The job was not completed successfully.',AlgorithmError,hardware_replay,34,1777405240.8066049
bae,"'Replay requested k=27, but no premeasured hardware probability exists for that Grover power. Available k values: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25].'",KeyError,hardware_replay,34,1777405246.8285854
biqae,'The job was not completed successfully.',AlgorithmError,hardware_replay,35,1777405249.8360488
biqae,'The job was not completed successfully.',AlgorithmError,hardware_replay,36,1777405259.81994
bae,"'Replay requested k=27, but no premeasured hardware probability exists for that Grover power. Available k values: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25].'",KeyError,hardware_replay,36,1777405264.3346672
biqae,'The job was not completed successfully.',AlgorithmError,hardware_replay,37,1777405267.3395262
biqae,'The job was not completed successfully.',AlgorithmError,hardware_replay,38,1777405278.6208098
bae,"'Replay requested k=27, but no premeasured hardware probability exists for that Grover power. Available k values: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25].'",KeyError,hardware_replay,38,1777405283.0080016
biqae,'The job was not completed successfully.',AlgorithmError,hardware_replay,39,1777405285.2173972
bae,"'Replay requested k=28, but no premeasured hardware probability exists for that Grover power. Available k values: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25].'",KeyError,hardware_replay,39,1777405287.6088653
biqae,'The job was not completed successfully.',AlgorithmError,hardware_replay,40,1777405289.2632334
bae,"'Replay requested k=27, but no premeasured hardware probability exists for that Grover power. Available k values: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25].'",KeyError,hardware_replay,40,1777405294.4535954
biqae,'The job was not completed successfully.',AlgorithmError,hardware_replay,41,1777405300.8062503
bae,"'Replay requested k=27, but no premeasured hardware probability exists for that Grover power. Available k values: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25].'",KeyError,hardware_replay,41,1777405304.2232826
biqae,'The job was not completed successfully.',AlgorithmError,hardware_replay,42,1777405307.5617704
bae,"'Replay requested k=27, but no premeasured hardware probability exists for that Grover power. Available k values: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25].'",KeyError,hardware_replay,42,1777405311.5183778
biqae,'The job was not completed successfully.',AlgorithmError,hardware_replay,43,1777405315.6506176
biqae,'The job was not completed successfully.',AlgorithmError,hardware_replay,44,1777405332.2434332
bae,"'Replay requested k=27, but no premeasured hardware probability exists for that Grover power. Available k values: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25].'",KeyError,hardware_replay,44,1777405339.447142
biqae,'The job was not completed successfully.',AlgorithmError,hardware_replay,45,1777405342.8472815
bae,"'Replay requested k=27, but no premeasured hardware probability exists for that Grover power. Available k values: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25].'",KeyError,hardware_replay,45,1777405348.6453552
biqae,'The job was not completed successfully.',AlgorithmError,hardware_replay,46,1777405352.6135333
