backend_mode,context,job_id,n_circuits,sampler_call_index,shots,submitted_at_epoch
runtime_backend,amplification_scan_topup_recovered,d7or6lttq41c73a8rq60,1,0,4096,1777447767.414663
runtime_backend,amplification_scan_topup_recovered,d7osan5pb8as73c2tv0g,1,1,4096,1777452380.942155
runtime_backend,amplification_scan_topup_recovered,d7osaqdtq41c73a8spo0,1,2,4096,1777452394.025563
runtime_backend,amplification_scan_topup_recovered,d7osasru0eis73bm8f80,1,3,4096,1777452403.79244
runtime_backend,amplification_scan_topup_recovered,d7osavdtq41c73a8spt0,1,4,4096,1777452413.512154
runtime_backend,amplification_scan_topup_recovered,d7osb1ju0eis73bm8fcg,1,5,4096,1777452423.056957
runtime_backend,amplification_scan_topup_recovered,d7osb55tq41c73a8sq30,1,6,4096,1777452436.804179
runtime_backend,amplification_scan_topup_recovered,d7osb7ru0eis73bm8fj0,1,7,4096,1777452447.284121
runtime_backend,amplification_scan_topup_recovered,d7osba5tq41c73a8sq90,1,8,4096,1777452456.759353
runtime_backend,amplification_scan_topup_recovered,d7osbcmm3bns73cdgd90,1,9,4096,1777452466.153633
runtime_backend,amplification_scan_topup_recovered,d7osbf5pb8as73c2tvo0,1,10,4096,1777452476.594144
runtime_backend,amplification_scan_topup_recovered,d7osbilpb8as73c2tvr0,1,11,4096,1777452490.222438
runtime_backend,amplification_scan_topup_recovered,d7osbl5tq41c73a8sqj0,1,12,4096,1777452500.408277
runtime_backend,amplification_scan_topup_recovered,d7osbo3u0eis73bm8g20,1,13,4096,1777452512.333501
runtime_backend,amplification_scan_topup_recovered,d7osbrem3bns73cdgdmg,1,14,4096,1777452525.119537
runtime_backend,amplification_scan_topup_recovered,d7osbultq41c73a8sqsg,1,15,4096,1777452538.530149
runtime_backend,amplification_scan_topup_recovered,d7osc15pb8as73c2u090,1,16,4096,1777452548.436372
runtime_backend,amplification_scan_topup_recovered,d7osc3ttq41c73a8sr2g,1,17,4096,1777452559.438526
runtime_backend,amplification_scan_topup_recovered,d7osc6em3bns73cdge1g,1,18,4096,1777452569.918318
runtime_backend,amplification_scan_topup_recovered,d7osc8tpb8as73c2u0g0,1,19,4096,1777452579.176876
runtime_backend,amplification_scan_topup_recovered,d7oscbju0eis73bm8glg,1,20,4096,1777452590.422855
runtime_backend,amplification_scan_topup_recovered,d7oscf6m3bns73cdgea0,1,21,4096,1777452605.11044
runtime_backend,amplification_scan_topup_recovered,d7oschju0eis73bm8grg,1,22,4096,1777452614.576325
runtime_backend,amplification_scan_topup_recovered,d7oscl6m3bns73cdgegg,1,23,4096,1777452628.363923
runtime_backend,amplification_scan_topup_recovered,d7osco3u0eis73bm8h20,1,24,4096,1777452640.743079
runtime_backend,amplification_scan_topup_recovered,d7oscqju0eis73bm8h4g,1,25,4096,1777452650.478052
runtime_backend,amplification_scan_topup_recovered,d7oscu5tq41c73a8srqg,1,26,4096,1777452664.367846
