amplification_factor,cx,cz,decomposed_2q,decomposed_depth,ecr,grover_power,isa_2q,isa_depth,isa_size,logical_2q,logical_depth,p_ideal,rzz,swap,within_2q_limit,within_depth_limit
1,0,16,12,26,0,0,16,64,96,6,10,0.3602728053304129,0,0,True,True
3,0,60,42,89,0,1,60,209,320,36,73,0.875533739467591,0,0,True,True
5,0,100,72,152,0,2,100,348,527,66,136,0.0059685783291602915,0,0,True,True
7,0,146,102,215,0,3,146,493,760,96,199,0.9582040510986927,0,0,True,True
9,0,190,132,278,0,4,190,644,976,126,262,0.2207566532370246,0,0,True,True
11,0,229,162,341,0,5,229,778,1194,156,325,0.5130528786186568,0,0,True,True
13,0,270,192,404,0,6,270,929,1410,186,388,0.7572150349943744,0,0,True,True
15,0,312,222,467,0,7,312,1071,1650,216,451,0.05286563269513587,0,0,True,True
17,0,354,252,530,0,8,354,1203,1840,246,514,0.9973783028589261,0,0,True,True
19,0,396,282,593,0,9,396,1343,2051,276,577,0.10774830983764506,0,0,True,True
21,0,437,312,656,0,10,437,1492,2260,306,640,0.6645938777683754,0,0,True,True
23,0,480,342,719,0,11,480,1633,2476,336,703,0.6144796093355294,0,0,True,True
25,0,525,372,782,0,12,525,1779,2698,366,766,0.1422079320649065,0,0,True,True
27,0,565,402,845,0,13,565,1915,2902,396,829,0.9893377899575437,0,0,True,True
29,0,603,432,908,0,14,603,2052,3123,426,892,0.03197534870702056,0,0,True,True
31,0,650,462,971,0,15,650,2208,3355,456,955,0.8005104293720162,0,0,True,True
33,0,688,492,1034,0,16,688,2346,3559,486,1018,0.46087694684254177,0,0,True,True
35,0,733,522,1097,0,17,733,2487,3785,516,1081,0.26551445582534283,0,0,True,True
37,0,766,552,1160,0,18,766,2626,4001,546,1144,0.9348457763371325,0,0,True,True
39,0,812,582,1223,0,19,812,2767,4223,576,1207,0.0006306902176955529,0,0,True,True
41,0,854,612,1286,0,20,854,2920,4442,606,1270,0.9079003461795536,0,0,True,True
43,0,895,642,1349,0,21,895,3065,4665,636,1333,0.31098812899668915,0,0,True,True
45,0,936,672,1412,0,22,936,3197,4880,666,1396,0.41108005224962346,0,0,True,True
47,0,978,702,1475,0,23,978,3337,5092,696,1459,0.8390750401109304,0,0,True,True
49,0,1015,732,1538,0,24,1015,3485,5314,726,1522,0.01668979724262977,0,0,True,True
51,0,1060,762,1601,0,25,1060,3619,5517,756,1585,0.9765693965167298,0,0,True,True
53,0,1102,792,1664,0,26,1102,3771,5760,786,1648,0.1790416921440898,0,0,True,True
55,0,1140,822,1727,0,27,1140,3906,5948,816,1711,0.5650865766006435,0,0,True,True
57,0,1185,852,1790,0,28,1185,4056,6194,846,1774,0.7111168358559748,0,0,True,True
59,0,1227,882,1853,0,29,1227,4188,6383,876,1837,0.07862822258639891,0,0,True,True
61,0,1269,912,1916,0,30,1269,4328,6594,906,1900,0.9999990148719898,0,0,True,True
63,0,1310,942,1979,0,31,1310,4473,6818,936,1963,0.07756295137815633,0,0,True,True
65,0,1349,972,2042,0,32,1349,4618,7034,966,2026,0.7129146098933207,0,0,True,True
67,0,1395,1002,2105,0,33,1395,4784,7300,996,2089,0.5631178866313437,0,0,True,True
69,0,1433,1032,2168,0,34,1433,4916,7509,1026,2152,0.18056632059637173,0,0,True,True
71,0,1474,1062,2231,0,35,1474,5041,7681,1056,2215,0.9759650915276525,0,0,True,True
73,0,1516,1092,2294,0,36,1516,5181,7890,1086,2278,0.01618500656649411,0,0,True,True
75,0,1554,1122,2357,0,37,1554,5336,8134,1116,2341,0.8405312404341044,0,0,True,True
77,0,1596,1152,2420,0,38,1596,5468,8325,1146,2404,0.4091273287134776,0,0,True,True
79,0,1642,1182,2483,0,39,1642,5613,8558,1176,2467,0.3128273858756152,0,0,True,True
81,0,1682,1212,2546,0,40,1682,5745,8738,1206,2530,0.9067491012245218,0,0,True,True
