amplification_factor,batch_index,counts_json,grover_power,one_counts,p_hw_raw,repeat_index,shots,zero_counts
1,0,"{""0"": 936, ""1"": 88}",0,88,0.0859375,0,1024,936
13,1,"{""0"": 633, ""1"": 391}",6,391,0.3818359375,0,1024,633
21,2,"{""0"": 673, ""1"": 351}",10,351,0.3427734375,0,1024,673
7,3,"{""0"": 202, ""1"": 822}",3,822,0.802734375,0,1024,202
19,4,"{""0"": 418, ""1"": 606}",9,606,0.591796875,1,1024,418
23,5,"{""0"": 697, ""1"": 327}",11,327,0.3193359375,0,1024,697
25,6,"{""0"": 488, ""1"": 536}",12,536,0.5234375,0,1024,488
23,7,"{""0"": 676, ""1"": 348}",11,348,0.33984375,1,1024,676
11,8,"{""0"": 817, ""1"": 207}",5,207,0.2021484375,1,1024,817
1,9,"{""0"": 927, ""1"": 97}",0,97,0.0947265625,1,1024,927
5,10,"{""0"": 134, ""1"": 890}",2,890,0.869140625,1,1024,134
11,11,"{""0"": 831, ""1"": 193}",5,193,0.1884765625,0,1024,831
15,12,"{""0"": 360, ""1"": 664}",7,664,0.6484375,1,1024,360
9,13,"{""0"": 614, ""1"": 410}",4,410,0.400390625,1,1024,614
19,14,"{""0"": 405, ""1"": 619}",9,619,0.6044921875,0,1024,405
27,15,"{""0"": 395, ""1"": 629}",13,629,0.6142578125,0,1024,395
5,16,"{""0"": 142, ""1"": 882}",2,882,0.861328125,0,1024,142
17,17,"{""0"": 309, ""1"": 715}",8,715,0.6982421875,1,1024,309
7,18,"{""0"": 200, ""1"": 824}",3,824,0.8046875,1,1024,200
3,19,"{""0"": 504, ""1"": 520}",1,520,0.5078125,1,1024,504
9,20,"{""0"": 628, ""1"": 396}",4,396,0.38671875,0,1024,628
27,21,"{""0"": 410, ""1"": 614}",13,614,0.599609375,1,1024,410
15,22,"{""0"": 377, ""1"": 647}",7,647,0.6318359375,0,1024,377
17,23,"{""0"": 301, ""1"": 723}",8,723,0.7060546875,0,1024,301
3,24,"{""0"": 527, ""1"": 497}",1,497,0.4853515625,0,1024,527
25,25,"{""0"": 503, ""1"": 521}",12,521,0.5087890625,1,1024,503
21,26,"{""0"": 666, ""1"": 358}",10,358,0.349609375,1,1024,666
13,27,"{""0"": 622, ""1"": 402}",6,402,0.392578125,1,1024,622
51,28,"{""0"": 464, ""1"": 560}",25,560,0.546875,1,1024,464
71,29,"{""0"": 506, ""1"": 518}",35,518,0.505859375,0,1024,506
31,30,"{""0"": 498, ""1"": 526}",15,526,0.513671875,1,1024,498
43,31,"{""0"": 588, ""1"": 436}",21,436,0.42578125,0,1024,588
37,32,"{""0"": 463, ""1"": 561}",18,561,0.5478515625,1,1024,463
57,33,"{""0"": 558, ""1"": 466}",28,466,0.455078125,0,1024,558
71,34,"{""0"": 535, ""1"": 489}",35,489,0.4775390625,1,1024,535
51,35,"{""0"": 442, ""1"": 582}",25,582,0.568359375,0,1024,442
31,36,"{""0"": 527, ""1"": 497}",15,497,0.4853515625,0,1024,527
37,37,"{""0"": 476, ""1"": 548}",18,548,0.53515625,0,1024,476
57,38,"{""0"": 535, ""1"": 489}",28,489,0.4775390625,1,1024,535
43,39,"{""0"": 578, ""1"": 446}",21,446,0.435546875,1,1024,578
