amplification_factor,contrast_mitigated,contrast_mitigated_se,fit_exclusion_reason,grover_power,p_hw_mitigated,p_hw_mitigated_se,p_hw_raw,p_hw_raw_se,p_ideal,shots,signal_z_from_half,used_in_fit
1,0.9640911548239333,0.014942386163098722,,0,0.08768472906403942,0.006390447592471631,0.09033203125,0.006334281549178424,0.07232750360492672,2048,64.52056213115576,True
3,-0.07831417160161158,0.3544012026543618,ideal_probability_too_close_to_half,1,0.4975369458128079,0.011146250394938535,0.49658203125,0.011048285303576771,0.5314509384038665,2048,0.2209760322906955,False
5,0.8087775911277503,0.016664384207513653,,2,0.8694581280788177,0.00761246634728003,0.865234375,0.007545559904774639,0.9568105399206839,2048,48.533301984425435,True
7,0.7846246840681155,0.022601660283761562,,3,0.8073891625615763,0.008854558833282351,0.8037109375,0.008776735562286706,0.8917658579995567,2048,34.71535604983138,True
9,1.1337049635020218,0.11604051285628385,ideal_probability_too_close_to_half,4,0.3935960591133005,0.010890988632776065,0.3935546875,0.010795267052995806,0.40614494572025417,2048,9.769906523130548,False
11,0.6400498995399527,0.018461503724984882,,5,0.1935960591133005,0.008837869516260668,0.1953125,0.008760192928715408,0.021281167129417845,2048,34.6694347911509,True
13,0.3226226486025665,0.031056524329771473,,6,0.387192118226601,0.010859190264727373,0.38720703125,0.010763748162791293,0.15034109582193286,2048,10.388240653616647,True
15,0.9198234069030168,0.06913161900396507,,7,0.6423645320197044,0.010699760968685254,0.64013671875,0.010605720100796419,0.6547737652154735,2048,13.305393684621503,True
17,0.41562892531195544,0.02067720426267569,,8,0.7049261083743842,0.01019490883227629,0.7021484375,0.010105305141367612,0.9930506417968248,2048,20.10082794714201,True
19,0.3311060445681772,0.03618878955656587,,9,0.6,0.010929667443481032,0.59814453125,0.010833605913216061,0.802018044190097,2048,9.149409212779359,True
21,0.7230588499004779,0.04973678838105689,,10,0.3458128078817734,0.010606018786035374,0.34619140625,0.010512801824048734,0.2867570639105669,2048,14.537706865203772,True
23,0.3421599218997412,0.020975959808647148,,11,0.32906403940886697,0.010479152027228735,0.32958984375,0.01038705010511442,0.000420856884517838,2048,16.312003122674223,True
25,-0.06907679439557096,0.04463478793373797,negative_or_zero_contrast,12,0.5172413793103449,0.011140721221014317,0.51611328125,0.011042804725907747,0.2504027298717507,2048,1.5475999235869133,False
27,0.4057096638965539,0.04057809058144167,,13,0.6088669950738916,0.01088861119306274,0.60693359375,0.010792910508748713,0.7683371996326173,2048,9.998244325525375,True
31,0.0025493994953366774,0.05768629796840216,contrast_not_distinguishable_from_zero,15,0.5004926108374385,0.01114650552136637,0.49951171875,0.011048538187682486,0.6932262237987936,2048,0.04419419489760148,False
37,-0.3203145183533652,0.0830215742291953,ideal_probability_too_close_to_half,18,0.5428571428571428,0.011108043073590293,0.54150390625,0.011010413788763817,0.3662029336745093,2048,3.8582081986193377,False
43,-0.9545352975004154,0.15278564383306653,ideal_probability_too_close_to_half,21,0.43103448275862066,0.01103881750795078,0.4306640625,0.010941796650947307,0.572250358286357,2048,6.247545735012512,False
51,0.13477434236515026,0.025243998747135152,,25,0.5591133004926109,0.011072256465043291,0.5576171875,0.010974941710955997,0.9386094523277474,2048,5.3388666239117635,True
57,0.07093601725094094,0.02390225024762929,,28,0.4669950738916256,0.011121176996110734,0.46630859375,0.011023432276418355,0.03472259386064402,2048,2.9677547727112694,True
71,0.025993320014426474,0.03920537555790833,contrast_not_distinguishable_from_zero,35,0.49261083743842365,0.011144974675195546,0.49169921875,0.011047020796214335,0.2157284041640195,2048,0.6630039795444127,False
