backend_mode,context,job_id,n_circuits,sampler_call_index,shots,submitted_at_epoch
runtime,readout_calibration,d7npifecfkrc73ctdmdg,2,0,2048,1777310013.6772997
runtime,amplification_scan,d7npmo54m5us739aqg6g,1,0,1024,1777310560.4167151
runtime,amplification_scan,d7npmqjd59ds73bi135g,1,1,1024,1777310570.9406333
runtime,amplification_scan,d7npmt54m5us739aqgc0,1,2,1024,1777310580.4907172
runtime,amplification_scan,d7npmvecfkrc73ctdqe0,1,3,1024,1777310589.7508225
runtime,amplification_scan,d7npn1ceg1us73aekn4g,1,4,1024,1777310598.2643487
runtime,amplification_scan,d7npn54eg1us73aekn90,1,5,1024,1777310612.6373956
runtime,amplification_scan,d7npn754m5us739aqglg,1,6,1024,1777310620.9413724
runtime,amplification_scan,d7npn9ecfkrc73ctdqog,1,7,1024,1777310629.410585
runtime,amplification_scan,d7npnbceg1us73aekneg,1,8,1024,1777310637.6657279
runtime,amplification_scan,d7npndjd59ds73bi13n0,1,9,1024,1777310646.3158355
runtime,amplification_scan,d7npnfd4m5us739aqgu0,1,10,1024,1777310653.680513
runtime,amplification_scan,d7npnhd4m5us739aqh00,1,11,1024,1777310661.8450055
runtime,amplification_scan,d7npnk4eg1us73aeknog,1,12,1024,1777310672.544338
runtime,amplification_scan,d7npnmrd59ds73bi140g,1,13,1024,1777310683.4980822
runtime,amplification_scan,d7npnoseg1us73aeknt0,1,14,1024,1777310691.9163773
runtime,amplification_scan,d7npnr54m5us739aqh90,1,15,1024,1777310700.6272447
runtime,amplification_scan,d7npntecfkrc73ctdrd0,1,16,1024,1777310709.3651836
runtime,amplification_scan,d7npnvecfkrc73ctdrg0,1,17,1024,1777310717.5501575
runtime,amplification_scan,d7npo1ceg1us73aeko50,1,18,1024,1777310725.3250055
runtime,amplification_scan,d7npo46cfkrc73ctdrkg,1,19,1024,1777310737.0747132
runtime,amplification_scan,d7npo66cfkrc73ctdrn0,1,20,1024,1777310744.8607318
runtime,amplification_scan,d7npo9ecfkrc73ctdrq0,1,21,1024,1777310757.3589332
runtime,amplification_scan,d7npoc6cfkrc73ctdrt0,1,22,1024,1777310769.1767223
runtime,amplification_scan,d7npoe3d59ds73bi14mg,1,23,1024,1777310777.1053016
runtime,amplification_scan,d7npogd4m5us739aqhu0,1,24,1024,1777310786.055544
runtime,amplification_scan,d7npojceg1us73aekomg,1,25,1024,1777310797.8001184
runtime,amplification_scan,d7npolceg1us73aekop0,1,26,1024,1777310806.249872
runtime,amplification_scan,d7nponkeg1us73aekorg,1,27,1024,1777310815.116507
runtime_backend,amplification_scan_topup_recovered,d7nrf2rd59ds73bi2om0,1,28,1024,1777317772.023072
runtime_backend,amplification_scan_topup_recovered,d7nrhojd59ds73bi2r20,1,29,1024,1777318114.88553
runtime_backend,amplification_scan_topup_recovered,d7nrhrrd59ds73bi2r5g,1,30,1024,1777318127.435363
runtime_backend,amplification_scan_topup_recovered,d7nrhu6cfkrc73ctfj5g,1,31,1024,1777318136.191709
runtime_backend,amplification_scan_topup_recovered,d7nri0bd59ds73bi2rag,1,32,1024,1777318145.429467
runtime_backend,amplification_scan_topup_recovered,d7nri3ceg1us73aemffg,1,33,1024,1777318157.649727
runtime_backend,amplification_scan_topup_recovered,d7nri5t4m5us739as8q0,1,34,1024,1777318167.588114
runtime_backend,amplification_scan_topup_recovered,d7nri8ecfkrc73ctfjgg,1,35,1024,1777318177.350191
runtime_backend,amplification_scan_topup_recovered,d7nriabd59ds73bi2rjg,1,36,1024,1777318185.601051
runtime_backend,amplification_scan_topup_recovered,d7nricd4m5us739as90g,1,37,1024,1777318193.813027
runtime_backend,amplification_scan_topup_recovered,d7nrif3d59ds73bi2rp0,1,38,1024,1777318204.50933
runtime_backend,amplification_scan_topup_recovered,d7nrihbd59ds73bi2rs0,1,39,1024,1777318213.467797
