scenario_id,a_true,algorithm,n_runs,n_reached,median,q25,q75,mean,reach_rate
1,0.3602728053304129,BAE,25,22,3846.0,3846.0,7595.0,4697.227272727273,0.88
1,0.3602728053304129,CABIQAE_latentt,25,23,1947.0,986.0,3846.0,3188.7391304347825,0.92
2,0.4921690272381603,BAE,25,25,1947.0,1947.0,3846.0,3083.84,1.0
2,0.4921690272381603,CABIQAE_latentt,25,24,1947.0,986.0,3846.0,3200.6666666666665,0.96
3,0.530324472540106,BAE,25,25,3846.0,1947.0,3846.0,4424.28,1.0
3,0.530324472540106,CABIQAE_latentt,25,24,1947.0,986.0,3846.0,3391.6666666666665,0.96
4,0.5682384803402307,BAE,25,25,3846.0,1947.0,7595.0,4135.0,1.0
4,0.5682384803402307,CABIQAE_latentt,25,25,986.0,986.0,1947.0,1868.72,1.0
5,0.6056665183230261,BAE,25,25,3846.0,986.0,3846.0,3595.04,1.0
5,0.6056665183230261,CABIQAE_latentt,25,24,986.0,864.25,1947.0,2179.375,0.96
6,0.6423672082866361,BAE,25,22,1947.0,620.75,1947.0,1972.4545454545455,0.88
6,0.6423672082866361,CABIQAE_latentt,25,24,986.0,499.0,1947.0,1718.375,0.96
7,0.6692728078979026,BAE,25,24,2896.5,986.0,3846.0,2928.625,0.96
7,0.6692728078979026,CABIQAE_latentt,25,25,499.0,128.0,1947.0,1107.28,1.0
8,0.7041348196258655,BAE,25,25,1947.0,1947.0,3846.0,2648.8,1.0
8,0.7041348196258655,CABIQAE_latentt,25,25,1947.0,499.0,1947.0,1493.24,1.0
