profile,scenario_id,objective_ry_offset,a_true,t_eff,k,K,p_ideal,p_noisy,c_est
realistic,1,0.3,0.1974749920998408,15.644260992932557,0.0,1.0,0.1974749920998408,0.213,0.9486819023395155
realistic,1,0.3,0.1974749920998408,15.644260992932557,1.0,3.0,0.964574922419626,0.8861666666666667,0.8312258110175451
realistic,1,0.3,0.1974749920998408,15.644260992932557,2.0,5.0,0.5536717742830928,0.5384166666666667,0.7157703873182435
realistic,1,0.3,0.1974749920998408,15.644260992932557,3.0,7.0,0.006675366952976706,0.18066666666666667,0.647308713049597
realistic,1,0.3,0.1974749920998408,15.644260992932557,4.0,9.0,0.7105814693429753,0.6238333333333334,0.5880542752394099
realistic,1,0.3,0.1974749920998408,15.644260992932557,6.0,13.0,0.08558730174737766,0.32308333333333333,0.42690937660124456
realistic,1,0.3,0.1974749920998408,15.644260992932557,8.0,17.0,0.9993367401690385,0.66875,0.33794829505810786
realistic,1,0.3,0.1974749920998408,15.644260992932557,10.0,21.0,0.05901360932741068,0.38916666666666666,0.2513305074206284
realistic,1,0.3,0.1974749920998408,15.644260992932557,12.0,25.0,0.7561040805526652,0.55425,0.2118279407455363
realistic,2,0.44,0.2909901728992077,14.971156831763423,0.0,1.0,0.2909901728992077,0.2986666666666667,0.9632720916813299
realistic,2,0.44,0.2909901728992077,14.971156831763423,1.0,3.0,0.9809396119692535,0.9014166666666666,0.8346508723268343
realistic,2,0.44,0.2909901728992077,14.971156831763423,2.0,5.0,0.08328898405906178,0.19091666666666668,0.7417210525030629
realistic,2,0.44,0.2909901728992077,14.971156831763423,3.0,7.0,0.5612173693026925,0.53875,0.6329902843161805
realistic,2,0.44,0.2909901728992077,14.971156831763423,4.0,9.0,0.8370648753953034,0.6921666666666667,0.5701177449631832
realistic,2,0.44,0.2909901728992077,14.971156831763423,6.0,13.0,0.8131311794452498,0.6415833333333333,0.45215341884562715
realistic,2,0.44,0.2909901728992077,14.971156831763423,8.0,17.0,0.06671009869357794,0.34775,0.3513813720120123
realistic,2,0.44,0.2909901728992077,14.971156831763423,10.0,21.0,0.3200185504989862,0.45966666666666667,0.2240971691535696
realistic,2,0.44,0.2909901728992077,14.971156831763423,12.0,25.0,0.9885980940978794,0.5994166666666667,0.2034733001777753
realistic,3,0.48,0.32089792339123113,13.802495096824499,0.0,1.0,0.32089792339123113,0.33516666666666667,0.9203317820451394
realistic,3,0.48,0.32089792339123113,13.802495096824499,1.0,3.0,0.945383725725964,0.8680833333333333,0.8264409139183678
realistic,3,0.48,0.32089792339123113,13.802495096824499,2.0,5.0,0.016923752259517567,0.14325,0.7384962553399081
realistic,3,0.48,0.32089792339123113,13.802495096824499,3.0,7.0,0.7728343001804043,0.6819166666666666,0.6667661160872336
realistic,3,0.48,0.32089792339123113,13.802495096824499,4.0,9.0,0.5774373586589933,0.5434166666666667,0.5606682280817235
realistic,3,0.48,0.32089792339123113,13.802495096824499,6.0,13.0,0.9993731517254628,0.7214166666666667,0.44338920885437094
realistic,3,0.48,0.32089792339123113,13.802495096824499,8.0,17.0,0.5276570873199514,0.5101666666666667,0.36759715688978467
realistic,3,0.48,0.32089792339123113,13.802495096824499,10.0,21.0,0.006447357966029415,0.36833333333333335,0.26677329924536036
realistic,3,0.48,0.32089792339123113,13.802495096824499,12.0,25.0,0.3684734088896307,0.482,0.13685445542259578
realistic,4,0.52,0.35187875257062096,15.191477797923616,0.0,1.0,0.35187875257062096,0.36475,0.9131033011620039
realistic,4,0.52,0.35187875257062096,15.191477797923616,1.0,3.0,0.892367487246883,0.8246666666666667,0.8274555798309098
realistic,4,0.52,0.35187875257062096,15.191477797923616,2.0,5.0,0.0011223526058576226,0.13366666666666666,0.7343149873458025
realistic,4,0.52,0.35187875257062096,15.191477797923616,3.0,7.0,0.9302625649548831,0.7843333333333333,0.6608367924435821
realistic,4,0.52,0.35187875257062096,15.191477797923616,4.0,9.0,0.2893912269900554,0.3865,0.5389139226153732
realistic,4,0.52,0.35187875257062096,15.191477797923616,6.0,13.0,0.8474343228812243,0.6529166666666667,0.440131145934432
realistic,4,0.52,0.35187875257062096,15.191477797923616,8.0,17.0,0.9604398135457142,0.6615,0.35075159716605536
realistic,4,0.52,0.35187875257062096,15.191477797923616,10.0,21.0,0.48365604484143626,0.49866666666666665,nan
realistic,4,0.52,0.35187875257062096,15.191477797923616,12.0,25.0,0.027807670784945972,0.41225,0.18583529331336376
realistic,5,0.56,0.3837328499017336,17.50153908723329,0.0,1.0,0.3837328499017336,0.3909166666666667,0.9382128420722322
realistic,5,0.56,0.3837328499017336,17.50153908723329,1.0,3.0,0.8236541675635112,0.779,0.8620312295075002
realistic,5,0.56,0.3837328499017336,17.50153908723329,2.0,5.0,0.03896158748269182,0.16883333333333334,0.7183060189246901
realistic,5,0.56,0.3837328499017336,17.50153908723329,3.0,7.0,0.9987052110577374,0.8208333333333333,0.6433326266089266
realistic,5,0.56,0.3837328499017336,17.50153908723329,4.0,9.0,0.0714923435870876,0.25616666666666665,0.5690291169462189
realistic,5,0.56,0.3837328499017336,17.50153908723329,6.0,13.0,0.45470278131404823,0.48083333333333333,0.42313120369597684
realistic,5,0.56,0.3837328499017336,17.50153908723329,8.0,17.0,0.8749833016625329,0.634,0.35734924570212895
realistic,5,0.56,0.3837328499017336,17.50153908723329,10.0,21.0,0.9883871002703132,0.6326666666666667,0.27164244631612544
realistic,5,0.56,0.3837328499017336,17.50153908723329,12.0,25.0,0.70210741535518,0.5525,0.25976285881315847
realistic,6,0.6,0.4162549105700515,16.58004280080046,0.0,1.0,0.4162549105700515,0.4310833333333333,0.8229338237714154
realistic,6,0.6,0.4162549105700515,16.58004280080046,1.0,3.0,0.7418380777090888,0.7013333333333334,0.8325129575976893
realistic,6,0.6,0.4162549105700515,16.58004280080046,2.0,5.0,0.12720602970762773,0.228,0.7296255349481049
realistic,6,0.6,0.4162549105700515,16.58004280080046,3.0,7.0,0.9619179655066072,0.79225,0.6326881001033932
realistic,6,0.6,0.4162549105700515,16.58004280080046,4.0,9.0,0.0007907041445609648,0.221,0.5588838235111567
realistic,6,0.6,0.4162549105700515,16.58004280080046,6.0,13.0,0.09215836085394545,0.321,0.4388958429423565
realistic,6,0.6,0.4162549105700515,16.58004280080046,8.0,17.0,0.3614493238910146,0.45275,0.34103045417716094
realistic,6,0.6,0.4162549105700515,16.58004280080046,10.0,21.0,0.6911838317286214,0.5485,0.25368253979156563
realistic,6,0.6,0.4162549105700515,16.58004280080046,12.0,25.0,0.9375132720288142,0.5945833333333334,0.21618391802090106
realistic,7,0.63,0.4409589090481157,18.54096707276008,0.0,1.0,0.4409589090481157,0.45525,0.7579466991297491
realistic,7,0.63,0.4409589090481157,18.54096707276008,1.0,3.0,0.6738303382678438,0.6453333333333333,0.836064261172861
realistic,7,0.63,0.4409589090481157,18.54096707276008,2.0,5.0,0.22107555934095513,0.2970833333333333,0.7274969026995756
realistic,7,0.63,0.4409589090481157,18.54096707276008,3.0,7.0,0.8684619209888309,0.741,0.6540703021718908
realistic,7,0.63,0.4409589090481157,18.54096707276008,4.0,9.0,0.06255104895858567,0.2515833333333333,0.5678757854494169
realistic,7,0.63,0.4409589090481157,18.54096707276008,6.0,13.0,0.000258191264407617,0.28908333333333336,0.4220512732370971
realistic,7,0.63,0.4409589090481157,18.54096707276008,8.0,17.0,0.04790040155364808,0.34175,0.35003348939886003
realistic,7,0.63,0.4409589090481157,18.54096707276008,10.0,21.0,0.19499716861937447,0.41258333333333336,0.28660936120155484
realistic,7,0.63,0.4409589090481157,18.54096707276008,12.0,25.0,0.40918959671814814,0.47791666666666666,0.2431806548066131
realistic,8,0.67,0.47414407899537697,18.46264011770121,0.0,1.0,0.47414407899537697,0.48575,0.5511310155013271
realistic,8,0.67,0.47414407899537697,18.46264011770121,1.0,3.0,0.5772911962300442,0.5605,0.7827540903873702
realistic,8,0.67,0.47414407899537697,18.46264011770121,2.0,5.0,0.37210027061094153,0.4005,0.7779531706226736
realistic,8,0.67,0.47414407899537697,18.46264011770121,3.0,7.0,0.6771401884112689,0.6110833333333333,0.6270927807496149
realistic,8,0.67,0.47414407899537697,18.46264011770121,4.0,9.0,0.2755141252256801,0.364,0.6058287637773356
realistic,8,0.67,0.47414407899537697,18.46264011770121,6.0,13.0,0.18850711076153392,0.36591666666666667,0.4304539139276617
realistic,8,0.67,0.47414407899537697,18.46264011770121,8.0,17.0,0.11479194002702932,0.36533333333333334,0.3495946234253664
realistic,8,0.67,0.47414407899537697,18.46264011770121,10.0,21.0,0.05751414399175636,0.386,0.25763535365495643
realistic,8,0.67,0.47414407899537697,18.46264011770121,12.0,25.0,0.01911784751500444,0.4026666666666667,0.20240579283376567
