algorithm,query_cost_mean,query_cost_median,normalized_abs_error_median,normalized_abs_error_median_ci_low,normalized_abs_error_median_ci_high,n_points
BAE,400.0,400.0,0.040362783219429654,0.032275324260741,0.053020517213318,72
BAE,728.9824561403509,656.0,0.0602293589766461,0.04927929788021734,0.074822867255616,114
BAE,1284.2568807339449,1296.0,0.0148392645540029,0.0104077391351971,0.0180931119561766,109
BAE,2372.3636363636365,2320.0,0.011130885711924401,0.00787107580418315,0.0132563487204616,176
BAE,4339.779527559055,4368.0,0.0068260396712781,0.0061134577037133,0.0078146582781763,254
BAE,7777.8022988505745,7824.0,0.0049493978591167,0.004408635635182573,0.0055967199463439,435
BAE,13527.91848617176,13456.0,0.0039005383215869,0.0035704932176175,0.0040890406264927,687
BIQAE,128.0,128.0,0.046809363916304,0.0403832862899151,0.0571809790237665,200
BIQAE,256.0,256.0,0.0250671110513559,0.0156128838536344,0.034340525760897,81
BIQAE,491.921568627451,512.0,0.02786018149129705,0.0227527735073446,0.0383207468524469,102
BIQAE,706.3132530120482,640.0,0.0336703427038654,0.0282597359915406,0.03890886923051762,83
BIQAE,1339.076923076923,1408.0,0.02716188722450435,0.014541987645100575,0.040316898283855,52
BIQAE,2333.1929824561403,2432.0,0.0326936393823136,0.0260585531689521,0.041376533136610945,114
BIQAE,3559.2258064516127,3456.0,0.0206153885437777,0.0148034411686148,0.0374999156171721,31
BIQAE,6222.933333333333,6400.0,0.042217992309854055,0.024298182383728953,0.0486714040965666,60
BIQAE,10229.333333333334,10432.0,0.03098296138902185,0.023429729931602,0.04700320681449985,72
BIQAE,14739.692307692309,14592.0,0.0423580931344474,0.0184868950923515,0.05406310606968443,65
BIQAE,28915.2,28544.0,0.030112739037256,0.01983606676513125,0.056019002585769,40
BIQAE,42788.92307692308,41024.0,0.0406541910068861,0.0162487565124482,0.0539239017364439,52
CABIQAE,128.0,128.0,0.048951183364930304,0.04120921580183825,0.062942660013552,200
CABIQAE,302.0,256.0,0.0373332892130355,0.028343951696919903,0.04451849423728894,128
CABIQAE,526.5248226950355,512.0,0.0204607789671213,0.0166299904086469,0.0238764891812018,141
CABIQAE,1059.9669421487604,1024.0,0.0144235391726674,0.0118502203338353,0.0179426251322851,121
CABIQAE,1852.5761316872429,1920.0,0.0111158004425713,0.0088952477525436,0.0131479230174389,243
CABIQAE,3337.5614457831325,3200.0,0.0080334741762327,0.0074427703263963,0.0093525493273482,415
CABIQAE,5903.251063829787,5888.0,0.0064161304256352,0.0059342899954083,0.007134963427045623,705
CABIQAE,10464.753532182103,10496.0,0.0052717126693076,0.004974310137447956,0.0055482717585033,1274
CABIQAE,18578.114339268977,18560.0,0.00421281234104225,0.0039909732003587765,0.00446839527579016,2134
CABIQAE,29537.84109589041,28288.0,0.0032434292371506003,0.003020976833349029,0.0034455986359129,1460
CABIQAE,50536.34782608696,48384.0,0.0023110001321236,0.0019975179029426485,0.0028537307065007,184
CABIQAE,107520.0,107520.0,0.0009740815310358,0.0008862003354644,0.0011033485181844,19
