profile,scenario_id,objective_ry_offset,a_true,t_eff,k,K,p_ideal,p_noisy,c_est
realistic,1,0.3,0.3602728053304129,17.203979288835466,0.0,1.0,0.3602728053304129,0.3739166666666667,0.9023535728422988
realistic,1,0.3,0.3602728053304129,17.203979288835466,1.0,3.0,0.875533739467591,0.8163333333333334,0.8423566249514932
realistic,1,0.3,0.3602728053304129,17.203979288835466,2.0,5.0,0.0059685783291602915,0.13575,0.737301280894417
realistic,1,0.3,0.3602728053304129,17.203979288835466,3.0,7.0,0.9582040510986927,0.7853333333333333,0.6227211056933133
realistic,1,0.3,0.3602728053304129,17.203979288835466,4.0,9.0,0.2207566532370246,0.3505,0.5353753338549446
realistic,1,0.3,0.3602728053304129,17.203979288835466,6.0,13.0,0.7572150349943744,0.6151666666666666,0.44774469217627766
realistic,1,0.3,0.3602728053304129,17.203979288835466,8.0,17.0,0.9973783028589261,0.664,0.3297288986216919
realistic,1,0.3,0.3602728053304129,17.203979288835466,10.0,21.0,0.6645938777683754,0.5516666666666666,0.313903939606882
realistic,1,0.3,0.3602728053304129,17.203979288835466,12.0,25.0,0.1422079320649065,0.42133333333333334,0.219866994594574
realistic,2,0.44,0.49216902723816036,17.113486568697386,0.0,1.0,0.49216902723816036,0.4845833333333333,nan
realistic,2,0.44,0.49216902723816036,17.113486568697386,1.0,3.0,0.5234852346435013,0.5214166666666666,0.9119204892676243
realistic,2,0.44,0.49216902723816036,17.113486568697386,2.0,5.0,0.46088354686180766,0.469,0.7925053912859086
realistic,2,0.44,0.49216902723816036,17.113486568697386,3.0,7.0,0.5547092911108147,0.5274166666666666,0.5011336485997173
realistic,2,0.44,0.49216902723816036,17.113486568697386,4.0,9.0,0.42975155091529804,0.45858333333333334,0.5895741074187784
realistic,2,0.44,0.49216902723816036,17.113486568697386,6.0,13.0,0.3988951945600623,0.4544166666666667,0.45085229267774546
realistic,2,0.44,0.49216902723816036,17.113486568697386,8.0,17.0,0.36843555140789963,0.4505,0.3762414583096741
realistic,2,0.44,0.49216902723816036,17.113486568697386,10.0,21.0,0.3384921384545336,0.45966666666666667,0.2497298456396131
realistic,2,0.44,0.49216902723816036,17.113486568697386,12.0,25.0,0.3091824471209902,0.45208333333333334,0.25111246813362503
realistic,3,0.48,0.530324472540106,15.598374479853476,0.0,1.0,0.530324472540106,0.5348333333333334,1.0
realistic,3,0.48,0.530324472540106,15.598374479853476,1.0,3.0,0.4094727517466918,0.42291666666666666,0.8514931672024663
realistic,3,0.48,0.530324472540106,15.598374479853476,2.0,5.0,0.6493980804348607,0.6036666666666667,0.6938955732558194
