profile,scenario_id,objective_ry_offset,a_true,rep,algorithm,final_queries,final_estimate,final_abs_error,final_normalized_abs_error,coverage,runtime_seconds,k_max
realistic,1,0.3,0.3602728053304129,1,CABIQAE_latentt,34944,0.35843915971318924,0.001833645617223656,0.005089603184292485,1.0,5.78783809999004,9
realistic,1,0.3,0.3602728053304129,1,BIQAE,12800,0.3818230231862259,0.021550217855813014,0.05981638785100338,0.0,2.317785899998853,79
realistic,1,0.3,0.3602728053304129,1,BAE,15760,0.3605549072299947,0.0002821018995818325,0.0007830230186902718,1.0,48.019858500003465,23
realistic,1,0.3,0.3602728053304129,2,CABIQAE_latentt,33920,0.359463019511281,0.0008097858191318807,0.002247701761417188,1.0,5.790979500001413,9
realistic,1,0.3,0.3602728053304129,2,BIQAE,14720,0.3848158099619351,0.024543004631522203,0.06812338946597248,0.0,2.6575872999965213,95
realistic,1,0.3,0.3602728053304129,2,BAE,17936,0.35789953121261,0.002373274117802915,0.00658743619470901,1.0,61.094462599998224,23
realistic,1,0.3,0.3602728053304129,3,CABIQAE_latentt,31360,0.359544849860881,0.0007279554695319157,0.002020567355519088,1.0,4.820915699994657,11
realistic,1,0.3,0.3602728053304129,3,BIQAE,33152,0.33352330347979076,0.026749501850622137,0.07424790729372335,0.0,5.4967800000013085,213
realistic,1,0.3,0.3602728053304129,3,BAE,16016,0.36312539128632293,0.0028525859559100364,0.007917849789672237,1.0,65.3186096999998,23
realistic,1,0.3,0.3602728053304129,4,CABIQAE_latentt,36224,0.3601811754206969,9.162990971600671e-05,0.0002543347939680632,1.0,6.1456469999975525,9
realistic,1,0.3,0.3602728053304129,4,BIQAE,12928,0.36959214366707044,0.009319338336657546,0.02586744877429926,0.0,2.29903860000195,83
realistic,1,0.3,0.3602728053304129,4,BAE,16656,0.36049621454593994,0.0002234092155270484,0.0006201112385436798,1.0,55.901801500003785,23
realistic,1,0.3,0.3602728053304129,5,CABIQAE_latentt,40448,0.3628212390823635,0.0025484337519506295,0.007073622305778571,1.0,5.905280399994808,13
realistic,1,0.3,0.3602728053304129,5,BIQAE,10240,0.3758376086600024,0.015564803329589483,0.04320282602322624,0.0,1.758567500000936,63
realistic,1,0.3,0.3602728053304129,5,BAE,15120,0.35945319085771876,0.0008196144726941301,0.0022749829034207744,1.0,51.89670290000504,23
realistic,1,0.3,0.3602728053304129,6,CABIQAE_latentt,29184,0.35557049021957504,0.004702315110837851,0.01305209563770785,0.0,4.945827299990924,9
realistic,1,0.3,0.3602728053304129,6,BIQAE,14464,0.3831006959023209,0.022827890571907983,0.06336279129081669,0.0,2.5175380000000587,93
realistic,1,0.3,0.3602728053304129,6,BAE,16144,0.3595225264214541,0.0007502789089587902,0.002082529954684466,1.0,54.824179100003676,23
realistic,1,0.3,0.3602728053304129,7,CABIQAE_latentt,22528,0.3568705092899605,0.0034022960404523905,0.009443665994529012,0.0,4.0178022000036435,9
realistic,1,0.3,0.3602728053304129,7,BIQAE,12800,0.38504517750410827,0.02477237217369538,0.06876003907920882,0.0,2.8250941000005696,81
realistic,1,0.3,0.3602728053304129,7,BAE,15376,0.36120742180353327,0.0009346164731203754,0.002594191011067908,1.0,55.11403810000047,23
realistic,1,0.3,0.3602728053304129,8,CABIQAE_latentt,36096,0.3574442737787298,0.002828531551683111,0.007851082595837375,1.0,6.128024399993592,9
realistic,1,0.3,0.3602728053304129,8,BIQAE,13056,0.38673688387461247,0.026464078544199576,0.07345566513111884,0.0,2.4356390000029933,83
realistic,1,0.3,0.3602728053304129,8,BAE,16400,0.3579487853882433,0.002324019942169575,0.006450722640689389,1.0,59.256507500002044,23
realistic,1,0.3,0.3602728053304129,9,CABIQAE_latentt,35712,0.3623050601638399,0.002032254833427005,0.005640877699784158,1.0,5.587346100001014,11
realistic,1,0.3,0.3602728053304129,9,BIQAE,13056,0.3865882062935333,0.026315400963120406,0.07304298457660734,0.0,2.263742099996307,83
realistic,1,0.3,0.3602728053304129,9,BAE,17552,0.3616677876576934,0.001394982327280525,0.003872016723552478,1.0,59.509258299993235,23
realistic,1,0.3,0.3602728053304129,10,CABIQAE_latentt,31616,0.35668470403252794,0.003588101297884949,0.009959400889540454,0.0,5.381526800003485,9
realistic,1,0.3,0.3602728053304129,10,BIQAE,11392,0.3691365594714875,0.008863754141074598,0.024602895389080184,0.0,2.188532899992424,71
realistic,1,0.3,0.3602728053304129,10,BAE,15888,0.35919874190945067,0.0010740634209622235,0.002981250333277806,1.0,53.935611000008066,21
realistic,1,0.3,0.3602728053304129,11,CABIQAE_latentt,31488,0.3619662558195081,0.001693450489095194,0.004700467157220205,1.0,5.086534899994149,11
realistic,1,0.3,0.3602728053304129,11,BIQAE,11904,0.3753526117280067,0.01507980639759382,0.04185663245873873,0.0,2.1502719999989495,75
realistic,1,0.3,0.3602728053304129,11,BAE,16912,0.3562907302560379,0.00398207507437498,0.01105294381218406,1.0,50.185943799995584,21
realistic,1,0.3,0.3602728053304129,12,CABIQAE_latentt,57728,0.35866184979344207,0.0016109555369708262,0.0044714880311140575,1.0,7.764635100000305,21
realistic,1,0.3,0.3602728053304129,12,BIQAE,13184,0.38743364126669516,0.027160835936282268,0.07538963678197293,0.0,2.3832553000102052,83
realistic,1,0.3,0.3602728053304129,12,BAE,16144,0.3605086553599807,0.00023585002956783008,0.0006546428874961229,1.0,50.54730710000149,23
realistic,1,0.3,0.3602728053304129,13,CABIQAE_latentt,30336,0.3575585084026348,0.0027142969277780815,0.007534004475549436,1.0,5.206374000001233,9
realistic,1,0.3,0.3602728053304129,13,BIQAE,14592,0.39950606606198746,0.03923326073157457,0.10889875713931008,0.0,2.5042751000000862,93
realistic,1,0.3,0.3602728053304129,13,BAE,17040,0.35694795140196484,0.003324853928448057,0.009228711907352463,1.0,62.36290269999881,21
realistic,1,0.3,0.3602728053304129,14,CABIQAE_latentt,36224,0.35562529238059465,0.004647512949818244,0.012899982682722676,0.0,6.155965300000389,9
realistic,1,0.3,0.3602728053304129,14,BIQAE,13056,0.3870485434825723,0.02677573815215939,0.07432073072404913,0.0,2.2613580000033835,83
realistic,1,0.3,0.3602728053304129,14,BAE,17040,0.3618713103850586,0.0015985050546457047,0.004436929546152355,1.0,61.63482049999584,23
realistic,1,0.3,0.3602728053304129,15,CABIQAE_latentt,39552,0.361770939340817,0.0014981340104041063,0.004158332208921902,1.0,6.6338605000055395,9
realistic,1,0.3,0.3602728053304129,15,BIQAE,16128,0.396251978790666,0.03597917346025309,0.09986647042997297,0.0,2.811831599989091,105
realistic,1,0.3,0.3602728053304129,15,BAE,17936,0.3648371043186406,0.0045642989882276885,0.012669007820453406,1.0,53.66652910000994,23
realistic,1,0.3,0.3602728053304129,16,CABIQAE_latentt,34560,0.36411301534675,0.003840210016337109,0.010659172603425287,0.0,5.536965000006603,11
realistic,1,0.3,0.3602728053304129,16,BIQAE,14208,0.3805964396111213,0.02032363428070838,0.05641179123156186,0.0,2.4590128999989247,91
realistic,1,0.3,0.3602728053304129,16,BAE,16144,0.3681312200282285,0.007858414697815619,0.021812400440850706,0.0,61.705074099998455,23
realistic,1,0.3,0.3602728053304129,17,CABIQAE_latentt,31488,0.3602169581021058,5.584722830709321e-05,0.0001550137214932853,1.0,5.47775360000378,9
realistic,1,0.3,0.3602728053304129,17,BIQAE,13184,0.3876178287100581,0.027345023379645228,0.07590088115189987,0.0,2.375948500004597,83
realistic,1,0.3,0.3602728053304129,17,BAE,15248,0.35996204640473717,0.00031075892567572483,0.0008625655921787437,1.0,61.025167100000544,21
realistic,1,0.3,0.3602728053304129,18,CABIQAE_latentt,32896,0.36089995467054803,0.0006271493401351358,0.0017407623635649254,1.0,5.21716970000125,11
realistic,1,0.3,0.3602728053304129,18,BIQAE,46080,0.3489950056600939,0.011277799670319,0.03130349974646551,0.0,7.758928600000218,297
realistic,1,0.3,0.3602728053304129,18,BAE,17552,0.36341402124765154,0.003141215917238649,0.00871899258218444,1.0,68.5182383999927,23
realistic,1,0.3,0.3602728053304129,19,CABIQAE_latentt,23808,0.3586623842056811,0.001610421124731809,0.004470004676747283,1.0,3.7268399000022328,13
realistic,1,0.3,0.3602728053304129,19,BIQAE,11648,0.3714026224356647,0.011129817105251794,0.03089274833010066,0.0,1.9990056000096956,73
realistic,1,0.3,0.3602728053304129,19,BAE,15632,0.36425999813214877,0.003987192801735873,0.011067148956966496,1.0,50.49365210000542,23
realistic,1,0.3,0.3602728053304129,20,CABIQAE_latentt,32384,0.3647649467182612,0.004492141387848314,0.012468721816870101,0.0,4.973691200008034,13
realistic,1,0.3,0.3602728053304129,20,BIQAE,11648,0.37322315826627794,0.01295035293586505,0.03594596301541006,0.0,2.0144732000044314,73
realistic,1,0.3,0.3602728053304129,20,BAE,17168,0.36165274816633375,0.0013799428359208554,0.0038302719925121303,1.0,58.24162709999655,23
realistic,1,0.3,0.3602728053304129,21,CABIQAE_latentt,31616,0.35753177910567596,0.002741026224736931,0.007608196300642467,1.0,5.012149999995017,11
realistic,1,0.3,0.3602728053304129,21,BIQAE,11520,0.3731731218792752,0.012900316548862312,0.035807078297323026,0.0,2.1575372999941465,73
realistic,1,0.3,0.3602728053304129,21,BAE,16400,0.35923408166828397,0.0010387236621289264,0.0028831586696539406,1.0,51.17659940000158,23
realistic,1,0.3,0.3602728053304129,22,CABIQAE_latentt,57600,0.36130010306824295,0.0010272977378300574,0.002851444024169139,1.0,7.682879100000719,21
realistic,1,0.3,0.3602728053304129,22,BIQAE,12928,0.38558146973261365,0.025308664402200753,0.07024861168466409,0.0,2.3011561000021175,81
realistic,1,0.3,0.3602728053304129,22,BAE,15632,0.36121726991529385,0.0009444645848809552,0.00262152616269432,1.0,51.80372830000124,23
realistic,1,0.3,0.3602728053304129,23,CABIQAE_latentt,35456,0.3585913282074522,0.001681477122960684,0.004667232991450936,1.0,5.282261100001051,13
realistic,1,0.3,0.3602728053304129,23,BIQAE,14336,0.38269848487363234,0.022425679543219446,0.06224638443818272,0.0,2.5161093000060646,93
realistic,1,0.3,0.3602728053304129,23,BAE,17552,0.3614724087404714,0.0011996034100584807,0.003329708466222706,1.0,57.84904899999674,23
realistic,1,0.3,0.3602728053304129,24,CABIQAE_latentt,28672,0.3575656794311135,0.0027071258992993896,0.007514100035434632,1.0,4.540624499990372,11
realistic,1,0.3,0.3602728053304129,24,BIQAE,11264,0.36865334630377344,0.00838054097336055,0.023261652973431066,0.0,1.9878629000013461,71
realistic,1,0.3,0.3602728053304129,24,BAE,15504,0.3560067029943178,0.00426610233609509,0.011841311009257467,1.0,46.10746060000383,25
realistic,1,0.3,0.3602728053304129,25,CABIQAE_latentt,34304,0.3588556978456191,0.0014171074847937892,0.00393342895668779,1.0,5.4379011999990325,11
realistic,1,0.3,0.3602728053304129,25,BIQAE,16384,0.397884668985904,0.03761186365549113,0.10439828679546487,0.0,2.802187799999956,107
realistic,1,0.3,0.3602728053304129,25,BAE,15888,0.36203863148649745,0.00176582615608456,0.00490135844270868,1.0,58.63019840000197,23
realistic,2,0.44,0.49216902723816036,1,CABIQAE_latentt,27392,0.49094316761847046,0.0012258596196899063,0.0024907288997215045,1.0,5.118349900003523,7
realistic,2,0.44,0.49216902723816036,1,BIQAE,11776,0.4988555173275633,0.006686490089402919,0.013585759605647289,0.0,2.0532946000021184,69
realistic,2,0.44,0.49216902723816036,1,BAE,16144,0.49547462492885586,0.0033055976906954943,0.006716387069794047,1.0,51.18263460000162,23
realistic,2,0.44,0.49216902723816036,2,CABIQAE_latentt,21120,0.488151646633746,0.004017380604414367,0.0081626034595435,0.0,3.877880100000766,7
