profile,scenario_id,objective_ry_offset,a_true,rep,budget,algorithm,estimate,abs_error,normalized_abs_error,k_max_budget,time_to_budget_seconds
realistic,1,0.3,0.3602728053304129,1,128,CABIQAE_latentt,0.34818829953505687,0.012084505795356026,0.03354265327984748,1,0.016487100752441673
realistic,1,0.3,0.3602728053304129,1,128,BIQAE,0.37272817256887725,0.012455367238464354,0.034572043890577046,1,0.01353049649154408
realistic,1,0.3,0.3602728053304129,1,128,BAE,0.30098491903647184,0.05928788629394105,0.16456386776006318,1,0.29468287675059995
realistic,1,0.3,0.3602728053304129,1,253,CABIQAE_latentt,0.34818829953505687,0.012084505795356026,0.03354265327984748,1,0.032587785080997994
realistic,1,0.3,0.3602728053304129,1,253,BIQAE,0.37272817256887725,0.012455367238464354,0.034572043890577046,1,0.026743871971567596
realistic,1,0.3,0.3602728053304129,1,253,BAE,0.30098491903647184,0.05928788629394105,0.16456386776006318,1,0.5824591235773577
realistic,1,0.3,0.3602728053304129,1,499,CABIQAE_latentt,0.36440444018097107,0.004131634850558175,0.011468073053054825,1,0.06427393183959684
realistic,1,0.3,0.3602728053304129,1,499,BIQAE,0.37272817256887725,0.012455367238464354,0.034572043890577046,1,0.05274779491625387
realistic,1,0.3,0.3602728053304129,1,499,BAE,0.30098491903647184,0.05928788629394105,0.16456386776006318,1,1.148802777332417
realistic,1,0.3,0.3602728053304129,1,986,CABIQAE_latentt,0.3530990705742145,0.007173734756198369,0.019911951859977895,3,0.12700219798365228
realistic,1,0.3,0.3602728053304129,1,986,BIQAE,0.40804184981711333,0.04776904448670044,0.13259131352667755,3,0.1042271057864255
realistic,1,0.3,0.3602728053304129,1,986,BAE,0.34656938360949063,0.01370342172092226,0.038036236757738616,5,2.2699790349694653
realistic,1,0.3,0.3602728053304129,1,1947,CABIQAE_latentt,0.36570718425973253,0.005434378929319639,0.015084066432201755,9,0.2507842591015933
realistic,1,0.3,0.3602728053304129,1,1947,BIQAE,0.40804184981711333,0.04776904448670044,0.13259131352667755,3,0.20581153647684625
realistic,1,0.3,0.3602728053304129,1,1947,BAE,0.34656938360949063,0.01370342172092226,0.038036236757738616,5,4.482402820573578
realistic,1,0.3,0.3602728053304129,1,3846,CABIQAE_latentt,0.357932617284622,0.002340188045790892,0.006495600031883234,9,0.4953858554210209
realistic,1,0.3,0.3602728053304129,1,3846,BIQAE,0.3983534333964671,0.03808062806605422,0.10569942416588943,17,0.4065491367693635
realistic,1,0.3,0.3602728053304129,1,3846,BAE,0.3534108669632017,0.006861938367211218,0.019046506607452666,11,8.854299562365682
realistic,1,0.3,0.3602728053304129,1,7595,CABIQAE_latentt,0.3589031019248745,0.0013697034055383805,0.003801850667807691,9,0.9782775798030823
realistic,1,0.3,0.3602728053304129,1,7595,BIQAE,0.3983534333964671,0.03808062806605422,0.10569942416588943,17,0.8028446941662288
realistic,1,0.3,0.3602728053304129,1,7595,BAE,0.35536267277325273,0.004910132557160163,0.01362892920173919,21,17.4852847571938
realistic,1,0.3,0.3602728053304129,2,128,CABIQAE_latentt,0.3322070220860555,0.02806578324435738,0.07790147585138359,1,0.01624912274544876
