K,backend,calib_id,calib_uuid,isa_cregs,isa_depth,isa_num_qubits,isa_size,job_id,k,logical_depth,logical_num_qubits,logical_size,objective_ry_offset,rep,shots,submitted_at_epoch
1,ibm_basquecountry,20260420_082820,454097d2-0717-4f53-81a1-51dd12c5bde9,c0,148,156,233,d7isf2tpv4fs739rm130,0,14,5,32,-0.1,1,256,1776666507.5572567
1,ibm_basquecountry,20260420_082820,454097d2-0717-4f53-81a1-51dd12c5bde9,c0,148,156,233,d7isf2pj03fc7392hnbg,0,14,5,32,-0.1,2,256,1776666507.9736965
1,ibm_basquecountry,20260420_082820,454097d2-0717-4f53-81a1-51dd12c5bde9,c0,148,156,233,d7isf35pv4fs739rm140,0,14,5,32,-0.1,3,256,1776666508.3811467
1,ibm_basquecountry,20260420_082820,454097d2-0717-4f53-81a1-51dd12c5bde9,c0,148,156,233,d7isf36480ds73dcki5g,0,14,5,32,-0.1,4,256,1776666508.726139
1,ibm_basquecountry,20260420_082820,454097d2-0717-4f53-81a1-51dd12c5bde9,c0,148,156,233,d7isf33dhnvs738ciqig,0,14,5,32,-0.1,5,256,1776666509.1101642
1,ibm_basquecountry,20260420_082820,454097d2-0717-4f53-81a1-51dd12c5bde9,c0,148,156,233,d7isf3e480ds73dcki6g,0,14,5,32,-0.1,6,256,1776666509.4538672
3,ibm_basquecountry,20260420_082820,454097d2-0717-4f53-81a1-51dd12c5bde9,c0,830,156,1267,d7isf39j03fc7392hncg,1,15,5,33,-0.1,1,256,1776666509.8380013
3,ibm_basquecountry,20260420_082820,454097d2-0717-4f53-81a1-51dd12c5bde9,c0,830,156,1267,d7isf3lpv4fs739rm14g,1,15,5,33,-0.1,2,256,1776666510.1900105
3,ibm_basquecountry,20260420_082820,454097d2-0717-4f53-81a1-51dd12c5bde9,c0,830,156,1267,d7isf3jdhnvs738ciqk0,1,15,5,33,-0.1,3,256,1776666510.5722744
3,ibm_basquecountry,20260420_082820,454097d2-0717-4f53-81a1-51dd12c5bde9,c0,830,156,1267,d7isf3jdhnvs738ciql0,1,15,5,33,-0.1,4,256,1776666510.959154
3,ibm_basquecountry,20260420_082820,454097d2-0717-4f53-81a1-51dd12c5bde9,c0,830,156,1267,d7isf3rdhnvs738ciqm0,1,15,5,33,-0.1,5,256,1776666511.3536627
3,ibm_basquecountry,20260420_082820,454097d2-0717-4f53-81a1-51dd12c5bde9,c0,830,156,1267,d7isf3u480ds73dcki7g,1,15,5,33,-0.1,6,256,1776666511.7129405
5,ibm_basquecountry,20260420_082820,454097d2-0717-4f53-81a1-51dd12c5bde9,c0,1541,156,2337,d7isf3pj03fc7392hneg,2,16,5,34,-0.1,1,256,1776666512.1031902
5,ibm_basquecountry,20260420_082820,454097d2-0717-4f53-81a1-51dd12c5bde9,c0,1541,156,2337,d7isf43dhnvs738ciqn0,2,16,5,34,-0.1,2,256,1776666512.5717285
5,ibm_basquecountry,20260420_082820,454097d2-0717-4f53-81a1-51dd12c5bde9,c0,1541,156,2337,d7isf46480ds73dcki8g,2,16,5,34,-0.1,3,256,1776666513.0032644
5,ibm_basquecountry,20260420_082820,454097d2-0717-4f53-81a1-51dd12c5bde9,c0,1541,156,2337,d7isf4bdhnvs738ciqng,2,16,5,34,-0.1,4,256,1776666513.4950218
5,ibm_basquecountry,20260420_082820,454097d2-0717-4f53-81a1-51dd12c5bde9,c0,1541,156,2337,d7isf4e480ds73dckiag,2,16,5,34,-0.1,5,256,1776666513.9534285
5,ibm_basquecountry,20260420_082820,454097d2-0717-4f53-81a1-51dd12c5bde9,c0,1541,156,2337,d7isf4hj03fc7392hnfg,2,16,5,34,-0.1,6,256,1776666514.4213338
