K,backend,c_est,calib_id,calib_uuid,denom,job_id,k,objective_ry_offset,p_ideal,p_noisy,pub_index,rep,shots
1,ibm_basquecountry,0.33536182885778426,20260420_102444,155b9e08-7162-4ee5-a785-54358c9a40f4,-0.13977440473667657,d7ism9tpv4fs739rm7qg,0,-0.1,0.36022559526332343,0.453125,0,1,256
1,ibm_basquecountry,0.5309895623581584,20260420_102444,155b9e08-7162-4ee5-a785-54358c9a40f4,-0.13977440473667657,d7ism9tpv4fs739rm7qg,0,-0.1,0.36022559526332343,0.42578125,1,2,256
1,ibm_basquecountry,0.44714910514371237,20260420_102444,155b9e08-7162-4ee5-a785-54358c9a40f4,-0.13977440473667657,d7ism9tpv4fs739rm7qg,0,-0.1,0.36022559526332343,0.4375,2,3,256
1,ibm_basquecountry,0.16768091442889213,20260420_102444,155b9e08-7162-4ee5-a785-54358c9a40f4,-0.13977440473667657,d7ism9tpv4fs739rm7qg,0,-0.1,0.36022559526332343,0.4765625,3,4,256
1,ibm_basquecountry,0.22357455257185618,20260420_102444,155b9e08-7162-4ee5-a785-54358c9a40f4,-0.13977440473667657,d7ism9tpv4fs739rm7qg,0,-0.1,0.36022559526332343,0.46875,4,5,256
1,ibm_basquecountry,0.30741500978630226,20260420_102444,155b9e08-7162-4ee5-a785-54358c9a40f4,-0.13977440473667657,d7ism9tpv4fs739rm7qg,0,-0.1,0.36022559526332343,0.45703125,5,6,256
3,ibm_basquecountry,1e-06,20260420_102444,155b9e08-7162-4ee5-a785-54358c9a40f4,0.37563111241500224,d7ism9tpv4fs739rm7qg,1,-0.1,0.8756311124150022,0.48046875,6,1,256
3,ibm_basquecountry,1e-06,20260420_102444,155b9e08-7162-4ee5-a785-54358c9a40f4,0.37563111241500224,d7ism9tpv4fs739rm7qg,1,-0.1,0.8756311124150022,0.4921875,7,2,256
3,ibm_basquecountry,1e-06,20260420_102444,155b9e08-7162-4ee5-a785-54358c9a40f4,0.37563111241500224,d7ism9tpv4fs739rm7qg,1,-0.1,0.8756311124150022,0.48828125,8,3,256
3,ibm_basquecountry,1e-06,20260420_102444,155b9e08-7162-4ee5-a785-54358c9a40f4,0.37563111241500224,d7ism9tpv4fs739rm7qg,1,-0.1,0.8756311124150022,0.4375,9,4,256
3,ibm_basquecountry,1e-06,20260420_102444,155b9e08-7162-4ee5-a785-54358c9a40f4,0.37563111241500224,d7ism9tpv4fs739rm7qg,1,-0.1,0.8756311124150022,0.49609375,10,5,256
3,ibm_basquecountry,0.16638664352954122,20260420_102444,155b9e08-7162-4ee5-a785-54358c9a40f4,0.37563111241500224,d7ism9tpv4fs739rm7qg,1,-0.1,0.8756311124150022,0.5625,11,6,256
