profile,scenario_id,objective_ry_offset,a_true,rep,budget,algorithm,estimate,abs_error,nrmse,k_max_budget,time_to_budget_seconds
realistic,1,-0.5012253030340587,0.15841401426663826,1,300,BIQAE,0.1763991396077946,0.017985125341156344,0.11353241330583454,1,0.008139233392808514
realistic,1,-0.5012253030340587,0.15841401426663826,1,300,CABIQAE_latentt,0.15676772117037205,0.0016462930962662103,0.010392345045276193,1,0.010557293736868463
realistic,1,-0.5012253030340587,0.15841401426663826,1,525,BIQAE,0.17640612797582733,0.017992113709189073,0.11357652788790028,5,0.0142436584374149
realistic,1,-0.5012253030340587,0.15841401426663826,1,525,CABIQAE_latentt,0.1676488695064693,0.00923485523983103,0.05829569613889821,3,0.018475264039519813
realistic,1,-0.5012253030340587,0.15841401426663826,1,917,BIQAE,0.17640612797582733,0.017992113709189073,0.11357652788790028,5,0.024878923404018025
realistic,1,-0.5012253030340587,0.15841401426663826,1,917,CABIQAE_latentt,0.1676488695064693,0.00923485523983103,0.05829569613889821,3,0.0322701278556946
realistic,1,-0.5012253030340587,0.15841401426663826,1,1604,BIQAE,0.15947383415753152,0.0010598198908932654,0.006690190232219006,13,0.04351776787354952
realistic,1,-0.5012253030340587,0.15841401426663826,1,1604,CABIQAE_latentt,0.15321291343822285,0.005201100828415406,0.03283232769836292,13,0.05644633051312338
realistic,1,-0.5012253030340587,0.15841401426663826,1,2805,BIQAE,0.15947383415753152,0.0010598198908932654,0.006690190232219006,13,0.07610183222275961
realistic,1,-0.5012253030340587,0.15841401426663826,1,2805,CABIQAE_latentt,0.15321291343822285,0.005201100828415406,0.03283232769836292,13,0.09871069643972014
realistic,1,-0.5012253030340587,0.15841401426663826,1,4905,BIQAE,0.15850199881722643,8.798455058817156e-05,0.0005554088821969899,37,0.1330764659724192
realistic,1,-0.5012253030340587,0.15841401426663826,1,4905,CABIQAE_latentt,0.15838651418594954,2.750008068871934e-05,0.00017359626177032504,33,0.17261175259779937
realistic,1,-0.5012253030340587,0.15841401426663826,2,300,BIQAE,0.12629914117361796,0.0321148730930203,0.20272747484932363,1,0.0083500703446268
realistic,1,-0.5012253030340587,0.15841401426663826,2,300,CABIQAE_latentt,0.15929688107787562,0.000882866811237365,0.00557316103202427,3,0.008396508119871993
realistic,1,-0.5012253030340587,0.15841401426663826,2,525,BIQAE,0.16352844975424038,0.005114435487602126,0.0322852464239284,3,0.014612623103096902
realistic,1,-0.5012253030340587,0.15841401426663826,2,525,CABIQAE_latentt,0.15929688107787562,0.000882866811237365,0.00557316103202427,3,0.014693889209775988
realistic,1,-0.5012253030340587,0.15841401426663826,2,917,BIQAE,0.1656031772809629,0.007189163014324651,0.045382115007981824,9,0.025523381686742588
realistic,1,-0.5012253030340587,0.15841401426663826,2,917,CABIQAE_latentt,0.15598584247949088,0.002428171787147382,0.015328011214085818,9,0.025665326486408725
realistic,1,-0.5012253030340587,0.15841401426663826,2,1604,BIQAE,0.1656031772809629,0.007189163014324651,0.045382115007981824,9,0.04464504277593796
realistic,1,-0.5012253030340587,0.15841401426663826,2,1604,CABIQAE_latentt,0.15598584247949088,0.002428171787147382,0.015328011214085818,9,0.04489333008091559
realistic,1,-0.5012253030340587,0.15841401426663826,2,2805,BIQAE,0.16137343899914097,0.0029594247325027134,0.018681584114909736,25,0.0780731577222606
realistic,1,-0.5012253030340587,0.15841401426663826,2,2805,CABIQAE_latentt,0.15842409579103997,1.0081524401711617e-05,6.364035687362018e-05,25,0.07850735092080315
realistic,1,-0.5012253030340587,0.15841401426663826,2,4905,BAE,0.5259498486353364,0.3675358343686982,2.3200967166331106,45,2.4559401178099125
realistic,1,-0.5012253030340587,0.15841401426663826,2,4905,BIQAE,0.16137343899914097,0.0029594247325027134,0.018681584114909736,25,0.1365236501346482
realistic,1,-0.5012253030340587,0.15841401426663826,2,4905,CABIQAE_latentt,0.16049234280060265,0.002078328533964391,0.013119600204475619,25,0.1372829077599071
realistic,1,-0.5012253030340587,0.15841401426663826,3,300,BIQAE,0.2309774755695437,0.07256346130290545,0.4580621331946589,1,0.009246101432289967
realistic,1,-0.5012253030340587,0.15841401426663826,3,300,CABIQAE_latentt,0.1591223369697653,0.00070832270312704,0.0044713386401206276,1,0.011701100190533652
realistic,1,-0.5012253030340587,0.15841401426663826,3,525,BIQAE,0.16811288293458432,0.009698868667946059,0.06122481469108649,5,0.016180677506507445
realistic,1,-0.5012253030340587,0.15841401426663826,3,525,CABIQAE_latentt,0.17780071702839279,0.019386702761754526,0.12237997282944515,3,0.02047692533343389
realistic,1,-0.5012253030340587,0.15841401426663826,3,917,BIQAE,0.16811288293458432,0.009698868667946059,0.06122481469108649,5,0.02826225004469967
realistic,1,-0.5012253030340587,0.15841401426663826,3,917,CABIQAE_latentt,0.15971470863290135,0.0013006943662630943,0.008210727897304591,9,0.035766362915731195
realistic,1,-0.5012253030340587,0.15841401426663826,3,1604,BIQAE,0.15919160334833046,0.0007775890816922038,0.004908587698455684,17,0.04943582232464369
realistic,1,-0.5012253030340587,0.15841401426663826,3,1604,CABIQAE_latentt,0.15971470863290135,0.0013006943662630943,0.008210727897304591,9,0.06256188235205326
realistic,1,-0.5012253030340587,0.15841401426663826,3,2805,BIQAE,0.15919160334833046,0.0007775890816922038,0.004908587698455684,17,0.0864510483919112
realistic,1,-0.5012253030340587,0.15841401426663826,3,2805,CABIQAE_latentt,0.15729060875666573,0.0011234055099725304,0.007091579082653913,21,0.10940528678148964
realistic,1,-0.5012253030340587,0.15841401426663826,3,4905,BAE,0.4719795656243214,0.31356555135768316,1.9794053752712684,57,1.7384375863408164
realistic,1,-0.5012253030340587,0.15841401426663826,3,4905,BIQAE,0.15919160334833046,0.0007775890816922038,0.004908587698455684,17,0.15117375841794098
realistic,1,-0.5012253030340587,0.15841401426663826,3,4905,CABIQAE_latentt,0.1583500002091497,6.401405748857059e-05,0.00040409339909046067,21,0.1913129881152252
realistic,1,-0.5012253030340587,0.15841401426663826,4,300,BIQAE,0.1487407831659729,0.00967323110066537,0.06106297568082356,1,0.008436192315645562
realistic,1,-0.5012253030340587,0.15841401426663826,4,300,CABIQAE_latentt,0.1645048770360446,0.006090862769406347,0.038449014739026614,1,0.01039785877230161
realistic,1,-0.5012253030340587,0.15841401426663826,4,525,BIQAE,0.14221791400185219,0.016196100264786073,0.10223906224309945,3,0.014763336552379732
realistic,1,-0.5012253030340587,0.15841401426663826,4,525,CABIQAE_latentt,0.16148403502079028,0.0030700207541520252,0.019379729554638063,3,0.018196252851527817
realistic,1,-0.5012253030340587,0.15841401426663826,4,917,BIQAE,0.1561580285272287,0.0022559857394095495,0.01424107424998608,7,0.02578662784482327
realistic,1,-0.5012253030340587,0.15841401426663826,4,917,CABIQAE_latentt,0.16148403502079028,0.0030700207541520252,0.019379729554638063,3,0.03178278831400192
realistic,1,-0.5012253030340587,0.15841401426663826,4,1604,BIQAE,0.1561580285272287,0.0022559857394095495,0.01424107424998608,7,0.0451055082476516
