profile,scenario_id,objective_ry_offset,a_true,t_eff,k,K,p_ideal,p_noisy,c_est
realistic,1,-0.6465633030494207,0.3223500793991444,78.75022187414035,0.0,1.0,0.3223500793991444,0.32366666666666666,0.9925888665580641
realistic,1,-0.6465633030494207,0.3223500793991444,78.75022187414035,1.0,3.0,0.9432450953268627,0.9111666666666667,0.9276282377438595
realistic,1,-0.6465633030494207,0.3223500793991444,78.75022187414035,2.0,5.0,0.014977186824123735,0.07883333333333334,0.8683440350133502
realistic,1,-0.6465633030494207,0.3223500793991444,78.75022187414035,4.0,9.0,0.5635876898345196,0.5515,0.8099051897312742
realistic,1,-0.6465633030494207,0.3223500793991444,78.75022187414035,8.0,17.0,0.553991217573183,0.5431666666666667,0.7995127468306473
realistic,2,-0.5012253030340587,0.3275653106895712,33.850467664281915,0.0,1.0,0.3275653106895712,0.3253333333333333,1.0
realistic,2,-0.5012253030340587,0.3275653106895712,33.850467664281915,1.0,3.0,0.9352700658754269,0.9061666666666667,0.9331371452106941
realistic,2,-0.5012253030340587,0.3275653106895712,33.850467664281915,2.0,5.0,0.008969744238472771,0.0735,0.8685819152600917
realistic,2,-0.5012253030340587,0.3275653106895712,33.850467664281915,4.0,9.0,0.5136502799170775,0.5053333333333333,nan
realistic,2,-0.5012253030340587,0.3275653106895712,33.850467664281915,8.0,17.0,0.6465615132898302,0.59,0.6140766288488164
realistic,3,-0.44778407112722207,0.33040551015496833,48.09257106165034,0.0,1.0,0.33040551015496833,0.3385,0.9522715045021327
realistic,3,-0.44778407112722207,0.33040551015496833,48.09257106165034,1.0,3.0,0.9307366524709215,0.898,0.9239984517613543
realistic,3,-0.44778407112722207,0.33040551015496833,48.09257106165034,2.0,5.0,0.0063447518890456505,0.06433333333333334,0.8825322293924968
realistic,3,-0.44778407112722207,0.33040551015496833,48.09257106165034,4.0,9.0,0.48645118743082,0.5065,nan
realistic,3,-0.44778407112722207,0.33040551015496833,48.09257106165034,8.0,17.0,0.6948272997844108,0.6336666666666667,0.6860777047907436
realistic,4,-0.43626236405252855,0.3310816038714046,28.03690872976084,0.0,1.0,0.3310816038714046,0.33366666666666667,0.9846963808885915
realistic,4,-0.43626236405252855,0.3310816038714046,28.03690872976084,1.0,3.0,0.9296380634073282,0.8951666666666667,0.9197664274266589
realistic,4,-0.43626236405252855,0.3310816038714046,28.03690872976084,2.0,5.0,0.0057869935751051725,0.07016666666666667,0.8697329445914831
realistic,4,-0.43626236405252855,0.3310816038714046,28.03690872976084,4.0,9.0,0.4799882531728709,0.49316666666666664,0.34146610949873174
realistic,4,-0.43626236405252855,0.3310816038714046,28.03690872976084,8.0,17.0,0.7060173390148335,0.6345,0.6528576703454837
