profile,scenario_id,objective_ry_offset,a_true,t_eff,k,K,p_ideal,p_noisy,c_est
realistic,1,-0.6465633030494207,0.3223500793991444,23.101704807841582,0.0,1.0,0.3223500793991444,0.3283333333333333,0.966319974059363
realistic,1,-0.6465633030494207,0.3223500793991444,23.101704807841582,1.0,3.0,0.9432450953268627,0.8538333333333333,0.7982791847305284
realistic,1,-0.6465633030494207,0.3223500793991444,23.101704807841582,2.0,5.0,0.014977186824123735,0.17983333333333335,0.6601064073053603
realistic,1,-0.6465633030494207,0.3223500793991444,23.101704807841582,4.0,9.0,0.5635876898345196,0.538,0.5975999458211351
realistic,1,-0.6465633030494207,0.3223500793991444,23.101704807841582,8.0,17.0,0.553991217573183,0.5246666666666666,0.4568644267603687
realistic,2,-0.5012253030340587,0.3275653106895712,12.02018771026288,0.0,1.0,0.3275653106895712,0.3295,0.9887801618214658
realistic,2,-0.5012253030340587,0.3275653106895712,12.02018771026288,1.0,3.0,0.9352700658754269,0.8478333333333333,0.7991207312493717
realistic,2,-0.5012253030340587,0.3275653106895712,12.02018771026288,2.0,5.0,0.008969744238472771,0.17466666666666666,0.6625525199639308
realistic,2,-0.5012253030340587,0.3275653106895712,12.02018771026288,4.0,9.0,0.5136502799170775,0.5056666666666667,nan
realistic,2,-0.5012253030340587,0.3275653106895712,12.02018771026288,8.0,17.0,0.6465615132898302,0.5373333333333333,0.25472808307802763
realistic,3,-0.44778407112722207,0.33040551015496833,12.891713470020834,0.0,1.0,0.33040551015496833,0.3421666666666667,0.9306513052255105
realistic,3,-0.44778407112722207,0.33040551015496833,12.891713470020834,1.0,3.0,0.9307366524709215,0.8418333333333333,0.7936016853276958
realistic,3,-0.44778407112722207,0.33040551015496833,12.891713470020834,2.0,5.0,0.0063447518890456505,0.17083333333333334,0.6667946262625023
realistic,3,-0.44778407112722207,0.33040551015496833,12.891713470020834,4.0,9.0,0.48645118743082,0.5133333333333333,nan
realistic,3,-0.44778407112722207,0.33040551015496833,12.891713470020834,8.0,17.0,0.6948272997844108,0.5521666666666667,0.2677585057350409
realistic,4,-0.43626236405252855,0.3310816038714046,4.107653158423932,0.0,1.0,0.3310816038714046,0.33716666666666667,0.9639763167616772
realistic,4,-0.43626236405252855,0.3310816038714046,4.107653158423932,1.0,3.0,0.9296380634073282,0.8368333333333333,0.7839932306323398
realistic,4,-0.43626236405252855,0.3310816038714046,4.107653158423932,2.0,5.0,0.0057869935751051725,0.181,0.6454706692315233
realistic,4,-0.43626236405252855,0.3310816038714046,4.107653158423932,4.0,9.0,0.4799882531728709,0.506,1e-06
realistic,4,-0.43626236405252855,0.3310816038714046,4.107653158423932,8.0,17.0,0.7060173390148335,0.554,0.262113860213057
realistic,5,-0.4028068565926864,0.3331715243456811,11.668814291734503,0.0,1.0,0.3331715243456811,0.33466666666666667,0.9910378470154961
realistic,5,-0.4028068565926864,0.3331715243456811,11.668814291734503,1.0,3.0,0.9261953980470347,0.846,0.8118341999596523
realistic,5,-0.4028068565926864,0.3331715243456811,11.668814291734503,2.0,5.0,0.004225833654212162,0.1885,0.6283102693631236
