rep,T_noise,a_true,budget,algorithm,estimate,abs_error,nrmse,common_budget_ceiling
1,20.0,0.05,200,BAE,0.03201751995549927,0.01798248004450073,0.35964960089001463,101820
1,20.0,0.05,200,BIQAE,0.07397750031407929,0.02397750031407929,0.4795500062815858,101820
1,20.0,0.05,200,CABIQAE_latentt,0.05408065192860384,0.004080651928603837,0.08161303857207675,101820
1,20.0,0.05,400,BAE,0.054857448269755124,0.004857448269755121,0.09714896539510243,101820
1,20.0,0.05,400,BIQAE,0.07397750031407929,0.02397750031407929,0.4795500062815858,101820
1,20.0,0.05,400,CABIQAE_latentt,0.05499817906240537,0.004998179062405364,0.09996358124810728,101820
1,20.0,0.05,800,BAE,0.05005473656187118,5.473656187117426e-05,0.0010947312374234852,101820
1,20.0,0.05,800,BIQAE,0.05199771350535556,0.001997713505355554,0.039954270107111084,101820
1,20.0,0.05,800,CABIQAE_latentt,0.04917366671819978,0.0008263332818002206,0.016526665636004412,101820
1,20.0,0.05,1600,BAE,0.0487368718697313,0.0012631281302687009,0.025262562605374017,101820
1,20.0,0.05,1600,BIQAE,0.05199771350535556,0.001997713505355554,0.039954270107111084,101820
1,20.0,0.05,1600,CABIQAE_latentt,0.04463189113848298,0.005368108861517021,0.10736217723034042,101820
1,20.0,0.05,3200,BAE,0.052548491416602734,0.0025484914166027314,0.05096982833205463,101820
1,20.0,0.05,3200,BIQAE,0.05017040550145243,0.00017040550145242667,0.0034081100290485333,101820
1,20.0,0.05,3200,CABIQAE_latentt,0.04991336498805295,8.663501194705603e-05,0.0017327002389411206,101820
1,20.0,0.05,6400,BAE,0.0508948466089217,0.0008948466089216955,0.01789693217843391,101820
1,20.0,0.05,6400,BIQAE,0.049910590325935374,8.940967406462913e-05,0.0017881934812925826,101820
1,20.0,0.05,6400,CABIQAE_latentt,0.052110051789031504,0.0021100517890315015,0.04220103578063003,101820
1,20.0,0.05,12800,BAE,0.04973049076509805,0.00026950923490195317,0.005390184698039063,101820
1,20.0,0.05,12800,BIQAE,0.049910590325935374,8.940967406462913e-05,0.0017881934812925826,101820
1,20.0,0.05,12800,CABIQAE_latentt,0.05334988807610658,0.0033498880761065747,0.0669977615221315,101820
1,20.0,0.05,25600,BAE,0.05068369593386571,0.000683695933865705,0.0136739186773141,101820
1,20.0,0.05,25600,BIQAE,0.05005410751926685,5.4107519266849424e-05,0.0010821503853369885,101820
