rep,T_noise,a_true,algorithm,final_queries,final_estimate,final_abs_error,final_nrmse,final_coverage,runtime_seconds,k_max
1,20.0,0.05,BAE,102500,0.04969192288841542,0.00030807711158458567,0.0061615422316917134,1.0,48.958404400007566,31
1,20.0,0.05,BIQAE,158080,0.04999315485166585,6.845148334155837e-06,0.00013690296668311674,1.0,0.26927449999493547,2463
1,20.0,0.05,CABIQAE_latentt,120040,0.05457058173585645,0.004570581735856449,0.09141163471712899,0.0,5.9641099000000395,19
2,20.0,0.05,BAE,102460,0.05041313103381101,0.0004131310338110067,0.008262620676220134,1.0,44.59171540001989,31
2,20.0,0.05,BIQAE,145280,0.04998256695181945,1.7433048180554023e-05,0.00034866096361108045,1.0,0.23581129999365658,2301
2,20.0,0.05,CABIQAE_latentt,100200,0.05356040417598531,0.003560404175985306,0.07120808351970612,0.0,5.188092099997448,19
3,20.0,0.05,BAE,103540,0.050941452597102505,0.0009414525971025017,0.018829051942050035,0.0,45.48785210002097,31
3,20.0,0.05,BIQAE,197760,0.04998534501943215,1.4654980567851972e-05,0.00029309961135703944,1.0,0.2691372999979649,3507
3,20.0,0.05,CABIQAE_latentt,688920,0.046395202497051535,0.0036047975029484675,0.07209595005896935,0.0,16.606917299999623,31
4,20.0,0.05,BAE,102620,0.049734165499034144,0.0002658345009658586,0.005316690019317172,1.0,41.40343149998807,31
4,20.0,0.05,BIQAE,119160,0.05000973886665823,9.738866658226542e-06,0.00019477733316453083,1.0,0.20277329999953508,2015
4,20.0,0.05,CABIQAE_latentt,210760,0.05446949446291524,0.004469494462915238,0.08938988925830477,0.0,12.86607799999183,11
5,20.0,0.05,BAE,103260,0.050270000157479594,0.0002700001574795913,0.0054000031495918255,1.0,47.672628500004066,37
5,20.0,0.05,BIQAE,268120,0.04824709745401317,0.0017529025459868328,0.035058050919736655,0.0,0.3405872999865096,4449
5,20.0,0.05,CABIQAE_latentt,100120,0.0532268368117497,0.003226836811749699,0.06453673623499398,0.0,4.905529600015143,19
6,20.0,0.05,BAE,103060,0.05046282169075986,0.00046282169075985424,0.009256433815197085,1.0,41.955275799991796,37
6,20.0,0.05,BIQAE,160360,0.05000354021864711,3.5402186471106267e-06,7.080437294221253e-05,1.0,0.23549930000444874,2679
6,20.0,0.05,CABIQAE_latentt,296440,0.053709350585541805,0.0037093505855418027,0.07418701171083605,0.0,21.116196899994975,11
